@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75192,1.0,1,0.4893617021276596,ok
75119,1.0,2,0.035363457760314354,ok
75212,1.0,5,0.2610722610722611,ok
246,1.0,6,0.009090909090909038,ok
252,1.0,7,0.20606060606060606,ok
75178,1.0,10,0.752687800722886,ok
75177,1.0,11,0.008038585209003246,ok
75092,1.0,12,0.08523908523908519,ok
75239,1.0,13,0.0,ok
75215,1.0,287,0.027138157894736836,ok
75171,1.0,17,0.16019237883832782,ok
75227,1.0,151,0.09366236679753226,ok
75233,1.0,83,0.06437291897891229,ok
75182,1.0,284,0.10973663208300077,ok
253,1.0,23,0.4238683127572016,ok
75157,1.0,265,0.43593314763231195,ok
75124,1.0,317,0.08853118712273644,ok
75222,1.0,27,0.042986425339366474,ok
75231,1.0,29,0.17267552182163193,ok
75185,1.0,259,0.12540341171046565,ok
2123,1.0,32,0.0565610859728507,ok
75150,1.0,33,0.287833827893175,ok
75143,1.0,34,0.00972326103216159,ok
75196,1.0,35,0.007832898172323799,ok
75188,1.0,40,0.13424124513618674,ok
75248,1.0,46,0.09716599190283404,ok
75249,1.0,49,0.003215434083601254,ok
75113,1.0,269,0.0052631578947368585,ok
75126,1.0,51,0.03929273084479368,ok
251,1.0,286,0.0017543859649122862,ok
75184,1.0,142,0.09549023187876571,ok
75234,1.0,56,0.031122031122031157,ok
258,1.0,61,0.007011866235167252,ok
75166,1.0,227,0.08879023307436185,ok
75168,1.0,173,0.125,ok
75148,1.0,183,0.13951219512195123,ok
75235,1.0,67,0.0022222222222222365,ok
75159,1.0,68,0.07397260273972606,ok
244,1.0,355,0.11818181818181817,ok
75141,1.0,131,0.05179430262671103,ok
75221,1.0,74,0.40039643211100095,ok
75219,1.0,82,0.02387214242362934,ok
75202,1.0,77,0.15567765567765568,ok
3043,1.0,80,0.008038585209003246,ok
75205,1.0,86,0.17485745316318224,ok
75174,1.0,87,0.11638733705772808,ok
288,1.0,89,0.12787878787878793,ok
75250,1.0,90,0.3602345826822785,ok
75179,1.0,91,0.17795042545320017,ok
275,1.0,92,0.03041825095057038,ok
75207,1.0,225,0.14161849710982655,ok
75142,1.0,94,0.07039322084293465,ok
75099,1.0,136,0.1280575539568345,ok
75243,1.0,318,0.00093545369504211,ok
75175,1.0,211,0.10864777565702544,ok
233,1.0,107,0.003795066413662229,ok
75161,1.0,109,0.06162194306102731,ok
75176,1.0,110,0.015856702393187483,ok
262,1.0,113,0.002481389578163795,ok
75129,1.0,204,0.10679611650485432,ok
261,1.0,141,0.2212121212121212,ok
75090,1.0,117,0.08129370629370625,ok
75114,1.0,120,0.01964636542239684,ok
75093,1.0,123,0.17566815144766146,ok
260,1.0,124,0.02657807308970095,ok
236,1.0,127,0.03712121212121211,ok
254,1.0,132,0.0,ok
75107,1.0,134,0.050484848484848466,ok
75139,1.0,313,0.010505050505050462,ok
75146,1.0,140,0.11152744104033507,ok
75189,1.0,145,0.01652338952774368,ok
75163,1.0,150,0.05909863945578231,ok
2350,1.0,153,0.36513545347467613,ok
2122,1.0,157,0.1538129185569237,ok
75110,1.0,160,0.14311946424713762,ok
75213,1.0,162,0.06036745406824151,ok
75095,1.0,163,0.011904761904761862,ok
75108,1.0,167,0.0,ok
75117,1.0,170,0.04518664047151277,ok
75191,1.0,175,0.1268069139447623,ok
75226,1.0,264,0.00395497414055368,ok
75244,1.0,180,0.06374228923920489,ok
75236,1.0,182,0.030476190476190435,ok
75169,1.0,234,0.032258064516129004,ok
75116,1.0,185,0.00982318271119842,ok
75223,1.0,190,0.14257939079714843,ok
75109,1.0,196,0.3050951503990178,ok
75197,1.0,200,0.13423645320197042,ok
248,1.0,203,0.2727272727272727,ok
2119,1.0,206,0.39672801635991817,ok
75127,1.0,209,0.3295748219061102,ok
75153,1.0,215,0.08250092489826122,ok
75173,1.0,216,0.11910828025477704,ok
75187,1.0,218,0.01597051597051602,ok
75195,1.0,223,0.000668995763026814,ok
75225,1.0,238,0.05023923444976075,ok
75100,1.0,232,0.00379609544468551,ok
75132,1.0,236,0.04472579479110339,ok
75210,1.0,239,0.0,ok
273,1.0,241,0.04281949934123852,ok
75133,1.0,332,0.005443483829650986,ok
75121,1.0,244,0.0019646365422396617,ok
75098,1.0,249,0.015194805194805205,ok
75115,1.0,254,0.013752455795677854,ok
266,1.0,258,0.018372703412073532,ok
75134,1.0,275,0.005367351065198589,ok
75096,1.0,278,0.2653110698532455,ok
75203,1.0,282,0.0832544938505203,ok
75123,1.0,289,0.3425253991291727,ok
75237,1.0,292,0.00034624326062226984,ok
75125,1.0,293,0.03339882121807469,ok
2120,1.0,316,0.08345120226308345,ok
75232,1.0,300,0.14367816091954022,ok
75103,1.0,306,0.005894736842105286,ok
242,1.0,307,0.009090909090909038,ok
75230,1.0,312,0.30492424242424243,ok
75240,1.0,321,0.021588946459412783,ok
75198,1.0,326,0.09511731135066581,ok
75201,1.0,329,0.07495069033530577,ok
75112,1.0,331,0.1210962396430848,ok
75105,1.0,334,0.018121212121212094,ok
75154,1.0,339,0.16666666666666663,ok
2117,1.0,343,0.14450580132779056,ok
75156,1.0,345,0.20533548908649957,ok
75097,1.0,350,0.049569962082678276,ok
75101,1.0,352,0.27596118185189766,ok
75172,1.0,357,0.0696969696969697,ok
75106,1.0,359,0.07163636363636361,ok
75120,1.0,367,0.035363457760314354,ok
75193,1.0,371,0.031804645001121346,ok
