@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2117,1.0,1,0.09317948312653124,ok
75156,1.0,2,0.19054652880354517,ok
75129,1.0,3,0.5300546448087431,ok
75239,1.0,4,0.0,ok
75121,1.0,5,0.0,ok
261,1.0,6,0.4070796460176992,ok
75240,1.0,7,0.027839643652561308,ok
75120,1.0,8,0.02004008016032066,ok
75124,1.0,9,0.4810126582278481,ok
75176,1.0,10,0.014169509315140494,ok
75103,1.0,11,0.06009244992295837,ok
75095,1.0,12,0.13978494623655913,ok
273,1.0,13,0.05485232067510548,ok
75174,1.0,14,0.18792386786261217,ok
75153,1.0,15,0.09329446064139946,ok
75093,1.0,16,0.5555555555555556,ok
75119,1.0,17,0.025176233635448075,ok
75215,1.0,18,0.023849674777162155,ok
75233,1.0,19,0.04714248090597839,ok
75196,1.0,20,0.014354066985646008,ok
75191,1.0,21,0.137061684156642,ok
75115,1.0,22,0.008474576271186529,ok
75108,1.0,23,0.0,ok
75101,1.0,24,0.264276151114733,ok
75192,1.0,25,0.4720000000000001,ok
75232,1.0,26,0.19367588932806323,ok
75173,1.0,27,0.11584220413274893,ok
75148,1.0,28,0.1283018867924529,ok
75150,1.0,29,0.25217391304347814,ok
75100,1.0,30,0.9428571428571428,ok
75179,1.0,31,0.2863157894736842,ok
75213,1.0,32,0.13772455089820368,ok
75227,1.0,33,0.16682926829268296,ok
75184,1.0,34,0.16311642836299978,ok
75142,1.0,35,0.06910479547624293,ok
75166,1.0,36,0.09287579261469603,ok
75133,1.0,37,0.5483870967741935,ok
75234,1.0,38,0.024032586558044855,ok
75139,1.0,39,0.01834862385321101,ok
75117,1.0,40,0.03711340206185576,ok
75113,1.0,41,0.04078303425774876,ok
75237,1.0,42,0.0002727109809024242,ok
75195,1.0,43,0.0005633802816901179,ok
75171,1.0,44,0.1641348647647276,ok
75128,1.0,45,0.011702127659574457,ok
75146,1.0,46,0.09913954358398802,ok
75116,1.0,47,0.005847953216374324,ok
75157,1.0,48,0.4923076923076922,ok
75187,1.0,49,0.021043771043771087,ok
2350,1.0,50,0.9373008793169364,ok
75125,1.0,51,0.01670644391408127,ok
75185,1.0,52,0.131107885824867,ok
75163,1.0,53,0.06495882891125337,ok
75177,1.0,54,0.12790697674418605,ok
75189,1.0,55,0.014339341089789959,ok
75244,1.0,56,0.6550387596899225,ok
75219,1.0,57,0.021057347670250914,ok
75222,1.0,58,0.25,ok
75159,1.0,59,0.5072463768115942,ok
75175,1.0,60,0.124512238382405,ok
254,1.0,61,0.0,ok
75105,1.0,62,0.8873079112122937,ok
75106,1.0,63,0.7773291029708682,ok
75212,1.0,64,0.24263038548752824,ok
75099,1.0,65,0.49841269841269853,ok
75248,1.0,66,0.6239168110918544,ok
233,1.0,67,0.0050968399592253855,ok
75226,1.0,68,0.0023377090451357496,ok
75132,1.0,69,0.8547515407054637,ok
75127,1.0,70,0.41501992693457335,ok
75161,1.0,71,0.06424313783207003,ok
75143,1.0,72,0.008411677387431982,ok
75114,1.0,73,0.021170610211706187,ok
75182,1.0,74,0.19062092922275287,ok
75112,1.0,75,0.16561844863731656,ok
75210,1.0,76,0.0,ok
75092,1.0,77,0.48066298342541447,ok
3043,1.0,78,0.12941176470588234,ok
75249,1.0,79,0.029999999999999916,ok
75126,1.0,80,0.03678929765886285,ok
75225,1.0,81,0.5723270440251573,ok
75141,1.0,82,0.06770356816102474,ok
75107,1.0,83,0.4652213188798555,ok
75097,1.0,84,0.030135154496394367,ok
% 
% 
% 
