@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.07826496935407823,ok
75193,1.0,2,0.03999833101239747,ok
2117,1.0,3,0.1586523546565738,ok
75156,1.0,4,0.21584478577202915,ok
75129,1.0,5,0.19611650485436893,ok
75243,1.0,6,0.0,ok
75110,1.0,7,0.11060704255778786,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.09364873622812697,ok
75221,1.0,10,0.42467789890981167,ok
258,1.0,11,0.00916936353829556,ok
75121,1.0,12,0.007858546168958758,ok
253,1.0,13,0.4506172839506173,ok
261,1.0,14,0.25757575757575757,ok
75240,1.0,15,0.022020725388601003,ok
75120,1.0,16,0.06090373280943029,ok
75124,1.0,17,0.1327967806841046,ok
75176,1.0,18,0.016443987667009274,ok
75103,1.0,19,0.00484210526315787,ok
75095,1.0,20,0.016917293233082664,ok
273,1.0,21,0.04281949934123852,ok
75174,1.0,22,0.11625432295823357,ok
75153,1.0,23,0.09100998890122092,ok
75093,1.0,24,0.29649220489977723,ok
75119,1.0,25,0.07072691552062871,ok
75215,1.0,26,0.02412280701754388,ok
75169,1.0,27,0.04158569762922659,ok
75233,1.0,28,0.06326304106548275,ok
75231,1.0,29,0.17647058823529416,ok
75196,1.0,30,0.007832898172323799,ok
248,1.0,31,0.2257575757575757,ok
260,1.0,32,0.028239202657807327,ok
75115,1.0,33,0.015717092337917515,ok
75123,1.0,34,0.32438316400580547,ok
75108,1.0,35,0.0,ok
75101,1.0,36,0.26987266658425024,ok
75192,1.0,37,0.5027580772261624,ok
75232,1.0,38,0.13218390804597702,ok
75173,1.0,39,0.11910828025477704,ok
75197,1.0,40,0.14655172413793105,ok
266,1.0,41,0.017060367454068248,ok
75148,1.0,42,0.12195121951219512,ok
75150,1.0,43,0.2848664688427299,ok
75100,1.0,44,0.05639913232104121,ok
75178,1.0,45,0.7428459608168152,ok
75236,1.0,46,0.03428571428571425,ok
75179,1.0,47,0.1775804661487237,ok
75213,1.0,48,0.09448818897637801,ok
2123,1.0,49,0.0904977375565611,ok
75227,1.0,50,0.10151430173864273,ok
75184,1.0,51,0.10662771590286657,ok
75142,1.0,52,0.07061621943061025,ok
236,1.0,53,0.034545454545454546,ok
2122,1.0,54,0.08965219269820701,ok
75166,1.0,55,0.09174990751017387,ok
75133,1.0,56,0.09542106948447004,ok
75134,1.0,57,0.006341562046210725,ok
75198,1.0,58,0.11889663918833226,ok
262,1.0,59,0.0035842293906810374,ok
75234,1.0,60,0.024160524160524166,ok
75139,1.0,61,0.010909090909090868,ok
252,1.0,62,0.14696969696969697,ok
75117,1.0,63,0.0766208251473477,ok
75113,1.0,64,0.006736842105263152,ok
75098,1.0,65,0.022987012987013,ok
246,1.0,66,0.009090909090909038,ok
75237,1.0,67,0.0004451699065143311,ok
75195,1.0,68,0.0005946629004682791,ok
75171,1.0,69,0.16278209396966337,ok
75250,1.0,70,0.34655735708922664,ok
75146,1.0,71,0.10778047167731986,ok
75116,1.0,72,0.011787819253438081,ok
75157,1.0,73,0.4192200557103064,ok
75187,1.0,74,0.016380016380016404,ok
2350,1.0,75,0.4355311630704458,ok
242,1.0,76,0.010606060606060619,ok
244,1.0,77,0.11818181818181817,ok
75125,1.0,78,0.035363457760314354,ok
75185,1.0,79,0.12309820193637622,ok
75163,1.0,80,0.060374149659863985,ok
75177,1.0,81,0.024115755627009627,ok
75189,1.0,82,0.018892734422487734,ok
75244,1.0,83,0.2409184372858122,ok
75219,1.0,84,0.020635241756018607,ok
75222,1.0,85,0.08371040723981904,ok
75159,1.0,86,0.07945205479452055,ok
75175,1.0,87,0.10027896050506535,ok
75109,1.0,88,0.2949662369551872,ok
75105,1.0,89,0.24272727272727268,ok
75106,1.0,90,0.40709090909090906,ok
75212,1.0,91,0.254079254079254,ok
75099,1.0,92,0.22014388489208636,ok
75248,1.0,93,0.1323886639676113,ok
233,1.0,94,0.004743833017077814,ok
75235,1.0,95,0.0016666666666667052,ok
75226,1.0,96,0.0036507453605111317,ok
75132,1.0,97,0.12184873098708204,ok
75127,1.0,98,0.32767590282927705,ok
251,1.0,99,0.0,ok
75161,1.0,100,0.06147327733591024,ok
75143,1.0,101,0.011219147344801783,ok
75114,1.0,102,0.023575638506876273,ok
75182,1.0,103,0.11213088587390263,ok
75112,1.0,104,0.10978330146590187,ok
75090,1.0,105,0.07342657342657344,ok
275,1.0,106,0.03612167300380231,ok
288,1.0,107,0.12545454545454549,ok
75092,1.0,108,0.13929313929313925,ok
3043,1.0,109,0.014469453376205754,ok
75126,1.0,110,0.04322200392927311,ok
75225,1.0,111,0.11244019138755978,ok
75141,1.0,112,0.052904180540140566,ok
75107,1.0,113,0.050303030303030294,ok
75097,1.0,114,0.0602053084250439,ok
