idx,balancing:strategy,classifier:__choice__,classifier:adaboost:algorithm,classifier:adaboost:learning_rate,classifier:adaboost:max_depth,classifier:adaboost:n_estimators,classifier:decision_tree:criterion,classifier:decision_tree:max_depth,classifier:decision_tree:max_features,classifier:decision_tree:max_leaf_nodes,classifier:decision_tree:min_samples_leaf,classifier:decision_tree:min_samples_split,classifier:decision_tree:min_weight_fraction_leaf,classifier:decision_tree:splitter,classifier:extra_trees:bootstrap,classifier:extra_trees:criterion,classifier:extra_trees:max_depth,classifier:extra_trees:max_features,classifier:extra_trees:min_samples_leaf,classifier:extra_trees:min_samples_split,classifier:extra_trees:min_weight_fraction_leaf,classifier:extra_trees:n_estimators,classifier:gradient_boosting:learning_rate,classifier:gradient_boosting:loss,classifier:gradient_boosting:max_depth,classifier:gradient_boosting:max_features,classifier:gradient_boosting:max_leaf_nodes,classifier:gradient_boosting:min_samples_leaf,classifier:gradient_boosting:min_samples_split,classifier:gradient_boosting:min_weight_fraction_leaf,classifier:gradient_boosting:n_estimators,classifier:gradient_boosting:subsample,classifier:k_nearest_neighbors:n_neighbors,classifier:k_nearest_neighbors:p,classifier:k_nearest_neighbors:weights,classifier:lda:n_components,classifier:lda:shrinkage,classifier:lda:shrinkage_factor,classifier:lda:tol,classifier:liblinear_svc:C,classifier:liblinear_svc:dual,classifier:liblinear_svc:fit_intercept,classifier:liblinear_svc:intercept_scaling,classifier:liblinear_svc:loss,classifier:liblinear_svc:multi_class,classifier:liblinear_svc:penalty,classifier:liblinear_svc:tol,classifier:libsvm_svc:C,classifier:libsvm_svc:coef0,classifier:libsvm_svc:degree,classifier:libsvm_svc:gamma,classifier:libsvm_svc:kernel,classifier:libsvm_svc:max_iter,classifier:libsvm_svc:shrinking,classifier:libsvm_svc:tol,classifier:multinomial_nb:alpha,classifier:multinomial_nb:fit_prior,classifier:passive_aggressive:C,classifier:passive_aggressive:fit_intercept,classifier:passive_aggressive:loss,classifier:passive_aggressive:n_iter,classifier:proj_logit:max_epochs,classifier:qda:reg_param,classifier:qda:tol,classifier:random_forest:bootstrap,classifier:random_forest:criterion,classifier:random_forest:max_depth,classifier:random_forest:max_features,classifier:random_forest:max_leaf_nodes,classifier:random_forest:min_samples_leaf,classifier:random_forest:min_samples_split,classifier:random_forest:min_weight_fraction_leaf,classifier:random_forest:n_estimators,classifier:sgd:alpha,classifier:sgd:average,classifier:sgd:epsilon,classifier:sgd:eta0,classifier:sgd:fit_intercept,classifier:sgd:l1_ratio,classifier:sgd:learning_rate,classifier:sgd:loss,classifier:sgd:n_iter,classifier:sgd:penalty,classifier:sgd:power_t,imputation:strategy,one_hot_encoding:minimum_fraction,one_hot_encoding:use_minimum_fraction,preprocessor:__choice__,preprocessor:extra_trees_preproc_for_classification:bootstrap,preprocessor:extra_trees_preproc_for_classification:criterion,preprocessor:extra_trees_preproc_for_classification:max_depth,preprocessor:extra_trees_preproc_for_classification:max_features,preprocessor:extra_trees_preproc_for_classification:min_samples_leaf,preprocessor:extra_trees_preproc_for_classification:min_samples_split,preprocessor:extra_trees_preproc_for_classification:min_weight_fraction_leaf,preprocessor:extra_trees_preproc_for_classification:n_estimators,preprocessor:fast_ica:algorithm,preprocessor:fast_ica:fun,preprocessor:fast_ica:n_components,preprocessor:fast_ica:whiten,preprocessor:feature_agglomeration:affinity,preprocessor:feature_agglomeration:linkage,preprocessor:feature_agglomeration:n_clusters,preprocessor:feature_agglomeration:pooling_func,preprocessor:gem:N,preprocessor:gem:precond,preprocessor:kernel_pca:coef0,preprocessor:kernel_pca:degree,preprocessor:kernel_pca:gamma,preprocessor:kernel_pca:kernel,preprocessor:kernel_pca:n_components,preprocessor:kitchen_sinks:gamma,preprocessor:kitchen_sinks:n_components,preprocessor:liblinear_svc_preprocessor:C,preprocessor:liblinear_svc_preprocessor:dual,preprocessor:liblinear_svc_preprocessor:fit_intercept,preprocessor:liblinear_svc_preprocessor:intercept_scaling,preprocessor:liblinear_svc_preprocessor:loss,preprocessor:liblinear_svc_preprocessor:multi_class,preprocessor:liblinear_svc_preprocessor:penalty,preprocessor:liblinear_svc_preprocessor:tol,preprocessor:nystroem_sampler:coef0,preprocessor:nystroem_sampler:degree,preprocessor:nystroem_sampler:gamma,preprocessor:nystroem_sampler:kernel,preprocessor:nystroem_sampler:n_components,preprocessor:pca:keep_variance,preprocessor:pca:whiten,preprocessor:polynomial:degree,preprocessor:polynomial:include_bias,preprocessor:polynomial:interaction_only,preprocessor:random_trees_embedding:max_depth,preprocessor:random_trees_embedding:max_leaf_nodes,preprocessor:random_trees_embedding:min_samples_leaf,preprocessor:random_trees_embedding:min_samples_split,preprocessor:random_trees_embedding:min_weight_fraction_leaf,preprocessor:random_trees_embedding:n_estimators,preprocessor:select_percentile_classification:percentile,preprocessor:select_percentile_classification:score_func,preprocessor:select_rates:alpha,preprocessor:select_rates:mode,preprocessor:select_rates:score_func,rescaling:__choice__
25,weighting,passive_aggressive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036975653885940544,True,hinge,326,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,,,0.6227804363658538,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normalize
26,none,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,None,,0.00012055047293464583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,False,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,2.1739847139995554,False,True,1,squared_hinge,ovr,l1,0.00023810438812826726,,,,,,,,,,,,,,,,,,,,,,none
27,none,passive_aggressive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.026962382477094e-05,True,hinge,713,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,nystroem_sampler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosine,4113,,,,,,,,,,,,,,,,,normalize
28,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,entropy,None,3.27495660783274,None,6,15,0.0,100,,,,,,,,,,,,mean,,False,feature_agglomeration,,,,,,,,,,,,,manhattan,complete,364,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
29,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.7129561445167657,deviance,5,3.93371407131337,None,20,4,0.0,100,0.5706975618082643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.015787599946780754,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,,,,min/max
30,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.09705831458471066,deviance,7,4.283409813794932,None,16,4,0.0,100,0.9843077531242675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.1149368954241468,True,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,11920.402652363826,False,True,1,squared_hinge,ovr,l1,0.0001606219620686348,,,,,,,,,,,,,,,,,,,,,,min/max
31,weighting,adaboost,SAMME,0.0015104570633594687,2,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,False,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
32,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.11480010781499038,deviance,4,0.5235161403579423,None,2,16,0.0,100,0.927031838238195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,False,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3384763401625337,fpr,chi2,min/max
33,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3099281521096013,False,True,1,squared_hinge,ovr,l2,0.06556975010822326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.00470215321782562,True,feature_agglomeration,,,,,,,,,,,,,euclidean,average,283,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
34,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.12454429505892009,deviance,1,3.0290395574432685,None,18,5,0.0,100,0.674749061534573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42256233698631634,fwe,f_classif,none
35,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,gini,None,1.0,None,5,2,0.0,100,,,,,,,,,,,,median,,False,feature_agglomeration,,,,,,,,,,,,,euclidean,ward,25,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
36,weighting,adaboost,SAMME.R,0.23845428108337907,3,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.004810656288877152,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,False,,,,,,,,,,,,standardize
37,none,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.035771508249344455,deviance,4,3.0536751778035267,None,18,8,0.0,100,0.8480319721054321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,0.0007661525500069154,True,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,20.463234848826165,False,True,1,squared_hinge,ovr,l1,0.00012082993062767058,,,,,,,,,,,,,,,,,,,,,,none
38,none,extra_trees,,,,,,,,,,,,,False,entropy,None,3.4037066291967126,11,20,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,0.0004586087763800354,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,,,,none
39,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007054165633331384,False,0.0010368991438548874,0.04707949360441463,True,0.10622403719260987,constant,modified_huber,665,elasticnet,,most_frequent,,False,select_percentile_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.273556344342806,chi2,,,,normalize
40,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,gini,None,1.0,None,1,2,0.0,100,,,,,,,,,,,,mean,0.01,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
41,none,adaboost,SAMME,1.0081104516473922,6,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,1.1828431725901418,False,True,1,squared_hinge,ovr,l1,0.0022792606924326923,,,,,,,,,,,,,,,,,,,,,,min/max
42,none,passive_aggressive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010573693363155704,True,squared_hinge,624,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,False,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,476.5616200935455,False,True,1,squared_hinge,ovr,l1,0.06337755755873832,,,,,,,,,,,,,,,,,,,,,,normalize
43,weighting,proj_logit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,mean,0.26472562821261775,True,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.370908548876517,fwe,chi2,normalize
44,none,lda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,None,,0.0011339574479631279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.004889144803037605,True,gem,,,,,,,,,,,,,,,,,8,0.39344596751061517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
45,none,adaboost,SAMME,1.2306208006800998,6,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,False,extra_trees_preproc_for_classification,True,entropy,None,3.5347851525007146,6,8,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
46,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006874839801655365,False,0.0017527970920483906,0.060041614581907,True,0.36339240847373755,optimal,modified_huber,939,elasticnet,,mean,,False,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normalize
47,weighting,proj_logit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,False,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,False,,,,,,,,,,,,min/max
48,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002011208878338422,False,,0.0812309539678548,True,0.49756924007684844,invscaling,hinge,554,elasticnet,0.2567923580475304,most_frequent,0.0007915092939712602,True,nystroem_sampler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6384046151685252,3,0.22795987796995726,poly,3207,,,,,,,,,,,,,,,,,none
49,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07031299826418301,False,True,1,squared_hinge,ovr,l2,0.0007350413240779083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,0.0005163081319274932,True,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,6188.48070221451,False,True,1,squared_hinge,ovr,l1,0.0001527359232995818,,,,,,,,,,,,,,,,,,,,,,standardize
50,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.092932120695274,deviance,1,3.6919070106003478,None,1,9,0.0,100,0.9965020373145405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.00011048649018273606,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
51,none,qda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.284928341343884,0.0022871470608384504,,,,,,,,,,,,,,,,,,,,,most_frequent,0.15973168347756866,True,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,,,1.0504384005484382,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
52,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10035695310954387,False,True,1,squared_hinge,ovr,l2,8.058856140099497e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,False,pca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7525299936686953,False,,,,,,,,,,,,,,,normalize
53,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.957790821078426,,,0.12671512574853352,rbf,-1,False,0.003567035199079163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,select_percentile_classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.992526962278072,chi2,,,,normalize
54,weighting,extra_trees,,,,,,,,,,,,,False,entropy,None,4.194273821248778,4,13,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.0003432096129730545,True,extra_trees_preproc_for_classification,True,entropy,None,1.7764018125840484,4,4,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
55,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,entropy,None,3.251806081517394,None,3,4,0.0,100,,,,,,,,,,,,median,0.034797974548903515,True,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3720937786542612,fpr,chi2,min/max
56,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.20883213948290555,deviance,5,3.950232147023257,None,2,12,0.0,100,0.7000722592104036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.20504937335658277,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
57,none,adaboost,SAMME.R,0.0010166256763321435,10,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,0.00020919921965993212,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,True,,,,,,,,,,,,none
58,weighting,extra_trees,,,,,,,,,,,,,False,gini,None,3.9543782679924346,3,11,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,0.005459439218701903,True,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07786241643773945,fwe,chi2,min/max
59,none,proj_logit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,median,0.005459439218701903,True,pca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6377145118780108,False,,,,,,,,,,,,,,,standardize
60,none,adaboost,SAMME,0.007883683266760077,1,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.11019229514149821,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True,False,,,,,,,,,,,,none
61,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.11817592778232,,,0.046619841770198234,rbf,-1,True,0.045068271383080095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.00017816422975714397,True,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,37.60780711247571,False,True,1,squared_hinge,ovr,l1,0.0004852224336367321,,,,,,,,,,,,,,,,,,,,,,min/max
62,weighting,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005401543374603144,False,,0.04377140004056303,True,,optimal,log,943,l2,,mean,0.0007887810786977907,True,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17377268248209546,fwe,chi2,min/max
63,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,gini,None,2.7252119338752787,None,9,8,0.0,100,,,,,,,,,,,,mean,,False,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,524.1298785189251,False,True,1,squared_hinge,ovr,l1,0.0012743317968933448,,,,,,,,,,,,,,,,,,,,,,normalize
64,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7706.729146885712,False,True,1,squared_hinge,ovr,l2,0.0011423082967112733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,kernel_pca,,,,,,,,,,,,,,,,,,,,,0.004581502595708079,rbf,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
65,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.1904028824916772,deviance,1,3.6850810159217735,None,10,18,0.0,100,0.8401742752755341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,False,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
66,weighting,proj_logit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,mean,0.0011870322904213703,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
67,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,gini,None,3.987077165502442,None,1,2,0.0,100,,,,,,,,,,,,mean,0.013963369817074975,True,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22779271886309724,fdr,f_classif,min/max
68,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1041991637,False,True,1,squared_hinge,ovr,l2,0.0008769682090480264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.0005906299349754449,True,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,,,0.5976826540225102,9295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
69,none,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,gini,None,1.0,None,1,2,0.0,100,,,,,,,,,,,,mean,0.01,True,extra_trees_preproc_for_classification,False,gini,None,1.0,1,2,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
70,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.52330718742751,False,True,1,squared_hinge,ovr,l2,0.010305332230734165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.00012464201046582862,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,,,,none
71,weighting,extra_trees,,,,,,,,,,,,,True,gini,None,1.6767670017706682,1,2,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.0008306452347117062,True,extra_trees_preproc_for_classification,False,gini,None,4.071891353915662,8,16,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
72,weighting,gradient_boosting,,,,,,,,,,,,,,,,,,,,,0.20066795319926028,deviance,7,3.9325869489731167,None,7,11,0.0,100,0.9976532055747943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.00046199690730130277,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
73,none,adaboost,SAMME.R,0.010294487787548573,10,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,kernel_pca,,,,,,,,,,,,,,,,,,,0.10356707689993638,2,0.0055625300454173725,poly,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
74,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.04893645945186,0.7446040165574868,1,0.08610020473294158,poly,-1,True,0.0236218221160684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.00018631323058687733,True,gem,,,,,,,,,,,,,,,,,17,0.14877480998621556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
75,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13259.294039720642,,,7.368995501960463,rbf,-1,False,0.00023065301382826459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,0.007162042533937106,True,fast_ica,,,,,,,,,deflation,logcosh,803,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normalize
76,weighting,extra_trees,,,,,,,,,,,,,False,gini,None,4.01845491727997,5,19,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,False,extra_trees_preproc_for_classification,True,gini,None,4.291605934335991,4,9,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normalize
77,none,qda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7693027214403543,1.555271701554107e-05,,,,,,,,,,,,,,,,,,,,,most_frequent,,False,select_rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41707686420099593,fwe,chi2,normalize
78,none,extra_trees,,,,,,,,,,,,,True,gini,None,1.2471100317214114,17,3,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,0.00025176121677619327,True,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,,,,,,,,,,,0.9614074783784105,False,True,1,squared_hinge,ovr,l1,0.005363854364232308,,,,,,,,,,,,,,,,,,,,,,normalize
79,weighting,adaboost,SAMME,0.08921861937738111,8,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,0.46025920786341173,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,True,,,,,,,,,,,,standardize
80,none,extra_trees,,,,,,,,,,,,,False,entropy,None,1.2668700009828038,10,15,0.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,0.07298038576229827,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,True,,,,,,,,,,,,min/max
