@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.0895803866100896,ok
75193,1.0,2,0.038371068099909755,ok
2117,1.0,3,0.16709064962461995,ok
75156,1.0,4,0.21988682295877138,ok
75129,1.0,5,0.10097087378640779,ok
75243,1.0,6,0.015434985968194592,ok
75110,1.0,7,0.2743573125945129,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.30989414560380213,ok
75221,1.0,10,0.39791873141724476,ok
258,1.0,11,0.01833872707659112,ok
75121,1.0,12,0.003929273084479323,ok
253,1.0,13,0.44855967078189296,ok
261,1.0,14,0.23333333333333328,ok
75240,1.0,15,0.022020725388601003,ok
75120,1.0,16,0.03929273084479368,ok
75124,1.0,17,0.09121395036888003,ok
75176,1.0,18,0.016590808985464722,ok
75103,1.0,19,0.008000000000000007,ok
75207,1.0,20,0.16184971098265888,ok
75095,1.0,21,0.016917293233082664,ok
273,1.0,22,0.044795783926218746,ok
75174,1.0,23,0.11705240755520085,ok
75153,1.0,24,0.12134665186829452,ok
75093,1.0,25,0.17483296213808464,ok
75119,1.0,26,0.03536345776031424,ok
75201,1.0,27,0.0808678500986193,ok
75215,1.0,28,0.028234649122807043,ok
75172,1.0,29,0.09090909090909094,ok
75169,1.0,30,0.03420132141469101,ok
75202,1.0,31,0.20329670329670335,ok
75233,1.0,32,0.06511283758786535,ok
75231,1.0,33,0.19924098671726764,ok
75196,1.0,34,0.023498694516971286,ok
248,1.0,35,0.26515151515151525,ok
75191,1.0,36,0.12370055975887306,ok
75217,1.0,37,0.0,ok
260,1.0,38,0.02657807308970095,ok
75115,1.0,39,0.017681728880157177,ok
75123,1.0,40,0.32728592162554426,ok
75108,1.0,41,0.0018373909049149706,ok
75101,1.0,42,0.28272963283471386,ok
75192,1.0,43,0.48305752561071713,ok
75232,1.0,44,0.14655172413793105,ok
75173,1.0,45,0.11751592356687901,ok
75197,1.0,46,0.13300492610837433,ok
266,1.0,47,0.03280839895013121,ok
75148,1.0,48,0.19024390243902445,ok
75150,1.0,49,0.3204747774480712,ok
75100,1.0,50,0.00379609544468551,ok
75178,1.0,51,0.8079287243594171,ok
75236,1.0,52,0.0323809523809524,ok
75179,1.0,53,0.17943026267110618,ok
75213,1.0,54,0.05249343832021003,ok
2123,1.0,55,0.05882352941176472,ok
75227,1.0,56,0.10151430173864273,ok
75184,1.0,57,0.13967500456454263,ok
75142,1.0,58,0.0813201516390396,ok
236,1.0,59,0.042424242424242475,ok
2122,1.0,60,0.2743573125945129,ok
75188,1.0,61,0.24319066147859925,ok
75166,1.0,62,0.0995190529041805,ok
75181,1.0,63,0.0,ok
75133,1.0,64,0.005123278898495065,ok
75134,1.0,65,0.10170395014980782,ok
75198,1.0,66,0.12143310082435,ok
262,1.0,67,0.0027570995312931057,ok
75234,1.0,68,0.05978705978705978,ok
75139,1.0,69,0.012121212121212088,ok
252,1.0,70,0.1636363636363637,ok
75117,1.0,71,0.06679764243614927,ok
75113,1.0,72,0.006526315789473713,ok
75098,1.0,73,0.027575757575757587,ok
246,1.0,74,0.024242424242424288,ok
75203,1.0,75,0.09555345316934716,ok
75237,1.0,76,0.00039570658356824495,ok
75195,1.0,77,0.0015609901137292326,ok
