@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.08297972654408303,ok
75193,1.0,2,0.05902478968148417,ok
2117,1.0,3,0.1463051436371533,ok
75156,1.0,4,0.20856911883589324,ok
75129,1.0,5,0.1029126213592233,ok
75243,1.0,6,0.0,ok
75110,1.0,7,0.11039101317779221,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.12324476128753514,ok
75221,1.0,10,0.40138751238850345,ok
258,1.0,11,0.007551240560949246,ok
75121,1.0,12,0.0,ok
253,1.0,13,0.4444444444444444,ok
261,1.0,14,0.2272727272727273,ok
75168,1.0,15,0.13508064516129037,ok
75240,1.0,16,0.021588946459412783,ok
75120,1.0,17,0.03929273084479368,ok
75124,1.0,18,0.08853118712273644,ok
75176,1.0,19,0.015856702393187483,ok
75103,1.0,20,0.008210526315789446,ok
75207,1.0,21,0.15895953757225434,ok
75095,1.0,22,0.016290726817042578,ok
273,1.0,23,0.04281949934123852,ok
75174,1.0,24,0.11425911146581536,ok
75153,1.0,25,0.09470958194598589,ok
75093,1.0,26,0.17789532293986632,ok
75119,1.0,27,0.0491159135559921,ok
75201,1.0,28,0.07889546351084809,ok
75215,1.0,29,0.027138157894736836,ok
75172,1.0,30,0.09999999999999998,ok
75169,1.0,31,0.0369218810726778,ok
75202,1.0,32,0.14468864468864473,ok
75233,1.0,33,0.06622271550129488,ok
75231,1.0,34,0.16129032258064513,ok
75196,1.0,35,0.007832898172323799,ok
248,1.0,36,0.2257575757575757,ok
75191,1.0,37,0.13175862705296182,ok
75217,1.0,38,0.0,ok
260,1.0,39,0.02657807308970095,ok
75115,1.0,40,0.015717092337917515,ok
75123,1.0,41,0.32220609579100146,ok
75108,1.0,42,0.0,ok
75101,1.0,43,0.2797008282853257,ok
75192,1.0,44,0.47044917257683216,ok
75232,1.0,45,0.13793103448275867,ok
75173,1.0,46,0.11783439490445857,ok
75197,1.0,47,0.15147783251231528,ok
266,1.0,48,0.017060367454068248,ok
75148,1.0,49,0.1326829268292683,ok
75150,1.0,50,0.25816023738872407,ok
