@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE mean_squared_error NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
4796,1.0,1,1.0006916359696139,ok
4893,1.0,2,898302105.7355505,ok
4769,1.0,3,1.0000000250852559,ok
4885,1.0,4,2.0499218351036506,ok
2306,1.0,5,2.016671568371149,ok
2307,1.0,6,1.0000041100347243,ok
2280,1.0,7,1.0052762098763355,ok
2289,1.0,8,1.0000018822531271,ok
4835,1.0,9,1.0081643948775298,ok
2315,1.0,10,7.75561860619259,ok
4768,1.0,11,1.3461381659779272,ok
4883,1.0,12,7.75561860619259,ok
2313,1.0,13,11.119542327853814,ok
5022,1.0,14,1.3998240605635976,ok
2309,1.0,15,803955084.4095614,ok
4881,1.0,16,1.0065099335462315,ok
2288,1.0,17,5.951583669709485,ok
5024,1.0,18,3.432960998949072,ok
4790,1.0,19,1.0006529014049095,ok
2300,1.0,20,1.031449512459617,ok
4774,1.0,21,1.0013524808877612,ok
4892,1.0,22,5.579309736359128,ok
4772,1.0,23,1.000042420926082,ok
4779,1.0,24,1.0117785189985573,ok
