@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC

@DATA
75148,1.0,1e-05,1e-05,2e-05,2e-05,0.00129,0.00115,1e-05,0.00012,1e-05,4e-05,0.0,2e-05,2e-05,4e-05,5e-05,2e-05,1e-05,4e-05,1e-05,0.0004,1e-05,0.0,9e-05,0.00021,9e-05,0.00036,7e-05,7e-05,8e-05,0.00015,0.00041,6e-05,8e-05,8e-05,0.00019
75103,1.0,1e-05,1e-05,1e-05,1e-05,0.01302,0.00819,3e-05,0.00234,3e-05,0.00255,0.0,2e-05,2e-05,6e-05,0.00012,5e-05,1e-05,0.00011,1e-05,0.0005,1e-05,0.0,9e-05,0.00029,0.00011,0.00054,8e-05,0.00011,0.00011,0.00024,0.00066,7e-05,0.00015,0.00011,0.00032
75168,1.0,1e-05,0.0,1e-05,1e-05,0.02353,0.00601,0.00016,0.01754,0.00018,0.00031,0.0,0.00013,0.00013,0.00027,0.0003,0.00032,1e-05,0.00042,1e-05,0.0004,1e-05,0.0,8e-05,0.00021,0.0001,0.0011,0.00022,0.00025,0.00026,0.00037,0.00124,0.00022,0.00025,0.00028,0.00049
75157,1.0,1e-05,1e-05,1e-05,1e-05,0.00125,0.00106,1e-05,0.00015,2e-05,7e-05,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,4e-05,1e-05,0.00048,2e-05,0.0,0.0001,0.00026,0.0001,0.00039,6e-05,7e-05,8e-05,0.00019,0.00043,6e-05,9e-05,8e-05,0.0002
75092,1.0,1e-05,1e-05,1e-05,1e-05,0.00099,0.00072,1e-05,0.00018,1e-05,0.00011,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,5e-05,1e-05,0.00058,1e-05,0.0,0.00014,0.00034,9e-05,0.00041,6e-05,8e-05,9e-05,0.00017,0.00045,7e-05,0.0001,9e-05,0.00019
75213,1.0,1e-05,1e-05,1e-05,1e-05,0.00096,0.00079,1e-05,0.00013,1e-05,7e-05,1e-05,2e-05,2e-05,5e-05,7e-05,2e-05,1e-05,6e-05,1e-05,0.00056,1e-05,1e-05,0.00013,0.00029,0.00012,0.00056,6e-05,8e-05,9e-05,0.00033,0.00063,8e-05,0.00014,0.00013,0.00029
75236,1.0,1e-05,1e-05,1e-05,1e-05,0.00208,0.00115,2e-05,0.00054,3e-05,0.00044,0.0,3e-05,3e-05,7e-05,8e-05,5e-05,1e-05,8e-05,1e-05,0.00062,0.0,0.0,0.00016,0.00036,0.0001,0.00068,0.0001,0.00014,0.00016,0.00029,0.00072,0.0001,0.00015,0.00015,0.00032
75119,1.0,1e-05,1e-05,2e-05,1e-05,0.04185,0.01398,0.00063,0.01614,0.0007,0.01306,0.0,0.00046,0.00045,0.00091,0.00097,0.0012,1e-05,0.0015,1e-05,0.00047,1e-05,0.0,8e-05,0.00026,0.00012,0.00421,0.00091,0.00097,0.00103,0.0013,0.00402,0.00082,0.0008,0.00097,0.00144
75227,1.0,1e-05,1e-05,2e-05,1e-05,0.00416,0.00373,1e-05,0.00038,2e-05,9e-05,1e-05,2e-05,2e-05,6e-05,0.0001,3e-05,1e-05,7e-05,2e-05,0.00063,1e-05,1e-05,0.00015,0.00034,0.00013,0.00037,6e-05,8e-05,8e-05,0.00016,0.00043,6e-05,9e-05,9e-05,0.0002
75141,1.0,1e-05,1e-05,2e-05,1e-05,0.00631,0.00572,1e-05,0.00047,2e-05,0.00016,1e-05,3e-05,3e-05,8e-05,9e-05,3e-05,1e-05,7e-05,2e-05,0.00068,1e-05,1e-05,0.00015,0.00036,0.00014,0.00039,6e-05,8e-05,9e-05,0.00017,0.00047,8e-05,9e-05,0.0001,0.00021
