@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC

@DATA
4772,1.0,2e-05,1e-05,2e-05,1e-05,0.00978,0.00782,2e-05,0.00109,2e-05,0.00092,1e-05,4e-05,4e-05,8e-05,0.00011,4e-05,1e-05,6e-05,2e-05,0.00078,1e-05,1e-05,0.00022,0.00043,0.00012,0.00077,0.00014,0.00013,0.00016,0.00034,0.0009,0.00012,0.00016,0.00023,0.00038
4774,1.0,1e-05,1e-05,2e-05,1e-05,0.02342,0.02131,1e-05,0.00151,2e-05,0.00064,1e-05,2e-05,2e-05,6e-05,6e-05,2e-05,1e-05,4e-05,2e-05,0.00024,1e-05,1e-05,5e-05,0.00013,5e-05,0.00065,0.0001,0.00012,0.00014,0.00029,0.00075,0.00015,0.00012,0.00016,0.00033
4779,1.0,1e-05,1e-05,1e-05,1e-05,0.00696,0.00386,2e-05,0.00165,2e-05,0.00149,1e-05,5e-05,3e-05,7e-05,0.0001,3e-05,1e-05,6e-05,2e-05,0.00047,0.0,0.0,0.00012,0.00027,8e-05,0.00055,8e-05,0.00013,0.00013,0.0002,0.00081,0.00013,0.00014,0.00018,0.00035
4790,1.0,1e-05,1e-05,2e-05,1e-05,0.02423,0.0123,3e-05,0.00628,6e-05,0.00575,1e-05,8e-05,6e-05,0.00024,0.00016,7e-05,1e-05,0.0001,2e-05,0.00082,1e-05,1e-05,0.00023,0.00044,0.00014,0.00103,0.00014,0.00017,0.00031,0.00042,0.00099,0.00014,0.00018,0.0002,0.00048
4796,1.0,2e-05,1e-05,2e-05,1e-05,0.03581,0.0194,4e-05,0.00921,5e-05,0.00729,1e-05,8e-05,0.0001,0.00013,0.00016,8e-05,2e-05,0.00012,3e-05,0.00083,1e-05,1e-05,0.00023,0.00045,0.00015,0.00103,0.00015,0.00019,0.0003,0.00039,0.0009,0.00016,0.00015,0.00019,0.0004
4835,1.0,2e-05,2e-05,3e-05,2e-05,0.00597,0.00541,3e-05,0.0005,3e-05,0.00014,1e-05,5e-05,5e-05,0.00014,0.00022,7e-05,2e-05,0.0001,3e-05,0.0031,1e-05,1e-05,0.00113,0.00174,0.0002,0.00113,0.00022,0.00019,0.00023,0.00049,0.00086,0.00013,0.00015,0.00026,0.00033
4881,1.0,2e-05,1e-05,3e-05,1e-05,0.01016,0.00811,2e-05,0.00138,2e-05,0.00073,1e-05,4e-05,4e-05,8e-05,0.00011,4e-05,2e-05,6e-05,3e-05,0.00083,1e-05,1e-05,0.00022,0.00043,0.00017,0.00079,0.00011,0.00012,0.00016,0.00039,0.00104,0.00012,0.00013,0.00022,0.00058
4883,1.0,1e-05,1e-05,3e-05,3e-05,0.00448,0.00395,1e-05,0.0004,1e-05,0.00017,1e-05,2e-05,2e-05,7e-05,8e-05,3e-05,1e-05,4e-05,2e-05,0.00042,0.0,0.0,0.00011,0.00023,7e-05,0.00179,0.00025,0.00035,0.00044,0.00075,0.00072,0.00011,0.00012,0.00016,0.00033
4885,1.0,2e-05,1e-05,3e-05,1e-05,0.04525,0.04018,2e-05,0.00396,2e-05,0.00116,1e-05,5e-05,7e-05,9e-05,0.00015,6e-05,1e-05,0.00013,7e-05,0.00092,1e-05,1e-05,0.00032,0.00045,0.00014,0.00082,0.00012,0.00013,0.00017,0.0004,0.00076,0.00011,0.00012,0.00016,0.00036
4892,1.0,1e-05,1e-05,2e-05,1e-05,0.00802,0.00665,2e-05,0.00093,2e-05,0.00048,1e-05,3e-05,3e-05,7e-05,0.0001,6e-05,1e-05,5e-05,2e-05,0.00112,0.0,1e-05,0.00034,0.00066,0.00011,0.00041,8e-05,7e-05,8e-05,0.00018,0.00046,6e-05,7e-05,9e-05,0.00025
4893,1.0,3e-05,2e-05,4e-05,2e-05,0.02994,0.02648,3e-05,0.00238,4e-05,0.00116,1e-05,4e-05,5e-05,8e-05,0.00011,5e-05,2e-05,0.0001,4e-05,0.00089,1e-05,1e-05,0.00026,0.00049,0.00012,0.00077,0.00013,0.00012,0.00016,0.00036,0.00092,0.00019,0.00013,0.00017,0.00042
5022,1.0,3e-05,2e-05,4e-05,3e-05,0.00228,0.00193,3e-05,0.00033,3e-05,0.0001,1e-05,7e-05,6e-05,0.00015,0.00018,7e-05,2e-05,9e-05,3e-05,0.00126,1e-05,1e-05,0.00037,0.00068,0.0002,0.00076,0.00011,0.00013,0.00018,0.00034,0.00094,0.00017,0.0002,0.00019,0.00039
5024,1.0,2e-05,2e-05,1e-05,1e-05,0.00067,0.00056,1e-05,0.0001,1e-05,3e-05,0.0,5e-05,2e-05,4e-05,6e-05,2e-05,1e-05,4e-05,1e-05,0.00044,0.0,0.0,0.00013,0.00023,7e-05,0.00146,0.00027,0.0002,0.00037,0.00062,0.0012,0.00018,0.00025,0.00042,0.00035
