@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE mean_absolute_error NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2292,1.0,1,1.4674609375,ok
4796,1.0,4,0.017711646779449773,ok
4893,1.0,5,14573.802165749095,ok
4769,1.0,9,0.00011446393609300933,ok
4885,1.0,13,0.8031216499879719,ok
5024,1.0,17,1.241780891418457,ok
2306,1.0,15,0.8036749765619466,ok
4892,1.0,68,1.516751414705522,ok
4883,1.0,19,1.784363389136724,ok
2307,1.0,22,0.0014171205169285636,ok
2280,1.0,24,0.05560903103976715,ok
2309,1.0,51,14669.766598991471,ok
2289,1.0,28,0.0010224742993153243,ok
4835,1.0,34,0.06719880450481004,ok
2315,1.0,48,1.784363389136724,ok
4768,1.0,36,0.36040564903846156,ok
4779,1.0,73,0.08415616348050953,ok
2313,1.0,41,2.440652603513374,ok
5022,1.0,46,0.41247411251068117,ok
4881,1.0,54,0.051805536874307355,ok
2288,1.0,55,1.4815000508957339,ok
4790,1.0,60,0.017418115962342818,ok
2300,1.0,63,0.13348615497624108,ok
4774,1.0,66,0.01311387398589959,ok
4772,1.0,70,0.005163958254010828,ok
