@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE bac_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75240,1.0,1.0353675450763,1.0,ok
75174,1.0,1.296584624909,38.0,ok
75187,1.0,1.0493090452261,31.0,ok
75105,1.0,2.0,3.0,ok
75231,1.0,1.186463844797,111.0,ok
75215,1.0,2.0,0.0,ok
75090,1.0,1.114309359091,14.0,ok
75134,1.0,1.278545217262,126.0,ok
75168,1.0,1.0934530989956,113.0,ok
75189,1.0,1.0422076817894,100.0,ok
75121,1.0,1.136363636364,127.0,ok
75226,1.0,1.0671880237793,104.0,ok
75212,1.0,1.527584557865,68.0,ok
75150,1.0,1.6526505004929999,110.0,ok
2122,1.0,1.981410555275,7.0,ok
75248,1.0,1.961207340963,94.0,ok
75120,1.0,2.0,109.0,ok
75205,1.0,1.203669847335,46.0,ok
260,1.0,1.216340742946,131.0,ok
266,1.0,1.0348685666269,8.0,ok
75210,1.0,1.0,33.0,ok
75128,1.0,1.159671141184,26.0,ok
2119,1.0,1.478004157319,116.0,ok
261,1.0,1.669552669553,105.0,ok
75239,1.0,1.0388353903884,73.0,ok
75126,1.0,1.732517861009,121.0,ok
75141,1.0,1.1221491664630001,103.0,ok
75243,1.0,2.163594556,13.0,ok
75244,1.0,1.91173196983,78.0,ok
75156,1.0,1.476464046466,85.0,ok
75178,1.0,1.895621595157,67.0,ok
75095,1.0,1.244929486618,4.0,ok
75114,1.0,1.289336978811,102.0,ok
75129,1.0,1.848521349061,90.0,ok
2120,1.0,1.142074636814,123.0,ok
246,1.0,1.0337517375461,66.0,ok
75225,1.0,1.8567047377330002,98.0,ok
75213,1.0,1.193299172251,82.0,ok
75123,1.0,1.527437928328,64.0,ok
75142,1.0,1.159853033317,106.0,ok
288,1.0,1.218797075843,108.0,ok
75198,1.0,1.105257106642,119.0,ok
75219,1.0,1.1677358394519999,76.0,ok
75166,1.0,1.323222625786,49.0,ok
75099,1.0,1.69566714773,41.0,ok
75207,1.0,1.212373734284,96.0,ok
2117,1.0,1.4972387422539999,124.0,ok
75159,1.0,1.8035184400170001,128.0,ok
75112,1.0,1.2918021774769999,79.0,ok
273,1.0,1.110911016949,30.0,ok
75222,1.0,1.367142857143,91.0,ok
3043,1.0,1.370156584526,75.0,ok
75153,1.0,1.268098693759,47.0,ok
75203,1.0,1.128368467822,61.0,ok
2123,1.0,1.551369047619,115.0,ok
75109,1.0,1.536136828856,63.0,ok
75117,1.0,1.878048780488,114.0,ok
233,1.0,2.0,35.0,ok
75236,1.0,1.0541186375474,12.0,ok
242,1.0,1.0357760406524,74.0,ok
75192,1.0,2.0389642974299997,32.0,ok
75237,1.0,1.00098876243021,117.0,ok
75235,1.0,1.0090258196105,118.0,ok
75176,1.0,1.0359091469195,107.0,ok
75098,1.0,1.0425064121379,43.0,ok
75146,1.0,1.271026787053,24.0,ok
75115,1.0,1.634146341463,112.0,ok
254,1.0,2.64095982143,50.0,ok
75184,1.0,1.403562841915,19.0,ok
75173,1.0,1.237938311688,52.0,ok
75101,1.0,1.569496192466,36.0,ok
75179,1.0,1.537377036305,125.0,ok
75196,1.0,1.0372746185853,11.0,ok
75093,1.0,1.808487675811,89.0,ok
75161,1.0,1.167315623196,62.0,ok
75234,1.0,1.113065117652,54.0,ok
75110,1.0,1.981410555275,77.0,ok
248,1.0,1.30197181625,15.0,ok
75119,1.0,2.0,130.0,ok
252,1.0,1.216360905278,27.0,ok
75177,1.0,1.370156584526,92.0,ok
75193,1.0,1.140453569318,97.0,ok
75223,1.0,1.380400488064,51.0,ok
75171,1.0,1.331375013962,45.0,ok
75154,1.0,1.178803912137,21.0,ok
75127,1.0,1.7827659660489998,101.0,ok
75169,1.0,1.0732074536195,88.0,ok
75175,1.0,1.238838083938,80.0,ok
75221,1.0,1.6214902174899999,25.0,ok
75157,1.0,1.971996855346,87.0,ok
258,1.0,1.0246693499505,65.0,ok
2350,1.0,1.890363617487,71.0,ok
75125,1.0,1.254319405281,44.0,ok
75092,1.0,1.754079254079,29.0,ok
75227,1.0,1.253034598218,42.0,ok
75217,1.0,1.0,122.0,ok
75233,1.0,1.170221705877,72.0,ok
75107,1.0,1.9975884244370001,39.0,ok
75116,1.0,1.0389272862284,86.0,ok
75201,1.0,1.123798003566,83.0,ok
75182,1.0,1.294583045867,10.0,ok
75230,1.0,1.3644139810809999,17.0,ok
75250,1.0,1.409500676393,69.0,ok
75197,1.0,1.211040577558,120.0,ok
75100,1.0,2.0,57.0,ok
75133,1.0,1.682463135059,95.0,ok
75249,1.0,1.0842504541083,59.0,ok
75232,1.0,1.335070272651,2.0,ok
75097,1.0,2.0,93.0,ok
75191,1.0,1.251810792777,18.0,ok
75143,1.0,1.0393870314083,60.0,ok
75124,1.0,1.782391025007,70.0,ok
75188,1.0,1.271911016775,34.0,ok
236,1.0,1.0427728702648,9.0,ok
244,1.0,1.204491940643,28.0,ok
253,1.0,1.758211933938,22.0,ok
275,1.0,2.08618766693,23.0,ok
75202,1.0,1.163250144025,5.0,ok
75139,1.0,1.0497018002684,56.0,ok
75113,1.0,1.113211208126,16.0,ok
75172,1.0,1.0916405884281,20.0,ok
75185,1.0,1.258963115152,48.0,ok
262,1.0,1.0075889502602,37.0,ok
75103,1.0,1.165509229379,40.0,ok
75132,1.0,1.959574967805,81.0,ok
75148,1.0,1.374800103565,99.0,ok
75163,1.0,1.123954849498,129.0,ok
251,1.0,2.0,84.0,ok
75106,1.0,2.0,53.0,ok
75108,1.0,1.129438401339,6.0,ok
75181,1.0,1.0,55.0,ok
75195,1.0,1.0083408119711,58.0,ok
% 
% 
% 
