@RELATION openml_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE acc_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
897_acc,1.0,1,0.0364583333333,ok
401_acc,1.0,3,0.21711366539,ok
1142_acc,1.0,1,0.078431372549,ok
799_acc,1.0,1,0.230303030303,ok
912_acc,1.0,1,0.151515151515,ok
966_acc,1.0,1,0.0767494356659,ok
12_acc,1.0,1,0.0488215488215,ok
23_acc,1.0,1,0.693018480493,ok
1139_acc,1.0,1,0.0980392156863,ok
1020_acc,1.0,8,0.030303030303,ok
% 
% 
% 
