@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC

@DATA
75243,1.0,1e-05,1e-05,0.00033,1e-05,1e-05,0.00577,0.00524,1e-05,0.00042,1e-05,0.00013,1e-05,2e-05,1e-05,4e-05,6e-05,2e-05,1e-05,5e-05,1e-05,0.00018,5e-05,1e-05,3e-05,9e-05,0.00047,0.0,0.0,0.00012,0.00026,9e-05,0.00042,8e-05,7e-05,0.0001,0.00018,0.00049,7e-05,9e-05,0.00011,0.00023,0.00308,0.0186
75112,1.0,2e-05,1e-05,0.00043,1e-05,1e-05,0.00825,0.00742,1e-05,0.00065,1e-05,0.00022,1e-05,2e-05,1e-05,4e-05,7e-05,2e-05,1e-05,5e-05,1e-05,0.00021,5e-05,1e-05,4e-05,0.00011,0.00069,0.0,0.0,0.00014,0.00042,0.00012,0.00041,6e-05,7e-05,0.0001,0.00019,0.00048,6e-05,9e-05,0.00011,0.00022,0.00467,0.03601
253,1.0,1e-05,1e-05,0.00011,1e-05,1e-05,0.00109,0.00089,1e-05,0.00017,1e-05,6e-05,1e-05,2e-05,2e-05,7e-05,7e-05,2e-05,1e-05,5e-05,1e-05,0.00021,5e-05,1e-05,4e-05,0.0001,0.00053,0.0,0.0,0.00012,0.00027,0.00013,0.00048,8e-05,6e-05,0.00012,0.00022,0.00048,6e-05,9e-05,0.0001,0.00022,0.00065,0.01008
75227,1.0,2e-05,1e-05,0.00024,2e-05,1e-05,0.004,0.00358,3e-05,0.00035,2e-05,0.00012,1e-05,3e-05,3e-05,7e-05,0.0001,3e-05,1e-05,7e-05,2e-05,0.00029,7e-05,1e-05,6e-05,0.00016,0.00094,0.0,1e-05,0.00021,0.00057,0.00015,0.00048,5e-05,6e-05,0.0001,0.00026,0.0005,8e-05,9e-05,0.00011,0.00021,0.00251,0.0158
75187,1.0,1e-05,1e-05,0.00028,2e-05,1e-05,0.00571,0.00495,1e-05,0.00052,2e-05,0.00028,1e-05,3e-05,2e-05,6e-05,9e-05,3e-05,1e-05,6e-05,1e-05,0.00028,6e-05,1e-05,5e-05,0.00016,0.00064,0.0,1e-05,0.00016,0.00034,0.00014,0.00044,5e-05,6e-05,8e-05,0.00024,0.00052,8e-05,0.0001,0.00012,0.00021,0.00306,0.0189
75236,1.0,1e-05,1e-05,0.00011,1e-05,1e-05,0.00201,0.00111,2e-05,0.00054,3e-05,0.00041,1e-05,3e-05,3e-05,6e-05,0.0001,5e-05,1e-05,8e-05,1e-05,0.00019,5e-05,1e-05,3e-05,0.00011,0.00043,0.0,0.0,9e-05,0.00024,9e-05,0.0006,8e-05,9e-05,0.00018,0.00025,0.00058,8e-05,0.00012,0.00013,0.00024,0.00058,0.01488
75239,1.0,2e-05,1e-05,0.00013,2e-05,1e-05,0.00176,0.00134,1e-05,0.00029,4e-05,0.00018,1e-05,3e-05,4e-05,6e-05,9e-05,3e-05,1e-05,6e-05,2e-05,0.00025,6e-05,1e-05,5e-05,0.00013,0.00067,0.0,1e-05,0.00017,0.00035,0.00014,0.00038,6e-05,6e-05,8e-05,0.00018,0.00049,9e-05,9e-05,0.00011,0.00021,0.00101,0.01025
75103,1.0,1e-05,1e-05,0.00028,1e-05,1e-05,0.01354,0.00836,2e-05,0.00237,3e-05,0.00286,0.0,3e-05,3e-05,6e-05,8e-05,4e-05,1e-05,7e-05,1e-05,0.00017,4e-05,1e-05,3e-05,9e-05,0.00048,0.0,0.0,0.0001,0.00026,0.00011,0.00055,0.0001,8e-05,0.00015,0.00022,0.00058,0.0001,0.00011,0.00011,0.00026,0.0033,0.04793
75120,1.0,4e-05,3e-05,0.00012,2e-05,1e-05,0.04816,0.01597,0.00065,0.01849,0.00074,0.0151,1e-05,0.00056,0.00051,0.00107,0.00109,0.00134,1e-05,0.00147,1e-05,0.00019,4e-05,1e-05,3e-05,0.00011,0.00056,0.0,0.0,9e-05,0.00032,0.00014,0.00355,0.00074,0.00074,0.00087,0.00119,0.00329,0.00065,0.00071,0.00079,0.00113,0.00074,0.15353
75134,1.0,2e-05,1e-05,0.00472,2e-05,1e-05,0.06571,0.06062,1e-05,0.00404,1e-05,0.00108,1e-05,2e-05,2e-05,5e-05,7e-05,2e-05,1e-05,6e-05,2e-05,0.00024,6e-05,1e-05,6e-05,0.00011,0.00056,0.0,0.0,0.00011,0.00028,0.00016,0.00048,7e-05,8e-05,0.00012,0.00021,0.00048,6e-05,0.0001,9e-05,0.00023,0.033,0.10834
75231,1.0,2e-05,1e-05,0.00018,1e-05,1e-05,0.00156,0.00114,2e-05,0.00026,2e-05,0.00021,1e-05,2e-05,2e-05,6e-05,9e-05,4e-05,1e-05,6e-05,1e-05,0.00028,6e-05,1e-05,7e-05,0.00014,0.0008,0.0,1e-05,0.00018,0.00049,0.00012,0.00054,7e-05,7e-05,0.00015,0.00025,0.0005,8e-05,0.0001,0.00011,0.00021,0.00084,0.01408
254,1.0,1e-05,1e-05,0.0002,1e-05,1e-05,0.0041,0.00359,1e-05,0.00033,1e-05,0.00021,0.0,2e-05,2e-05,4e-05,8e-05,2e-05,1e-05,4e-05,1e-05,0.00017,5e-05,1e-05,3e-05,8e-05,0.00041,0.0,0.0,9e-05,0.00022,9e-05,0.00048,7e-05,7e-05,0.00011,0.00022,0.00053,7e-05,0.00012,0.00013,0.00022,0.00193,0.03764
252,1.0,1e-05,1e-05,0.00014,1e-05,1e-05,0.00168,0.00127,1e-05,0.00027,2e-05,0.00018,1e-05,2e-05,2e-05,5e-05,8e-05,3e-05,1e-05,5e-05,1e-05,0.00021,6e-05,1e-05,4e-05,0.00011,0.00077,0.0,1e-05,0.00017,0.00046,0.00013,0.00052,8e-05,8e-05,0.00012,0.00024,0.00047,6e-05,0.0001,0.00011,0.0002,0.00093,0.01526
275,1.0,1e-05,1e-05,0.00014,1e-05,1e-05,0.00202,0.00155,1e-05,0.00029,1e-05,0.00021,1e-05,2e-05,2e-05,4e-05,6e-05,3e-05,1e-05,5e-05,1e-05,0.00018,6e-05,1e-05,3e-05,9e-05,0.00045,0.0,0.0,0.0001,0.00024,0.0001,0.00079,0.00014,0.00013,0.00018,0.00034,0.00074,0.0001,0.00016,0.00016,0.00031,0.00092,0.03674
2122,1.0,2e-05,1e-05,0.001,2e-05,1e-05,0.01448,0.01332,1e-05,0.00095,2e-05,0.00024,1e-05,2e-05,2e-05,5e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00024,6e-05,1e-05,5e-05,0.00013,0.00084,0.0,1e-05,0.00019,0.00051,0.00012,0.00052,0.0001,8e-05,0.00011,0.00022,0.00058,8e-05,0.0001,0.00013,0.00026,0.00841,0.1087
75210,1.0,2e-05,1e-05,0.00029,2e-05,1e-05,0.00575,0.00526,1e-05,0.0004,1e-05,0.00012,1e-05,2e-05,2e-05,5e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00026,5e-05,1e-05,5e-05,0.00015,0.00083,0.0,1e-05,0.0002,0.00049,0.00013,0.00041,8e-05,6e-05,0.0001,0.00017,0.00048,6e-05,0.00011,0.0001,0.00022,0.00323,0.01912
75173,1.0,2e-05,1e-05,0.0003,1e-05,1e-05,0.00585,0.00528,1e-05,0.00043,1e-05,0.00016,1e-05,2e-05,2e-05,6e-05,8e-05,3e-05,1e-05,6e-05,1e-05,0.00025,7e-05,1e-05,4e-05,0.00012,0.00077,0.0,1e-05,0.00019,0.00045,0.00012,0.00042,5e-05,6e-05,0.00012,0.00018,0.00049,6e-05,0.0001,0.00011,0.00022,0.00342,0.01381
