@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75119,1.0,1,0.03474898033390361,ok
75212,1.0,2,0.2508770690588872,ok
252,1.0,3,0.15110551891222257,ok
246,1.0,4,0.0072902942468159315,ok
75178,1.0,5,0.7509964766236928,ok
75239,1.0,6,0.0,ok
75171,1.0,7,0.16426344437403972,ok
75233,1.0,8,0.06593684992850324,ok
248,1.0,9,0.22327856760929932,ok
75231,1.0,10,0.1618595825426945,ok
2123,1.0,11,0.06813515452663432,ok
75196,1.0,12,0.005122466741265708,ok
75188,1.0,13,0.16233925360794388,ok
75092,1.0,14,0.06877026348235082,ok
75248,1.0,15,0.07634255384916955,ok
75126,1.0,16,0.03643686001249857,ok
75234,1.0,17,0.023647215103802854,ok
75150,1.0,18,0.26951603545989844,ok
258,1.0,19,0.0069421805885648835,ok
75168,1.0,20,0.1598526304834461,ok
75235,1.0,21,0.0011079987550576265,ok
75159,1.0,22,0.0736140202947626,ok
244,1.0,23,0.106213795911418,ok
75221,1.0,24,0.40345544723474314,ok
75219,1.0,25,0.03805896250904628,ok
75202,1.0,26,0.13685557983060437,ok
3043,1.0,27,0.019383378380477323,ok
75205,1.0,28,0.17539412377243546,ok
75174,1.0,29,0.11524882376511081,ok
288,1.0,30,0.12218549058320471,ok
75250,1.0,31,0.31102893131899934,ok
275,1.0,32,0.03418007391044353,ok
75142,1.0,33,0.0714338043450663,ok
75213,1.0,34,0.06602419942171078,ok
75099,1.0,35,0.13208612563509536,ok
75243,1.0,36,0.0,ok
75184,1.0,37,0.0987803532308722,ok
75222,1.0,38,0.0685705157486104,ok
75175,1.0,39,0.09794047023168395,ok
233,1.0,40,0.0028441203787273883,ok
75161,1.0,41,0.06115004109274791,ok
75176,1.0,42,0.016149006947946853,ok
75090,1.0,43,0.051749435555982326,ok
75114,1.0,44,0.025614039040392167,ok
260,1.0,45,0.03821674862923097,ok
236,1.0,46,0.029527977019138785,ok
75141,1.0,47,0.05289858724067564,ok
75107,1.0,48,0.061857186216229265,ok
262,1.0,49,0.002477710119287324,ok
75146,1.0,50,0.1094814903345177,ok
75189,1.0,51,0.020195390884092834,ok
2350,1.0,52,0.412902133460075,ok
253,1.0,53,0.38429037503111574,ok
2122,1.0,54,0.09118794616990844,ok
75110,1.0,55,0.11400873328611072,ok
75249,1.0,56,0.0023960380564657102,ok
75108,1.0,57,0.0,ok
242,1.0,58,0.0074416342611710595,ok
75117,1.0,59,0.05358314683464249,ok
75191,1.0,60,0.12297448018191515,ok
75226,1.0,61,0.0006080198208332499,ok
261,1.0,62,0.2435571961279145,ok
75236,1.0,63,0.03898070308568402,ok
75095,1.0,64,0.015042746456779166,ok
75148,1.0,65,0.12280423029648091,ok
75093,1.0,66,0.20414205222693405,ok
75223,1.0,67,0.09494491304972097,ok
75244,1.0,68,0.060869821839886096,ok
75109,1.0,69,0.32535866537126157,ok
75197,1.0,70,0.13728504131193986,ok
75127,1.0,71,0.33302074482050315,ok
75143,1.0,72,0.012726604728051538,ok
75153,1.0,73,0.08169168829367468,ok
75173,1.0,74,0.11771066874639613,ok
75215,1.0,75,0.025973559437376115,ok
75195,1.0,76,0.00014861129871202028,ok
75207,1.0,77,0.14976727572791582,ok
266,1.0,78,0.022774703051253842,ok
75225,1.0,79,0.053316856508345944,ok
75166,1.0,80,0.09129445612501585,ok
75100,1.0,81,0.004977696903983642,ok
75169,1.0,82,0.033846245118458684,ok
75132,1.0,83,0.06460115537109512,ok
273,1.0,84,0.040225604324583664,ok
75121,1.0,85,0.0,ok
75098,1.0,86,0.023592836136529516,ok
75115,1.0,87,0.026215680605289893,ok
75116,1.0,88,0.011787819253438081,ok
75185,1.0,89,0.12308829202107008,ok
2119,1.0,90,?,not_applicable
75157,1.0,91,0.42335698563861646,ok
75113,1.0,92,0.005891558145538434,ok
75134,1.0,93,0.0058787473671249035,ok
75096,1.0,94,0.010295661967958503,ok
75203,1.0,95,0.10003993162465685,ok
75182,1.0,96,0.1096523109459927,ok
251,1.0,97,0.0,ok
75123,1.0,98,0.3444941818131815,ok
75237,1.0,99,0.00032107226273114797,ok
75125,1.0,100,0.033798127147098844,ok
75232,1.0,101,0.12448423224285288,ok
75103,1.0,102,0.005090888511446012,ok
75192,1.0,103,0.49217449465853214,ok
75230,1.0,104,?,not_applicable
75139,1.0,105,0.009900434076492215,ok
75227,1.0,106,0.09738155351314537,ok
2120,1.0,107,0.08543205383895058,ok
75124,1.0,108,0.0884033233169077,ok
75240,1.0,109,0.02080660971852688,ok
75129,1.0,110,0.10058871341824416,ok
75198,1.0,111,0.09542469684480359,ok
75201,1.0,112,0.09130411666356497,ok
75112,1.0,113,0.11035895290849496,ok
75133,1.0,114,0.00715552601735181,ok
75105,1.0,115,0.023246142743094667,ok
75154,1.0,116,?,not_applicable
75177,1.0,117,0.01956781125279683,ok
2117,1.0,118,0.14250448791331038,ok
75156,1.0,119,0.2096670324494172,ok
75097,1.0,120,0.06328920982241648,ok
75101,1.0,121,0.2744733148867827,ok
75172,1.0,122,0.10126394444880205,ok
75106,1.0,123,0.08643672487039977,ok
75179,1.0,124,0.16856435418455984,ok
75187,1.0,125,0.016350516400198356,ok
75120,1.0,126,0.04481802524522549,ok
75193,1.0,127,0.05331359113612266,ok
