@RELATION openml_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
401_acc,1.0,3,0.251012422494,ok
1142_acc,1.0,1,0.04,ok
799_acc,1.0,1,0.234567901235,ok
912_acc,1.0,1,0.127877237852,ok
966_acc,1.0,1,0.507462686567,ok
12_acc,1.0,1,0.0488737891034,ok
23_acc,1.0,1,0.72776854928,ok
1139_acc,1.0,1,0.0502512562814,ok
1020_acc,1.0,8,0.0168067226891,ok
% 
% 
% 
