@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC

@DATA
258,1.0,0.00069,0.00157,0.00043,2e-05,0.01023,0.08213,2.48207,0.00048,0.00231,0.00751,3e-05,0.00026,0.0001,1e-05,0.00145,5e-05,1e-05,4e-05,5e-05,6e-05,5e-05,0.0,0.00046,7e-05,0.00016,0.02907,0.0,0.00066,0.08166,3e-05,0.01781,0.00014,0.00015,0.00054,1e-05,0.00025,0.50252,1e-05,1e-05,6e-05,2e-05,0.00025,2e-05,1.82829,6e-05,0.00018,1e-05,0.00012,2e-05,4e-05,7e-05,5e-05
260,1.0,0.00049,0.00125,0.00067,1e-05,0.00544,0.06007,0.04355,0.00037,0.00151,0.00063,2e-05,0.00024,0.0001,1e-05,0.00146,7e-05,1e-05,4e-05,4e-05,6e-05,5e-05,1e-05,0.00028,6e-05,0.00018,0.02702,1e-05,0.00094,0.03175,2e-05,0.00612,0.0001,0.00011,0.00023,1e-05,0.00019,0.33067,1e-05,1e-05,7e-05,1e-05,7e-05,2e-05,0.17688,4e-05,0.00013,1e-05,0.00011,1e-05,3e-05,7e-05,5e-05
261,1.0,0.00048,0.0003,0.00039,1e-05,0.01481,0.05429,0.3471,0.00044,0.00045,0.01923,2e-05,0.00019,8e-05,1e-05,0.0004,4e-05,1e-05,4e-05,5e-05,5e-05,4e-05,0.0,0.00027,5e-05,0.00016,0.1403,0.0,0.00061,0.10514,2e-05,0.0341,0.00011,9e-05,0.00013,1e-05,0.00024,0.23797,1e-05,1e-05,5e-05,1e-05,6e-05,2e-05,0.49577,6e-05,6e-05,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
262,1.0,0.00054,0.00249,0.00059,1e-05,0.0149,0.10654,0.2497,0.00043,0.00307,0.01145,2e-05,0.00025,9e-05,1e-05,0.00239,5e-05,1e-05,4e-05,5e-05,5e-05,4e-05,0.0,0.00033,5e-05,0.00025,0.12841,0.0,0.00091,0.07772,2e-05,0.0264,0.00011,0.00014,0.00041,1e-05,0.00023,0.54223,1e-05,1e-05,6e-05,2e-05,0.00021,2e-05,0.45628,5e-05,0.00027,1e-05,0.00011,2e-05,3e-05,6e-05,5e-05
266,1.0,0.00052,0.0006,0.00054,1e-05,0.00683,0.14738,0.24848,0.00045,0.00078,0.00095,2e-05,0.00019,9e-05,1e-05,0.00067,4e-05,1e-05,4e-05,4e-05,5e-05,4e-05,0.0,0.00032,5e-05,0.00024,0.04572,0.0,0.00084,0.16104,2e-05,0.00781,0.00011,0.0001,0.00017,1e-05,0.00025,0.45034,1e-05,1e-05,5e-05,1e-05,6e-05,2e-05,0.20535,3e-05,8e-05,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
273,1.0,0.00057,0.00128,0.00081,2e-05,0.03401,0.18773,1.03398,0.00048,0.01127,0.01563,3e-05,0.00027,0.00012,1e-05,0.00139,7e-05,1e-05,5e-05,5e-05,8e-05,5e-05,1e-05,0.00035,5e-05,0.00021,0.14589,1e-05,0.00981,0.12279,3e-05,0.04972,0.00011,0.00013,0.00055,1e-05,0.00027,2.07668,1e-05,2e-05,0.00877,2e-05,0.00948,2e-05,3.6245,8e-05,0.00016,1e-05,0.00012,1e-05,6e-05,7e-05,6e-05
275,1.0,0.0006,0.00089,0.00039,1e-05,0.00453,0.18651,4.50447,0.0005,0.01426,0.01104,3e-05,0.00019,9e-05,1e-05,0.00084,4e-05,1e-05,5e-05,6e-05,5e-05,6e-05,0.0,0.00035,6e-05,0.00016,0.07994,0.0,0.00062,0.13773,3e-05,0.01572,0.00012,0.0001,0.01327,1e-05,0.00026,0.41159,1e-05,1e-05,5e-05,2e-05,0.00014,2e-05,4.90343,0.00015,9e-05,1e-05,0.00013,1e-05,3e-05,7e-05,5e-05
288,1.0,0.00056,0.00136,0.00058,2e-05,0.00616,0.3313,0.68467,0.00051,0.01649,0.01298,3e-05,0.00026,0.00011,1e-05,0.00137,6e-05,1e-05,4e-05,5e-05,7e-05,5e-05,1e-05,0.00035,5e-05,0.00018,0.05596,1e-05,0.00085,0.07039,3e-05,0.01921,0.00012,0.00014,0.00049,1e-05,0.0003,2.38569,1e-05,1e-05,7e-05,2e-05,0.01469,3e-05,1.94827,6e-05,0.00015,1e-05,0.00011,2e-05,4e-05,7e-05,5e-05
2117,1.0,0.00055,0.01157,0.00069,2e-05,0.03906,0.71904,10.54724,0.00046,0.01394,0.02244,2e-05,0.00035,0.00011,1e-05,0.0103,6e-05,1e-05,5e-05,5e-05,5e-05,5e-05,0.0,0.00031,6e-05,0.00026,0.12553,0.0,0.00102,0.94012,2e-05,0.06161,0.00011,0.00023,0.00184,1e-05,0.00025,7.78747,1e-05,1e-05,6e-05,1e-05,0.00058,2e-05,315.23043,0.00011,0.00071,1e-05,0.00012,2e-05,3e-05,6e-05,5e-05
2119,1.0,0.00051,0.00039,0.00053,1e-05,0.00087,0.01699,0.03836,0.00045,0.00053,0.00048,2e-05,0.0002,9e-05,1e-05,0.00051,4e-05,1e-05,4e-05,4e-05,5e-05,5e-05,0.0,0.0003,5e-05,0.00025,0.02023,0.0,0.00084,0.0358,2e-05,0.0014,0.00011,0.0001,0.00012,1e-05,0.00025,0.05298,1e-05,1e-05,6e-05,1e-05,5e-05,2e-05,0.06357,4e-05,8e-05,1e-05,0.00011,1e-05,3e-05,6e-05,5e-05
