id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss
openml.org/t/59,iris,autosklearn,test,0,multiclass,-0.04792,neg_logloss,local,0.13.0,,"dev [master, f4c1eda]",2021-07-30T09:59:00,106.5,58.3,0.0,3,100201969,,1.0,1.0,0.04792
openml.org/t/59,iris,autosklearn,test,1,multiclass,-0.00679006,neg_logloss,local,0.13.0,,"dev [master, f4c1eda]",2021-07-30T10:00:10,68.8,62.4,0.0,1,100201970,,1.0,1.0,0.00679006
