@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
pollen,1.0,1,0.4893617021276596,ok
ova_omentum,1.0,2,0.035363457760314354,ok
colleges_usnews,1.0,5,0.2610722610722611,ok
mfeat-karhunen,1.0,6,0.009090909090909038,ok
mfeat-zernike,1.0,7,0.20606060606060606,ok
spoken-arabic-digit,1.0,10,0.752687800722886,ok
thyroid_sick,1.0,11,0.008038585209003246,ok
pc4,1.0,12,0.08523908523908519,ok
steel-plates-fault,1.0,13,0.0,ok
phishingwebsites,1.0,287,0.027138157894736836,ok
puma8nh,1.0,17,0.16019237883832782,ok
phoneme,1.0,151,0.09366236679753226,ok
cpu_act,1.0,83,0.06437291897891229,ok
house_8l,1.0,284,0.10973663208300077,ok
cmc,1.0,23,0.4238683127572016,ok
quake,1.0,265,0.43593314763231195,ok
bank-marketing,1.0,317,0.08853118712273644,ok
analcatdata_halloffame,1.0,27,0.042986425339366474,ok
one-hundred-plants-texture,1.0,29,0.17267552182163193,ok
wind,1.0,259,0.12540341171046565,ok
baseball,1.0,32,0.0565610859728507,ok
rmftsa_sleepdata,1.0,33,0.287833827893175,ok
analcatdata_supreme,1.0,34,0.00972326103216159,ok
colleges_aaup,1.0,35,0.007832898172323799,ok
wap.wc,1.0,40,0.13424124513618674,ok
ipums_la_98-small,1.0,46,0.09716599190283404,ok
hypothyroid,1.0,49,0.003215434083601254,ok
sylva_prior,1.0,269,0.0052631578947368585,ok
ova_ovary,1.0,51,0.03929273084479368,ok
car,1.0,286,0.0017543859649122862,ok
elevators,1.0,142,0.09549023187876571,ok
ringnorm,1.0,56,0.031122031122031157,ok
optdigits,1.0,61,0.007011866235167252,ok
kin8nm,1.0,227,0.08879023307436185,ok
re0.wc,1.0,173,0.125,ok
space_ga,1.0,183,0.13951219512195123,ok
wall-robot-navigation,1.0,67,0.0022222222222222365,ok
pc1,1.0,68,0.07397260273972606,ok
mfeat-fourier,1.0,355,0.11818181818181817,ok
bank8fm,1.0,131,0.05179430262671103,ok
first-order-theorem-proving,1.0,74,0.40039643211100095,ok
eeg-eye-state,1.0,82,0.02387214242362934,ok
re1.wc,1.0,77,0.15567765567765568,ok
sick,1.0,80,0.008038585209003246,ok
ohscal.wc,1.0,86,0.17485745316318224,ok
house_16h,1.0,87,0.11638733705772808,ok
waveform-5000,1.0,89,0.12787878787878793,ok
walking-activity,1.0,90,0.3602345826822785,ok
bank32nh,1.0,91,0.17795042545320017,ok
splice,1.0,92,0.03041825095057038,ok
oh10.wc,1.0,225,0.14161849710982655,ok
2dplanes,1.0,94,0.07039322084293465,ok
kc1,1.0,136,0.1280575539568345,ok
nursery,1.0,318,0.00093545369504211,ok
cal_housing,1.0,211,0.10864777565702544,ok
kr-vs-kp,1.0,107,0.003795066413662229,ok
fried,1.0,109,0.06162194306102731,ok
houses,1.0,110,0.015856702393187483,ok
pendigits,1.0,113,0.002481389578163795,ok
pc3,1.0,204,0.10679611650485432,ok
credit-g,1.0,141,0.2212121212121212,ok
gina_prior2,1.0,117,0.08129370629370625,ok
ova_breast,1.0,120,0.01964636542239684,ok
jm1,1.0,123,0.17566815144766146,ok
page-blocks,1.0,124,0.02657807308970095,ok
letter,1.0,127,0.03712121212121211,ok
mushroom,1.0,132,0.0,ok
kddcup09_upselling,1.0,134,0.050484848484848466,ok
pol,1.0,313,0.010505050505050462,ok
ailerons,1.0,140,0.11152744104033507,ok
codrna,1.0,145,0.01652338952774368,ok
delta_ailerons,1.0,150,0.05909863945578231,ok
imdb.drama,1.0,153,0.36513545347467613,ok
kropt,1.0,157,0.1538129185569237,ok
chess,1.0,160,0.14311946424713762,ok
socmob,1.0,162,0.06036745406824151,ok
wilt,1.0,163,0.011904761904761862,ok
musk,1.0,167,0.0,ok
ova_uterus,1.0,170,0.04518664047151277,ok
vehicle_sensit,1.0,175,0.1268069139447623,ok
japanesevowels,1.0,264,0.00395497414055368,ok
ipums_la_99-small,1.0,180,0.06374228923920489,ok
semeion,1.0,182,0.030476190476190435,ok
isolet,1.0,234,0.032258064516129004,ok
ova_kidney,1.0,185,0.00982318271119842,ok
kr-vs-k,1.0,190,0.14257939079714843,ok
gesturephasesegmentationprocessed,1.0,196,0.3050951503990178,ok
fbis.wc,1.0,200,0.13423645320197042,ok
mfeat-morphological,1.0,203,0.2727272727272727,ok
yeast,1.0,206,0.39672801635991817,ok
airlines,1.0,209,0.3295748219061102,ok
puma32h,1.0,215,0.08250092489826122,ok
delta_elevators,1.0,216,0.11910828025477704,ok
twonorm,1.0,218,0.01597051597051602,ok
mv,1.0,223,0.000668995763026814,ok
ozone-level-8hr,1.0,238,0.05023923444976075,ok
pc2,1.0,232,0.00379609544468551,ok
click_prediction_small,1.0,236,0.04472579479110339,ok
visualizing_soil,1.0,239,0.0,ok
spambase,1.0,241,0.04281949934123852,ok
mc1,1.0,332,0.005443483829650986,ok
ova_prostate,1.0,244,0.0019646365422396617,ok
mnist_784,1.0,249,0.015194805194805205,ok
ova_lung,1.0,254,0.013752455795677854,ok
segment,1.0,258,0.018372703412073532,ok
ldpa,1.0,275,0.005367351065198589,ok
poker-hand,1.0,278,0.2653110698532455,ok
la1s.wc,1.0,282,0.0832544938505203,ok
abalone,1.0,289,0.3425253991291727,ok
skin-segmentation,1.0,292,0.00034624326062226984,ok
ova_colon,1.0,293,0.03339882121807469,ok
satimage,1.0,316,0.08345120226308345,ok
qsar-biodeg,1.0,300,0.14367816091954022,ok
sylva_agnostic,1.0,306,0.005894736842105286,ok
mfeat-factors,1.0,307,0.009090909090909038,ok
one-hundred-plants-shape,1.0,312,0.30492424242424243,ok
kdd_ipums_la_97-small,1.0,321,0.021588946459412783,ok
new3s.wc,1.0,326,0.09511731135066581,ok
la2s.wc,1.0,329,0.07495069033530577,ok
magictelescope,1.0,331,0.1210962396430848,ok
kddcup09_appetency,1.0,334,0.018121212121212094,ok
one-hundred-plants-margin,1.0,339,0.16666666666666663,ok
adult,1.0,343,0.14450580132779056,ok
bioresponse,1.0,345,0.20533548908649957,ok
amazon_employee_access,1.0,350,0.049569962082678276,ok
higgs,1.0,352,0.27596118185189766,ok
oh0.wc,1.0,357,0.0696969696969697,ok
kddcup09_churn,1.0,359,0.07163636363636361,ok
ova_endometrium,1.0,367,0.035363457760314354,ok
covertype,1.0,371,0.031804645001121346,ok
