@RELATION automl_competition_2015_phase2_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC

@DATA
1000_bac,1.0,0.000506162643433,1.00135803223e-05,0.000748157501221,0.000546932220459,5.96046447754e-06,7.86781311035e-06,7.86781311035e-06,2.86102294922e-06,0.00137305259705,0.0924079418182,6.19888305664e-06,2.09808349609e-05,0.341504096985,0.0157680511475,0.000111818313598,0.000187158584595,1.00135803223e-05,0.000591993331909,8.10623168945e-06,0.000250816345215,2.31266021729e-05,2.00271606445e-05,4.6968460083e-05,4.98294830322e-05,3.81469726562e-06,0.0225169658661,7.10487365723e-05,4.10079956055e-05,2.8133392334e-05,3.2901763916e-05,0.000195026397705,8.39233398438e-05,0.0136067867279,4.05311584473e-06,0.000283002853394,4.10079956055e-05,2.40802764893e-05,0.000132322311401,0.000159025192261,0.000185012817383,2.38418579102e-05,9.79900360107e-05,5.00679016114e-06,4.00543212891e-05,1.81198120117e-05,4.05311584473e-06,0.038391828537,7.15255737305e-06,1.4066696167e-05,0.000792980194092,2.8133392334e-05,1.62124633789e-05
1002_bac,1.0,0.00105595588684,1.47819519043e-05,0.00330090522766,0.000967979431152,5.96046447754e-06,7.86781311035e-06,8.10623168945e-06,3.81469726562e-06,0.00662112236023,1.74141097069,7.86781311035e-06,2.62260437012e-05,8.36841821671,0.0923190116882,0.000253677368164,0.000258684158326,1.21593475342e-05,0.00324606895447,8.10623168945e-06,0.000237226486206,3.2901763916e-05,2.69412994385e-05,5.10215759277e-05,5.19752502441e-05,4.05311584473e-06,0.182525157928,0.000128984451294,3.981590271e-05,3.88622283936e-05,7.41481781006e-05,0.000474214553833,9.79900360107e-05,0.0351490974426,2.86102294922e-06,0.000263929367066,5.3882598877e-05,2.40802764893e-05,0.000147819519043,0.000139951705933,0.000158786773682,2.00271606445e-05,0.000168085098267,4.76837158203e-06,3.88622283936e-05,1.78813934326e-05,3.81469726562e-06,0.626344919205,6.91413879395e-06,5.96046447754e-06,0.00176095962525,2.62260437012e-05,1.78813934326e-05
1018_bac,1.0,0.00137376785278,1.09672546387e-05,0.00529384613037,0.00121593475342,9.05990600586e-06,1.00135803223e-05,1.28746032715e-05,5.00679016113e-06,0.0108118057251,2.85235404968,7.15255737305e-06,5.3882598877e-05,13.8916831017,0.157933950424,0.000307083129883,0.00019097328186,1.19209289551e-05,0.00542998313904,1.31130218506e-05,0.000293016433716,2.88486480713e-05,3.00407409668e-05,5.81741333008e-05,6.19888305664e-05,4.05311584473e-06,0.309502124786,0.000111103057861,4.60147857666e-05,3.50475311279e-05,8.79764556885e-05,0.000524044036865,0.000171899795532,0.0565640926361,3.09944152832e-06,0.000283002853394,5.07831573486e-05,3.09944152832e-05,0.000233173370361,0.000159978866577,0.000164031982422,2.09808349609e-05,9.48905944824e-05,5.96046447754e-06,3.79085540772e-05,2.31266021729e-05,4.05311584473e-06,1.02260398865,7.86781311035e-06,5.96046447754e-06,0.0021800994873,2.69412994385e-05,2.09808349609e-05
1019_bac,1.0,0.00122690200806,1.00135803223e-05,0.00147700309753,0.00145697593689,3.09944152832e-06,9.77516174316e-06,8.10623168945e-06,4.05311584473e-06,0.00262594223022,0.0989739894867,5.96046447754e-06,2.47955322266e-05,0.297158002853,0.0327098369598,0.000130891799927,0.00114035606384,1.09672546387e-05,0.00111699104309,7.86781311035e-06,0.000255584716797,3.19480895996e-05,2.40802764893e-05,5.3882598877e-05,5.60283660889e-05,3.81469726562e-06,0.0555369853973,0.000147104263306,3.50475311279e-05,0.000148057937622,3.19480895996e-05,0.000306129455567,0.0001540184021,0.0254580974579,2.86102294922e-06,0.0002760887146,5.60283660889e-05,3.21865081787e-05,0.000212192535401,0.000156879425049,0.000164031982422,2.00271606445e-05,0.000951051712036,5.00679016113e-06,8.58306884766e-05,2.00271606445e-05,4.05311584473e-06,0.211878061295,5.96046447754e-06,3.09944152832e-06,0.00164294242859,3.19480895996e-05,1.78813934326e-05
1020_bac,1.0,0.000320196151733,1.09672546387e-05,0.000539064407349,0.000485181808472,1.59740447998e-05,1.09672546387e-05,1.31130218506e-05,5.00679016113e-06,0.000946044921875,0.0738461017609,9.05990600586e-06,2.19345092773e-05,0.224931001663,0.0096869468689,0.000104904174805,0.00138211250305,1.71661376953e-05,0.000369071960449,1.19209289551e-05,0.000229120254516,3.60012054443e-05,1.90734863281e-05,4.60147857666e-05,4.79221343994e-05,5.96046447754e-06,0.184601068497,7.10487365723e-05,6.41345977783e-05,0.000221967697144,3.79085540771e-05,0.00022006034851,0.000112056732178,0.0177509784698,5.00679016113e-06,0.000252008438111,6.19888305664e-05,6.89029693604e-05,0.000236034393311,0.000144004821777,0.000156164169312,1.71661376953e-05,0.00107097625732,7.86781311035e-06,4.60147857666e-05,4.60147857666e-05,5.00679016113e-06,0.509871006012,1.21593475342e-05,9.05990600586e-06,0.000610828399658,2.88486480713e-05,2.50339508056e-05
1021_bac,1.0,0.000643253326416,1.21593475342e-05,0.000813961029053,0.000835180282593,4.05311584473e-06,1.02519989014e-05,1.4066696167e-05,5.00679016113e-06,0.00149083137512,0.0275158882141,5.96046447754e-06,2.21729278564e-05,0.100700855255,0.0161600112915,7.89165496826e-05,0.00119042396545,1.09672546387e-05,0.000648021697998,1.31130218506e-05,0.000226259231568,0.00040602684021,3.31401824951e-05,4.81605529785e-05,6.60419464111e-05,4.05311584473e-06,0.0413150787354,0.000102996826172,4.6968460083e-05,0.000243186950684,2.88486480713e-05,0.000160932540894,0.00016188621521,0.022941827774,2.86102294922e-06,0.000379085540771,6.19888305664e-05,3.19480895996e-05,0.000229835510254,0.000139951705933,0.000243902206421,1.59740447998e-05,0.000892162322998,5.96046447754e-06,4.60147857666e-05,3.00407409668e-05,4.05311584473e-06,0.253970146179,7.15255737305e-06,4.05311584473e-06,0.000859975814819,3.60012054443e-05,1.31130218506e-05
1036_bac,1.0,0.00487589836121,1.09672546387e-05,0.00603818893433,0.00275921821594,3.09944152832e-06,1.19209289551e-05,1.31130218506e-05,4.05311584473e-06,0.0142030715942,2.78932595253,6.19888305664e-06,2.59876251221e-05,29.9687108994,0.151557207108,0.0033950805664,0.000964403152465,2.00271606445e-05,0.00806593894958,1.31130218506e-05,0.000245094299316,3.91006469727e-05,2.40802764893e-05,5.19752502441e-05,5.31673431396e-05,5.00679016113e-06,0.473396062851,0.000267028808594,3.88622283936e-05,0.000177145004272,9.89437103271e-05,0.0036129951477,0.00012993812561,0.0593500137329,1.38282775879e-05,0.000264406204224,0.00011682510376,5.41210174561e-05,0.000213384628296,0.000144004821777,0.000154972076416,2.31266021729e-05,0.000742197036743,1.66893005371e-05,7.20024108887e-05,2.31266021729e-05,4.05311584473e-06,3.19865298271,2.40802764893e-05,3.09944152832e-06,0.0118358135223,3.21865081787e-05,0.000144004821778
1040_bac,1.0,0.00261807441712,2.59876251221e-05,0.00425601005554,0.00200009346008,4.05311584473e-06,1.21593475342e-05,1.00135803223e-05,4.05311584473e-06,0.00859594345092,1.17155218124,5.96046447754e-06,2.28881835938e-05,14.6725649834,0.0897431373596,0.00213623046875,0.00450658798217,1.90734863281e-05,0.00426912307739,1.00135803223e-05,0.000233888626098,2.59876251221e-05,1.8835067749e-05,5.69820404053e-05,4.6968460083e-05,4.05311584473e-06,0.253111124039,0.000210046768188,3.69548797607e-05,0.00019383430481,7.08103179932e-05,0.00461006164551,0.0001540184021,0.0421919822693,2.86102294922e-06,0.000246524810791,5.50746917725e-05,2.59876251221e-05,0.000207901000977,0.000136852264404,0.000151872634888,1.71661376953e-05,0.00426888465881,1.8835067749e-05,5.31673431397e-05,2.19345092773e-05,4.05311584473e-06,1.67525315285,1.09672546387e-05,2.86102294922e-06,0.00933027267457,2.88486480713e-05,2.40802764892e-05
1041_bac,1.0,0.00195908546448,1.19209289551e-05,0.0042769908905,0.000513076782227,3.09944152832e-06,1.07288360596e-05,3.19480895996e-05,3.09944152832e-06,0.00809168815613,8.01798391342,5.00679016113e-06,3.81469726562e-05,6.33602690697,0.176185846329,0.00243520736695,0.00105810165405,4.98294830322e-05,0.00369787216187,2.09808349609e-05,0.000309705734253,5.88893890381e-05,4.60147857666e-05,7.48634338379e-05,7.5101852417e-05,3.81469726562e-06,0.961824893951,0.000100135803223,4.88758087158e-05,0.000165939331055,0.00011682510376,0.00196576118469,0.000113010406494,0.0534729957581,3.81469726562e-06,0.000341415405273,0.000113964080811,3.40938568115e-05,0.000178098678589,0.000152826309204,0.000176191329956,4.38690185547e-05,0.000837087631226,6.67572021484e-06,0.000107765197754,2.59876251221e-05,4.05311584473e-06,2.66962695122,3.50475311279e-05,3.09944152832e-06,0.00627207756043,4.41074371338e-05,8.9168548584e-05
1049_bac,1.0,0.000298261642456,1.19209289551e-05,0.000423908233643,0.000278949737549,2.86102294922e-06,7.86781311035e-06,9.05990600586e-06,2.86102294922e-06,0.000731945037842,0.0389590263367,5.00679016113e-06,4.79221343994e-05,0.0588419437408,0.00826811790466,5.07831573486e-05,0.00237774848938,1.12056732178e-05,0.000284910202026,7.86781311035e-06,0.000740766525268,3.09944152832e-05,2.69412994385e-05,0.000197887420654,8.39233398438e-05,3.81469726562e-06,0.0467841625214,8.20159912109e-05,4.19616699219e-05,0.000165939331055,2.31266021729e-05,0.000153303146363,0.000213861465454,0.0131409168243,2.86102294922e-06,0.000348806381226,5.19752502441e-05,3.19480895996e-05,0.000269889831543,0.000468015670776,0.000180959701538,2.69412994385e-05,0.00216388702393,5.96046447754e-06,3.48091125489e-05,1.90734863281e-05,5.00679016113e-06,0.0743129253387,8.10623168945e-06,3.09944152832e-06,0.000480175018311,5.69820404053e-05,4.41074371338e-05
