@RELATION openml_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE pac_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
897_acc,1.0,2,0.136836174877,ok
401_acc,1.0,2,0.781684806137,ok
1142_acc,1.0,2,0.688917979929,ok
799_acc,1.0,2,0.498780800169,ok
912_acc,1.0,2,0.542971365713,ok
966_acc,1.0,2,0.415963468183,ok
12_acc,1.0,2,0.325278557316,ok
23_acc,1.0,3,0.892176684004,ok
1139_acc,1.0,2,1.0409190075,ok
1020_acc,1.0,15,0.23393174902,ok
% 
% 
% 
