@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2117,1.0,1,0.09290512862526623,ok
75156,1.0,2,0.18249258160237392,ok
75129,1.0,3,0.11538461538461542,ok
75239,1.0,4,0.0,ok
75121,1.0,5,0.0,ok
261,1.0,6,0.202020202020202,ok
75240,1.0,7,0.0,ok
75120,1.0,8,0.0,ok
75124,1.0,9,0.19867549668874174,ok
75176,1.0,10,0.01335428122545168,ok
75103,1.0,11,0.003278688524590123,ok
75095,1.0,12,0.048192771084337394,ok
273,1.0,13,0.055932203389830515,ok
75174,1.0,14,0.1323866239120477,ok
75153,1.0,15,0.08998548621190128,ok
75093,1.0,16,0.36227544910179643,ok
75119,1.0,17,0.0020661157024793875,ok
75215,1.0,18,0.013605442176870763,ok
75233,1.0,19,0.030883919062832832,ok
75196,1.0,20,0.0,ok
75191,1.0,21,0.18237880083038227,ok
75115,1.0,22,0.0,ok
75108,1.0,23,0.0,ok
75101,1.0,24,0.24451392166116093,ok
75192,1.0,25,0.43525741029641185,ok
75232,1.0,26,0.1428571428571429,ok
75173,1.0,27,0.125,ok
75148,1.0,28,0.09864603481624756,ok
75150,1.0,29,0.16763005780346818,ok
75100,1.0,30,0.2857142857142857,ok
75179,1.0,31,0.1925465838509317,ok
75213,1.0,32,0.11627906976744184,ok
75227,1.0,33,0.14942528735632188,ok
75184,1.0,34,0.15835266821345706,ok
75142,1.0,35,0.06455901905746786,ok
75166,1.0,36,0.09118311981914096,ok
75133,1.0,37,0.09090909090909094,ok
75234,1.0,38,0.0180327868852459,ok
75139,1.0,39,0.018960244648318025,ok
75117,1.0,40,0.008547008547008517,ok
75113,1.0,41,0.003389830508474523,ok
75237,1.0,42,0.0004206918043003771,ok
75195,1.0,43,0.0010010010010009784,ok
75171,1.0,44,0.15085884988797615,ok
75146,1.0,45,0.09358490566037736,ok
75116,1.0,46,0.007025761124121788,ok
75157,1.0,47,0.5125786163522013,ok
75187,1.0,48,0.020938023450586263,ok
2350,1.0,49,0.409514669591445,ok
75125,1.0,50,0.009638554216867434,ok
75185,1.0,51,0.13969171483622356,ok
75163,1.0,52,0.07336956521739135,ok
75177,1.0,53,0.12195121951219512,ok
75189,1.0,54,0.016148536771408928,ok
75244,1.0,55,0.0,ok
75219,1.0,56,0.025100851636037702,ok
75222,1.0,57,0.0714285714285714,ok
75159,1.0,58,0.2142857142857143,ok
75175,1.0,59,0.14306151645207443,ok
254,1.0,60,0.0,ok
75105,1.0,61,0.29096989966555187,ok
75106,1.0,62,0.3058823529411765,ok
75212,1.0,63,0.2764976958525346,ok
75099,1.0,64,0.24271844660194175,ok
75248,1.0,65,0.0,ok
233,1.0,66,0.004081632653061273,ok
75226,1.0,67,0.0014398848092153083,ok
75132,1.0,68,0.6157913766609419,ok
75127,1.0,69,0.3778438436925248,ok
75161,1.0,70,0.06370457554803588,ok
75143,1.0,71,0.0029761904761904656,ok
75114,1.0,72,0.01253132832080206,ok
75182,1.0,73,0.15345854328905173,ok
75112,1.0,74,0.20568025652771416,ok
75210,1.0,75,0.0,ok
75092,1.0,76,0.05769230769230771,ok
3043,1.0,77,0.07317073170731703,ok
75249,1.0,78,0.04081632653061229,ok
75126,1.0,79,0.01118568232662187,ok
75225,1.0,80,0.08333333333333337,ok
75141,1.0,81,0.047706422018348627,ok
75107,1.0,82,0.33199356913183276,ok
75097,1.0,83,0.003728414442700112,ok
