@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE log_loss NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,2.875677877236276,ok
2117,1.0,2,1.3326315744528885,ok
75129,1.0,3,1.6931443197055929,ok
75243,1.0,4,1.388566070970695,ok
75110,1.0,5,1.5922014821038297,ok
75239,1.0,6,1.000874449773073,ok
75223,1.0,7,1.6615220331991072,ok
75221,1.0,8,2.1939555038152285,ok
258,1.0,9,1.351133748203287,ok
75121,1.0,10,1.0,ok
253,1.0,11,1.9335676172878515,ok
261,1.0,12,1.564622774765347,ok
75168,1.0,13,1.9033095252621464,ok
75240,1.0,14,1.082352137482655,ok
75120,1.0,15,1.355230142828992,ok
75124,1.0,16,1.2652382814796364,ok
75154,1.0,17,?,not_applicable
75103,1.0,18,1.020214158659179,ok
75207,1.0,19,1.8014545237397872,ok
75095,1.0,20,1.0789364384250064,ok
273,1.0,21,1.140465730221353,ok
75174,1.0,22,1.2805719171048535,ok
75153,1.0,23,1.2465878811428346,ok
75093,1.0,24,1.4708810535677528,ok
75119,1.0,25,1.9820526340363325,ok
75201,1.0,26,1.4667549370457391,ok
75172,1.0,27,1.738210252807899,ok
75169,1.0,28,1.4017527690768554,ok
75202,1.0,29,1.7290364792638702,ok
75233,1.0,30,1.1992532530800557,ok
75230,1.0,31,?,not_applicable
75231,1.0,32,2.435355619783646,ok
75196,1.0,33,1.0380689088409745,ok
248,1.0,34,1.7755202675815038,ok
75191,1.0,35,1.336262754172592,ok
260,1.0,36,1.2785764209258836,ok
75115,1.0,37,1.2554411737090452,ok
75108,1.0,38,1.1011659988800688,ok
75101,1.0,39,1.543928044635534,ok
75192,1.0,40,1.7138242764593674,ok
75232,1.0,41,1.3275697637796295,ok
75173,1.0,42,1.3038984233643978,ok
75197,1.0,43,1.6807929417279004,ok
266,1.0,44,1.0978395812481696,ok
75100,1.0,45,4.062720251529729,ok
75178,1.0,46,3.2651983417468875,ok
75236,1.0,47,1.46951042561304,ok
75179,1.0,48,1.407833666762821,ok
75213,1.0,49,1.1863372062633593,ok
2123,1.0,50,5.84683884634423,ok
75227,1.0,51,1.2624138071539073,ok
75184,1.0,52,1.2896172453716948,ok
236,1.0,53,1.4698869014187066,ok
2122,1.0,54,1.942059636179605,ok
75188,1.0,55,2.1783566748078345,ok
75166,1.0,56,1.2588366750245557,ok
75133,1.0,57,1.3257605901624372,ok
75134,1.0,58,3.382256078976028,ok
2119,1.0,59,?,not_applicable
75198,1.0,60,1.646088982311488,ok
262,1.0,61,1.0703570301247338,ok
75234,1.0,62,1.2044003265813672,ok
75139,1.0,63,1.045429157262534,ok
75117,1.0,64,1.4012032784741146,ok
75113,1.0,65,1.0186878067490088,ok
75098,1.0,66,1.2314180114499325,ok
75203,1.0,67,1.5510532567815023,ok
75237,1.0,68,1.002709327057538,ok
75171,1.0,69,1.3721740066287111,ok
75096,1.0,70,2.2093442095310545,ok
75250,1.0,71,2.2905121546989196,ok
75116,1.0,72,1.2381587878801843,ok
75157,1.0,73,1.6830228410225394,ok
2350,1.0,74,1.6594527654605815,ok
242,1.0,75,1.4315883955494924,ok
244,1.0,76,1.61868381637967,ok
75185,1.0,77,1.3025842044430065,ok
75177,1.0,78,1.186281363153381,ok
75189,1.0,79,1.0659540335331297,ok
75244,1.0,80,1.3689605227483534,ok
75219,1.0,81,1.237564276977584,ok
75222,1.0,82,1.2732754625491713,ok
75159,1.0,83,1.4669297301452862,ok
75109,1.0,84,1.9254210291883722,ok
75105,1.0,85,1.5587978807560918,ok
75106,1.0,86,1.5890449713840744,ok
75212,1.0,87,1.5082662177705237,ok
75099,1.0,88,1.4942707119442575,ok
75248,1.0,89,1.4123718660415305,ok
233,1.0,90,1.0172593023559406,ok
75226,1.0,91,1.0538604300837853,ok
75132,1.0,92,1.6104168224308457,ok
251,1.0,93,1.0785406477313475,ok
75114,1.0,94,1.136743073176944,ok
75182,1.0,95,1.2964670168864492,ok
75205,1.0,96,1.7795585492566914,ok
75090,1.0,97,1.5028756596312869,ok
275,1.0,98,1.25142238505128,ok
288,1.0,99,1.3025184546876125,ok
75092,1.0,100,1.2556018706333916,ok
3043,1.0,101,1.05443508815935,ok
75249,1.0,102,1.0159795244641368,ok
75126,1.0,103,1.1698294495093347,ok
75225,1.0,104,1.4062914981613432,ok
75141,1.0,105,1.1183509781489398,ok
75107,1.0,106,1.660869541383151,ok
75097,1.0,107,1.5626503978851387,ok
