@RELATION ChaLearn_AutoML_Challenge_2015_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE a_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
344_r2_metric,1.0,32,0.00889086723328,ok
344_r2_metric,1.0,3,0.0240876674652,ok
422_r2_metric,1.0,3,0.981845080853,ok
422_r2_metric,1.0,13,0.959458529949,ok
225_r2_metric,1.0,21,0.506294846535,ok
225_r2_metric,1.0,13,0.516693890095,ok
197_a_metric,1.0,3,0.188594818115,ok
197_a_metric,1.0,3,0.188594818115,ok
201_a_metric,1.0,35,0.0564997196198,ok
201_a_metric,1.0,36,0.0569339394569,ok
574_a_metric,1.0,3,0.511487543583,ok
574_a_metric,1.0,33,0.490944325924,ok
416_a_metric,1.0,3,0.951330661774,ok
416_a_metric,1.0,9,0.925549387932,ok
189_r2_metric,1.0,53,0.295003533363,ok
189_r2_metric,1.0,54,0.280000925064,ok
218_a_metric,1.0,3,0.483275532722,ok
218_a_metric,1.0,12,0.479138195515,ok
1028_r2_metric,1.0,3,0.736092746258,ok
1028_r2_metric,1.0,3,0.736092746258,ok
296_r2_metric,1.0,38,0.389294862747,ok
296_r2_metric,1.0,39,0.368354201317,ok
215_r2_metric,1.0,3,0.247974574566,ok
215_r2_metric,1.0,3,0.247974574566,ok
344_a_metric,1.0,27,0.0106185674667,ok
344_a_metric,1.0,3,0.0240876674652,ok
507_a_metric,1.0,3,0.534443616867,ok
507_a_metric,1.0,3,0.534443616867,ok
1414_a_metric,1.0,3,0.360883355141,ok
1414_a_metric,1.0,3,0.360883355141,ok
512_a_metric,1.0,4,0.545163631439,ok
512_a_metric,1.0,5,0.549225687981,ok
296_a_metric,1.0,6,0.367633581161,ok
296_a_metric,1.0,7,0.366918742657,ok
573_a_metric,1.0,3,0.188594818115,ok
573_a_metric,1.0,3,0.188594818115,ok
209_r2_metric,1.0,18,0.995424509048,ok
209_r2_metric,1.0,19,0.994562625885,ok
405_r2_metric,1.0,47,0.660083651543,ok
405_r2_metric,1.0,48,0.648457348347,ok
197_r2_metric,1.0,3,0.188594818115,ok
197_r2_metric,1.0,3,0.188594818115,ok
225_a_metric,1.0,16,0.518706083298,ok
225_a_metric,1.0,17,0.505118131638,ok
287_r2_metric,1.0,3,0.643111050129,ok
287_r2_metric,1.0,3,0.643111050129,ok
216_r2_metric,1.0,51,0.350647926331,ok
216_r2_metric,1.0,52,0.346364855766,ok
558_a_metric,1.0,3,0.72248673439,ok
558_a_metric,1.0,20,0.648246824741,ok
1414_r2_metric,1.0,8,0.360628962517,ok
1414_r2_metric,1.0,3,0.360883355141,ok
564_a_metric,1.0,28,0.204375982285,ok
564_a_metric,1.0,29,0.26085793972,ok
512_r2_metric,1.0,41,0.572704493999,ok
512_r2_metric,1.0,42,0.58256059885,ok
209_a_metric,1.0,49,0.942815005779,ok
209_a_metric,1.0,50,0.942385613918,ok
562_a_metric,1.0,3,0.208248853683,ok
562_a_metric,1.0,3,0.208248853683,ok
218_r2_metric,1.0,3,0.483275532722,ok
218_r2_metric,1.0,26,0.483149647713,ok
215_a_metric,1.0,3,0.247974574566,ok
215_a_metric,1.0,37,0.229821503162,ok
1030_a_metric,1.0,3,0.77686715126,ok
1030_a_metric,1.0,40,0.769281446934,ok
216_a_metric,1.0,22,0.3440066576,ok
216_a_metric,1.0,23,0.348063707352,ok
405_a_metric,1.0,24,0.652904033661,ok
405_a_metric,1.0,25,0.639333724976,ok
422_a_metric,1.0,43,0.928386628628,ok
422_a_metric,1.0,44,0.932540953159,ok
308_a_metric,1.0,45,0.259848833084,ok
308_a_metric,1.0,46,0.259077966213,ok
574_r2_metric,1.0,55,0.504805862904,ok
574_r2_metric,1.0,3,0.511487543583,ok
564_r2_metric,1.0,28,0.204375982285,ok
564_r2_metric,1.0,34,0.254861593246,ok
201_r2_metric,1.0,3,0.126711905003,ok
201_r2_metric,1.0,3,0.126711905003,ok
189_a_metric,1.0,30,0.301866173744,ok
189_a_metric,1.0,31,0.27506840229,ok
287_a_metric,1.0,3,0.643111050129,ok
287_a_metric,1.0,3,0.643111050129,ok
227_a_metric,1.0,3,0.208248853683,ok
227_a_metric,1.0,3,0.208248853683,ok
198_r2_metric,1.0,3,0.535418212414,ok
198_r2_metric,1.0,3,0.535418212414,ok
573_r2_metric,1.0,3,0.188594818115,ok
573_r2_metric,1.0,3,0.188594818115,ok
1028_a_metric,1.0,1,0.665620982647,ok
1028_a_metric,1.0,2,0.67449593544,ok
308_r2_metric,1.0,56,0.259591758251,ok
308_r2_metric,1.0,57,0.259212613106,ok
507_r2_metric,1.0,3,0.534443616867,ok
507_r2_metric,1.0,3,0.534443616867,ok
416_r2_metric,1.0,3,0.951330661774,ok
416_r2_metric,1.0,3,0.951330661774,ok
1030_r2_metric,1.0,3,0.77686715126,ok
1030_r2_metric,1.0,3,0.77686715126,ok
198_a_metric,1.0,14,0.524903655052,ok
198_a_metric,1.0,15,0.524690508842,ok
562_r2_metric,1.0,3,0.208248853683,ok
562_r2_metric,1.0,3,0.208248853683,ok
558_r2_metric,1.0,10,0.593808591366,ok
558_r2_metric,1.0,11,0.606376588345,ok
227_r2_metric,1.0,3,0.208248853683,ok
227_r2_metric,1.0,3,0.208248853683,ok
% 
% 
% 
