@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75212,1.0,1,0.2680652680652681,ok
246,1.0,2,0.007575757575757569,ok
75178,1.0,3,0.8652070815203629,ok
75171,1.0,4,0.1657417684054754,ok
248,1.0,5,0.24090909090909096,ok
75231,1.0,6,0.19734345351043647,ok
75196,1.0,7,0.005221932114882533,ok
75188,1.0,8,0.19066147859922178,ok
75248,1.0,9,0.26194331983805663,ok
75126,1.0,10,0.05304518664047153,ok
75234,1.0,11,0.040950040950040956,ok
75150,1.0,12,0.27002967359050445,ok
258,1.0,13,0.007011866235167252,ok
75168,1.0,14,0.16532258064516125,ok
75235,1.0,15,0.0011111111111110628,ok
244,1.0,16,0.12727272727272732,ok
75221,1.0,17,0.43508424182358774,ok
75219,1.0,18,0.03823588913615217,ok
75202,1.0,19,0.14102564102564108,ok
3043,1.0,20,0.020900321543408373,ok
75205,1.0,21,0.17648655986967143,ok
75174,1.0,22,0.12064378824155364,ok
275,1.0,23,0.034220532319391594,ok
75213,1.0,24,0.07086614173228345,ok
75099,1.0,25,0.2618705035971223,ok
75184,1.0,26,0.13438013511046198,ok
75222,1.0,27,0.1018099547511312,ok
233,1.0,28,0.002846299810246644,ok
75114,1.0,29,0.035363457760314354,ok
236,1.0,30,0.0304545454545454,ok
75141,1.0,31,0.05364409914909363,ok
75107,1.0,32,0.055333333333333345,ok
262,1.0,33,0.002481389578163795,ok
75146,1.0,34,0.12232752920432,ok
75189,1.0,35,0.020232468708520912,ok
2350,1.0,36,0.3998696839836604,ok
75249,1.0,37,0.002411575562700996,ok
242,1.0,38,0.015151515151515138,ok
75117,1.0,39,0.0766208251473477,ok
75191,1.0,40,0.1275450575136864,ok
261,1.0,41,0.2727272727272727,ok
75236,1.0,42,0.04190476190476189,ok
75095,1.0,43,0.018170426065162948,ok
75093,1.0,44,0.2984409799554566,ok
75223,1.0,45,0.2879671635342407,ok
75109,1.0,46,0.34683855125844076,ok
75197,1.0,47,0.13793103448275867,ok
75127,1.0,48,0.3337771635317648,ok
75143,1.0,49,0.012715033657442087,ok
75153,1.0,50,0.08176100628930816,ok
75173,1.0,51,0.11783439490445857,ok
75215,1.0,52,0.026864035087719285,ok
75195,1.0,53,0.0008919943507024186,ok
75207,1.0,54,0.1502890173410405,ok
75225,1.0,55,0.13397129186602874,ok
75166,1.0,56,0.14798372179060304,ok
75100,1.0,57,0.13774403470715835,ok
75169,1.0,58,0.03653322969296546,ok
75121,1.0,59,0.0,ok
75098,1.0,60,0.02766233766233761,ok
75115,1.0,61,0.025540275049115935,ok
75116,1.0,62,0.01964636542239684,ok
75185,1.0,63,0.13554633471645916,ok
2119,1.0,64,?,not_applicable
75157,1.0,65,0.4164345403899722,ok
75113,1.0,66,0.0063157894736841635,ok
75203,1.0,67,0.10028382213812681,ok
75182,1.0,68,0.10853950518754985,ok
251,1.0,69,0.04561403508771933,ok
75123,1.0,70,0.34325108853410735,ok
75125,1.0,71,0.03339882121807469,ok
75232,1.0,72,0.12643678160919536,ok
75103,1.0,73,0.010736842105263156,ok
75192,1.0,74,0.5153664302600474,ok
75230,1.0,75,?,not_applicable
75139,1.0,76,0.013131313131313105,ok
75227,1.0,77,0.09702748177229392,ok
2120,1.0,78,0.08628005657708626,ok
75124,1.0,79,0.15627095908786048,ok
75240,1.0,80,0.022020725388601003,ok
75198,1.0,81,0.09701965757767916,ok
75201,1.0,82,0.09368836291913218,ok
75133,1.0,83,0.010246557796990019,ok
75154,1.0,84,?,not_applicable
75177,1.0,85,0.02170418006430863,ok
2117,1.0,86,0.1799962772228082,ok
75156,1.0,87,0.2093775262732417,ok
75097,1.0,88,0.06316470914639782,ok
75172,1.0,89,0.10606060606060608,ok
75106,1.0,90,0.3465454545454546,ok
75187,1.0,91,0.016380016380016404,ok
75120,1.0,92,0.03929273084479368,ok
