@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
letter,1.0,127,0.036945573967602785,ok
mushroom,1.0,132,0.0,ok
kddcup09_upselling,1.0,135,0.23956301205408403,ok
pol,1.0,313,0.012337581468720105,ok
ailerons,1.0,140,0.11225585185629583,ok
codrna,1.0,145,0.017344186462393107,ok
delta_ailerons,1.0,150,0.06013099219620954,ok
imdb.drama,1.0,152,0.44265281039922477,ok
kropt,1.0,157,0.14164228120873745,ok
chess,1.0,160,0.13452598705583851,ok
socmob,1.0,162,0.07605439495467081,ok
wilt,1.0,230,0.029156945030618164,ok
musk,1.0,167,0.0,ok
ova_uterus,1.0,170,0.1734938503231186,ok
vehicle_sensit,1.0,175,0.1263938565180458,ok
japanesevowels,1.0,264,0.008758474174718311,ok
ipums_la_99-small,1.0,195,0.1833319208640546,ok
semeion,1.0,182,0.030530526315346806,ok
isolet,1.0,234,0.031723386782242846,ok
ova_kidney,1.0,219,0.016878962700634048,ok
kr-vs-k,1.0,190,0.13307029191699415,ok
gesturephasesegmentationprocessed,1.0,197,0.36799394267569363,ok
fbis.wc,1.0,201,0.16332713173897806,ok
mfeat-morphological,1.0,203,0.2770986107989025,ok
yeast,1.0,206,0.482835593958605,ok
airlines,1.0,207,0.3380998948824423,ok
puma32h,1.0,215,0.08236574746008707,ok
delta_elevators,1.0,216,0.11901785714285718,ok
twonorm,1.0,218,0.016023627754155445,ok
mv,1.0,223,0.0005630630630630851,ok
ozone-level-8hr,1.0,266,0.15122673434856182,ok
pc2,1.0,356,0.3605645851154833,ok
click_prediction_small,1.0,237,0.3561505166161997,ok
visualizing_soil,1.0,239,0.0,ok
spambase,1.0,241,0.047059468147282235,ok
mc1,1.0,333,0.16507138459734394,ok
ova_prostate,1.0,244,0.022727272727272707,ok
mnist_784,1.0,249,0.015321452269665192,ok
ova_lung,1.0,254,0.08536585365853666,ok
segment,1.0,258,0.017510588986410447,ok
ldpa,1.0,276,0.011154102369127616,ok
poker-hand,1.0,278,0.7841839268294447,ok
la1s.wc,1.0,282,0.09021894986407675,ok
abalone,1.0,289,0.34628082367940793,ok
skin-segmentation,1.0,292,0.0004176760322044393,ok
ova_colon,1.0,296,0.06814919251473983,ok
satimage,1.0,316,0.110448905101181,ok
qsar-biodeg,1.0,303,0.1688561887637151,ok
sylva_agnostic,1.0,306,0.0031496062992126816,ok
mfeat-factors,1.0,307,0.008900028312760488,ok
one-hundred-plants-shape,1.0,312,0.3105634920634921,ok
kdd_ipums_la_97-small,1.0,321,0.01733703190013869,ok
new3s.wc,1.0,326,0.09994663995318298,ok
la2s.wc,1.0,329,0.09663470965787901,ok
magictelescope,1.0,331,0.14874114985094045,ok
kddcup09_appetency,1.0,336,0.2578602336574871,ok
one-hundred-plants-margin,1.0,339,0.1626984126984128,ok
adult,1.0,344,0.16851840850367505,ok
bioresponse,1.0,345,0.20890365833733027,ok
amazon_employee_access,1.0,351,0.22022348051074758,ok
higgs,1.0,352,0.2771707954725513,ok
oh0.wc,1.0,357,0.07357976617051032,ok
kddcup09_churn,1.0,361,0.33397433434510315,ok
ova_endometrium,1.0,368,0.1501022494887525,ok
covertype,1.0,369,0.048015971884640574,ok
