@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75119,1.0,2,0.027504911591355596,ok
252,1.0,4,0.15454545454545454,ok
246,1.0,5,0.010606060606060619,ok
75178,1.0,8,0.7453438312958998,ok
75171,1.0,9,0.16611172770995186,ok
75233,1.0,11,0.05956344802071767,ok
248,1.0,12,0.2257575757575757,ok
2123,1.0,13,0.05882352941176472,ok
75188,1.0,16,0.14785992217898836,ok
75092,1.0,17,0.08108108108108103,ok
75248,1.0,18,0.0979757085020243,ok
75126,1.0,20,0.037328094302554016,ok
75234,1.0,22,0.024160524160524166,ok
258,1.0,26,0.01024811218985977,ok
75168,1.0,28,0.1733870967741935,ok
75235,1.0,29,0.0022222222222222365,ok
244,1.0,30,0.156060606060606,ok
75221,1.0,32,0.39692765113974227,ok
75219,1.0,34,0.019219097713938926,ok
75202,1.0,37,0.11172161172161177,ok
3043,1.0,39,0.01607717041800638,ok
75205,1.0,41,0.17458593537876732,ok
75174,1.0,42,0.10667730779462625,ok
288,1.0,44,0.13090909090909086,ok
75250,1.0,45,0.34176829886970106,ok
275,1.0,50,0.03136882129277563,ok
75142,1.0,51,0.07046755370549318,ok
75213,1.0,54,0.044619422572178435,ok
75243,1.0,56,0.0,ok
75184,1.0,58,0.09457732335220015,ok
75222,1.0,60,0.040723981900452455,ok
75175,1.0,64,0.09837028336514464,ok
233,1.0,67,0.003795066413662229,ok
75161,1.0,68,0.062365271686612656,ok
75176,1.0,73,0.01541623843782114,ok
75090,1.0,75,0.07342657342657344,ok
75114,1.0,77,0.025540275049115935,ok
236,1.0,81,0.033030303030303076,ok
75141,1.0,82,0.052904180540140566,ok
254,1.0,83,0.0,ok
75107,1.0,84,0.050303030303030294,ok
262,1.0,88,0.0022056796250344846,ok
75146,1.0,90,0.11042539122768347,ok
75189,1.0,93,0.036538771662138814,ok
2350,1.0,96,0.36551136506027115,ok
253,1.0,100,0.42798353909465026,ok
2122,1.0,104,0.07895873838842082,ok
75110,1.0,106,0.07971484121840566,ok
75163,1.0,109,0.05824829931972786,ok
75108,1.0,111,0.0,ok
75117,1.0,115,0.0491159135559921,ok
75191,1.0,118,0.1274220335855324,ok
75226,1.0,119,0.0021296014602981694,ok
261,1.0,122,0.22424242424242424,ok
75236,1.0,123,0.0323809523809524,ok
75095,1.0,125,0.011278195488721776,ok
75093,1.0,126,0.1667594654788419,ok
75223,1.0,129,0.08824800172823499,ok
75244,1.0,132,0.06305688827964362,ok
75109,1.0,134,0.30079803560466545,ok
75197,1.0,138,0.13300492610837433,ok
75127,1.0,141,0.3279624261219354,ok
75143,1.0,142,0.012715033657442087,ok
75153,1.0,146,0.08916019237883832,ok
75173,1.0,149,0.11815286624203825,ok
75215,1.0,153,0.02247807017543857,ok
75195,1.0,154,0.002006987289080553,ok
75207,1.0,155,0.1502890173410405,ok
75225,1.0,158,0.05023923444976075,ok
75166,1.0,160,0.09027007029226786,ok
75100,1.0,163,0.00379609544468551,ok
75169,1.0,165,0.051301982122036516,ok
75132,1.0,168,0.044537462865196886,ok
273,1.0,172,0.040843214756258184,ok
75098,1.0,175,0.0196536796536797,ok
75115,1.0,178,0.015717092337917515,ok
75185,1.0,179,0.1235592438911941,ok
2119,1.0,181,?,not_applicable
75157,1.0,182,0.43454038997214484,ok
75113,1.0,184,0.0037894736842105647,ok
75134,1.0,187,0.005422495082991752,ok
75096,1.0,191,0.053474924021143955,ok
75217,1.0,192,0.0,ok
75203,1.0,194,0.08514664143803219,ok
75182,1.0,196,0.10853950518754985,ok
75123,1.0,197,0.3236574746008708,ok
75237,1.0,199,0.00034624326062226984,ok
75125,1.0,202,0.03143418467583492,ok
75103,1.0,206,0.00484210526315787,ok
75192,1.0,211,0.49251379038613086,ok
75230,1.0,213,?,not_applicable
75139,1.0,214,0.010101010101010055,ok
75227,1.0,215,0.10207515423443636,ok
2120,1.0,216,0.08109382366808104,ok
75124,1.0,219,0.08048289738430581,ok
75240,1.0,220,0.022020725388601003,ok
75129,1.0,224,0.09514563106796114,ok
75198,1.0,226,0.09987317691819908,ok
75201,1.0,229,0.07593688362919138,ok
75112,1.0,231,0.10994263862332698,ok
75133,1.0,233,0.006083893691962827,ok
75105,1.0,235,0.018121212121212094,ok
75154,1.0,237,?,not_applicable
75177,1.0,240,0.009646302250803873,ok
2117,1.0,242,0.14041074641682694,ok
75156,1.0,246,0.21665319320937748,ok
75097,1.0,249,0.050124849717932074,ok
75101,1.0,251,0.2718815675608851,ok
75172,1.0,256,0.0757575757575758,ok
75106,1.0,259,0.07187878787878788,ok
75179,1.0,262,0.17943026267110618,ok
75187,1.0,263,0.015561015561015523,ok
75120,1.0,264,0.035363457760314354,ok
75193,1.0,266,0.03575284379840715,ok
