@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,1,0.01565922561525568,ok
autouniv-au1-1000,1.0,5,0.25950000000000006,ok
hill-valley,1.0,9,0.0,ok
eye_movements,1.0,14,0.17681209540342113,ok
abalone,1.0,17,0.8769085717046411,ok
tamilnadu-electricity,1.0,19,0.947756348266465,ok
xd6,1.0,22,0.0,ok
colleges_usnews,1.0,25,0.25167376749847836,ok
pc4,1.0,29,0.09702797202797209,ok
fri_c3_500_50,1.0,32,0.1011018463371054,ok
run_or_walk_information,1.0,37,0.008410684831804849,ok
satellite,1.0,42,0.03017286537454167,ok
2dplanes,1.0,43,0.06880799167253038,ok
wine-quality-red,1.0,47,0.6161336684542298,ok
arsenic-female-bladder,1.0,52,0.1940880503144654,ok
kuzushiji-mnist,1.0,56,0.021482498414330586,ok
anneal,1.0,59,0.0009216589861751334,ok
fri_c3_1000_25,1.0,61,0.07383792677910317,ok
pollen,1.0,67,0.48644136848276476,ok
volcanoes-b5,1.0,68,0.5699847967928948,ok
titanic,1.0,72,0.29320987654320985,ok
strikes,1.0,75,0.0,ok
madeline,1.0,81,0.0821005669048338,ok
cardiotocography,1.0,83,0.0,ok
kick,1.0,84,0.3006417025492927,ok
microaggregation2,1.0,89,0.4916187730470363,ok
monks-problems-2,1.0,91,0.0,ok
autouniv-au6-750,1.0,95,0.7612754085799343,ok
meta_stream_intervals.arff,1.0,98,0.006967878468411404,ok
diabetes130us,1.0,101,0.5067441114849294,ok
steel-plates-fault,1.0,104,0.19263434860176276,ok
bank8fm,1.0,108,0.054070141112634085,ok
semeion,1.0,113,0.031490541211592005,ok
elevators,1.0,115,0.12154344583111543,ok
umist_faces_cropped,1.0,120,0.021955128205128238,ok
isolet,1.0,121,0.033152523763478325,ok
led24,1.0,124,0.25890692593605036,ok
satimage,1.0,129,0.10112177411403478,ok
pbcseq,1.0,131,0.1434266632917307,ok
bachchoralharmony,1.0,134,0.9252287492599984,ok
compas-two-years,1.0,138,0.3265118829110152,ok
volcanoes-b6,1.0,143,0.5809143287967867,ok
philippine,1.0,145,0.16948482215796368,ok
irish,1.0,147,0.0,ok
monks-problems-1,1.0,149,0.0,ok
porto-seguro,1.0,150,0.3988950321221292,ok
arsenic-female-lung,1.0,154,0.05555555555555558,ok
autouniv-au7-1100,1.0,159,0.5064077630375687,ok
steel-plates-fault,1.0,162,0.0,ok
speeddating,1.0,168,0.22671228902772056,ok
devnagari-script,1.0,171,0.03767826945318897,ok
arsenic-male-lung,1.0,172,0.0,ok
fars,1.0,174,0.39134793637762566,ok
wdbc,1.0,176,0.01449275362318847,ok
hiva_agnostic,1.0,181,0.28794275953202053,ok
rmftsa_ladata,1.0,185,0.09256715506715507,ok
banknote-authentication,1.0,188,0.0,ok
visualizing_soil,1.0,191,0.0003103662321539691,ok
wine-quality-white,1.0,194,0.5594259465253884,ok
analcatdata_dmft,1.0,197,0.7737781849718646,ok
ova_colon,1.0,199,0.06985388361958478,ok
volcanoes-e1,1.0,203,0.7058646616541353,ok
cpu_small,1.0,206,0.08179300997192374,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_75_edm-2_001,1.0,211,0.26064295662411874,ok
dresses-sales,1.0,214,0.37422037422037424,ok
tokyo1,1.0,220,0.07429759817314352,ok
parity5_plus_5,1.0,222,0.0,ok
delta_ailerons,1.0,227,0.05943422519509478,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_50_edm-2_001,1.0,230,0.28459230117593004,ok
mammography,1.0,233,0.0645452024403772,ok
first-order-theorem-proving,1.0,236,0.4963289871477006,ok
pol,1.0,238,0.010955207771181863,ok
