@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE roc_auc NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75192,1.0,1,0.48914415175333126,ok
75119,1.0,2,0.03586776859504137,ok
75139,1.0,321,0.000592063689743072,ok
75212,1.0,397,0.17037648900095648,ok
246,1.0,8,?,not_applicable
252,1.0,9,?,not_applicable
75178,1.0,10,?,not_applicable
75177,1.0,13,0.0007976155493052417,ok
75092,1.0,52,0.04872691411152952,ok
75239,1.0,15,0.0,ok
75173,1.0,264,0.04976298701298698,ok
75215,1.0,269,0.003011411213182491,ok
75171,1.0,21,0.08390184823006619,ok
75112,1.0,410,0.056506595005561766,ok
75227,1.0,24,0.03564418557308702,ok
75233,1.0,102,0.014237583502759277,ok
75182,1.0,356,0.052365535678483566,ok
253,1.0,27,?,not_applicable
75157,1.0,29,0.4139033018867925,ok
75187,1.0,267,0.001194541081475875,ok
75124,1.0,395,0.08288524266086794,ok
75090,1.0,32,?,not_applicable
75222,1.0,285,0.032916666666666594,ok
75231,1.0,34,?,not_applicable
75185,1.0,37,0.0492198320581817,ok
2123,1.0,39,?,not_applicable
75150,1.0,72,0.20365148738192596,ok
75143,1.0,43,0.0009815096251266642,ok
75196,1.0,45,0.00010402219140082103,ok
75188,1.0,49,?,not_applicable
75248,1.0,54,0.13847340668404695,ok
75249,1.0,204,0.00027157459842586107,ok
75113,1.0,59,0.00035914702581374414,ok
75126,1.0,63,0.01998989680305996,ok
288,1.0,64,?,not_applicable
251,1.0,65,?,not_applicable
75184,1.0,156,0.05192249912367086,ok
75234,1.0,68,0.0024341981701589965,ok
258,1.0,73,?,not_applicable
75166,1.0,281,0.027273444208829156,ok
75168,1.0,77,?,not_applicable
75148,1.0,276,0.05714372744025953,ok
75235,1.0,81,?,not_applicable
75159,1.0,85,0.07428995337007216,ok
75146,1.0,88,0.03902390737018924,ok
244,1.0,89,?,not_applicable
75141,1.0,163,0.008309207869546142,ok
75221,1.0,92,?,not_applicable
75219,1.0,101,0.003017615815757768,ok
75202,1.0,96,?,not_applicable
3043,1.0,99,0.0007976155493052417,ok
75205,1.0,103,?,not_applicable
75174,1.0,106,0.046689314765498646,ok
75250,1.0,111,?,not_applicable
75179,1.0,238,0.10433997211841184,ok
275,1.0,115,?,not_applicable
242,1.0,116,?,not_applicable
75207,1.0,117,?,not_applicable
75142,1.0,118,0.01486433691665967,ok
75099,1.0,171,0.13256035161374957,ok
75243,1.0,126,?,not_applicable
75175,1.0,253,0.03438767711211699,ok
233,1.0,137,7.236937328125581e-05,ok
75161,1.0,139,0.010965392944143892,ok
75176,1.0,143,0.0008155640317971669,ok
262,1.0,146,?,not_applicable
75129,1.0,147,0.1410533311181258,ok
261,1.0,221,0.20118938300756473,ok
75114,1.0,152,0.01289587605377085,ok
75093,1.0,230,0.24427512963129827,ok
260,1.0,158,?,not_applicable
236,1.0,160,?,not_applicable
254,1.0,166,0.0,ok
75107,1.0,167,0.13454992985733727,ok
75181,1.0,175,?,not_applicable
75189,1.0,187,0.0039052183844204835,ok
75163,1.0,189,0.02211436849684123,ok
2350,1.0,191,0.41524352522082464,ok
2122,1.0,195,?,not_applicable
75110,1.0,198,?,not_applicable
75213,1.0,394,0.013125739061884079,ok
75095,1.0,203,0.0069040205766888185,ok
75108,1.0,207,0.0,ok
75117,1.0,212,0.05331457160725439,ok
75191,1.0,216,0.07801659888081602,ok
75226,1.0,219,7.70861710237547e-05,ok
75244,1.0,222,0.10109230957560011,ok
75236,1.0,223,?,not_applicable
75169,1.0,227,?,not_applicable
75116,1.0,319,0.002741760438681573,ok
75223,1.0,235,?,not_applicable
75109,1.0,242,?,not_applicable
75197,1.0,245,?,not_applicable
75237,1.0,364,4.241221283507457e-06,ok
248,1.0,250,?,not_applicable
2119,1.0,254,?,not_applicable
75127,1.0,255,0.2750824723734884,ok
75153,1.0,263,0.022855656269682556,ok
75195,1.0,271,2.2912493125026856e-08,ok
266,1.0,277,?,not_applicable
75225,1.0,279,0.06236780879864645,ok
75100,1.0,286,0.12582626953884435,ok
75132,1.0,293,0.27152591159294626,ok
75210,1.0,298,0.0,ok
273,1.0,300,0.01124981735827002,ok
75133,1.0,303,0.03146345753569224,ok
75121,1.0,304,0.0,ok
75098,1.0,310,?,not_applicable
75115,1.0,315,0.028559516364394355,ok
75217,1.0,337,?,not_applicable
75134,1.0,341,?,not_applicable
75096,1.0,346,?,not_applicable
75203,1.0,350,?,not_applicable
75123,1.0,360,?,not_applicable
75125,1.0,369,0.021532940271725254,ok
2120,1.0,371,?,not_applicable
75232,1.0,374,0.07496972588161899,ok
75103,1.0,380,0.0010392963174684633,ok
75230,1.0,386,?,not_applicable
75240,1.0,399,0.007972654303551208,ok
75198,1.0,404,?,not_applicable
75201,1.0,407,?,not_applicable
75105,1.0,415,0.16475344537756154,ok
75154,1.0,420,?,not_applicable
2117,1.0,429,0.08514254760590934,ok
75156,1.0,430,0.13042017382504711,ok
75097,1.0,434,0.14857355521175386,ok
75101,1.0,438,0.1892655265868073,ok
75172,1.0,443,?,not_applicable
75106,1.0,449,0.2627889170037707,ok
75120,1.0,456,0.05153374233128838,ok
75193,1.0,461,?,not_applicable
