@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75240,1.0,1.0566981656476,1.0,ok
75174,1.0,1.388384754991,38.0,ok
75187,1.0,1.0319596299411,31.0,ok
75105,1.0,2.8475383801,3.0,ok
75231,1.0,1.172596013282,111.0,ok
75215,1.0,1.55730809674,0.0,ok
75090,1.0,1.0510270868737,14.0,ok
75134,1.0,1.0812148894553,126.0,ok
75168,1.0,1.45409142205,113.0,ok
75189,1.0,1.0291880359796,100.0,ok
75121,1.0,1.00205128205128,127.0,ok
75226,1.0,1.00395754632128,104.0,ok
75212,1.0,1.505592841163,68.0,ok
75150,1.0,1.511873350923,110.0,ok
2122,1.0,1.986624483335,7.0,ok
75248,1.0,2.25835866261,94.0,ok
75120,1.0,1.0400801603206,109.0,ok
75205,1.0,1.319131463673,46.0,ok
260,1.0,1.185256286578,131.0,ok
266,1.0,1.0219363078382,8.0,ok
75210,1.0,1.0,33.0,ok
75128,1.0,1.0212539851222,26.0,ok
2119,1.0,1.478799176515,116.0,ok
261,1.0,1.784810126582,105.0,ok
75239,1.0,1.0,73.0,ok
75126,1.0,1.0652418447694,121.0,ok
75141,1.0,1.135974786132,103.0,ok
75243,1.0,2.20111502963,13.0,ok
75244,1.0,2.32681017613,78.0,ok
75156,1.0,1.380261248186,85.0,ok
75178,1.0,1.88351909155,67.0,ok
75095,1.0,1.308571428571,4.0,ok
75114,1.0,1.0349127182045,102.0,ok
75129,1.0,2.0851063829800003,90.0,ok
2120,1.0,1.132884512845,123.0,ok
246,1.0,1.00993812471102,66.0,ok
75225,1.0,2.1578947368400003,98.0,ok
75213,1.0,1.19209039548,82.0,ok
75123,1.0,1.490060152719,64.0,ok
75142,1.0,1.136640493139,106.0,ok
288,1.0,1.191943191436,108.0,ok
75198,1.0,1.280896878401,119.0,ok
75219,1.0,1.0502692998205,76.0,ok
75166,1.0,1.183183183183,49.0,ok
75099,1.0,1.959349593496,41.0,ok
75207,1.0,1.3122295131100001,96.0,ok
2117,1.0,1.2166700140589999,124.0,ok
75159,1.0,2.11111111111,128.0,ok
75112,1.0,1.335298278708,79.0,ok
273,1.0,1.104377104377,30.0,ok
75222,1.0,1.5205479452050001,91.0,ok
3043,1.0,1.288888888889,75.0,ok
75153,1.0,1.189749182116,47.0,ok
75203,1.0,1.31861883081,61.0,ok
2123,1.0,1.456523013779,115.0,ok
75109,1.0,1.4564386436730001,63.0,ok
75117,1.0,1.0740740740741,114.0,ok
233,1.0,3.0,35.0,ok
75236,1.0,1.0339196257766,12.0,ok
242,1.0,1.0134183928295,74.0,ok
75192,1.0,1.8,32.0,ok
75237,1.0,1.000545404963185,117.0,ok
75235,1.0,1.00141248643998,118.0,ok
75176,1.0,1.0293963254593,107.0,ok
75098,1.0,1.016905232082,43.0,ok
75146,1.0,1.189433962264,24.0,ok
75115,1.0,1.0212314225053,112.0,ok
254,1.0,1.529455630127,50.0,ok
75184,1.0,1.323108384458,19.0,ok
75173,1.0,1.230600062834,52.0,ok
75101,1.0,1.524203949443,36.0,ok
75179,1.0,1.592920353982,125.0,ok
75196,1.0,1.0289855072464,11.0,ok
75093,1.0,2.07501410039,89.0,ok
75161,1.0,1.121274712305,62.0,ok
75234,1.0,1.0480651731161,54.0,ok
75110,1.0,1.986498552916,77.0,ok
248,1.0,1.253073628496,15.0,ok
75119,1.0,1.0448065173116,130.0,ok
252,1.0,1.168019946148,27.0,ok
75177,1.0,1.288888888889,92.0,ok
75193,1.0,1.111383313449,97.0,ok
75223,1.0,1.190679839597,51.0,ok
75171,1.0,1.329455909944,45.0,ok
75154,1.0,1.185955783505,21.0,ok
75127,1.0,1.7659615151730002,101.0,ok
75169,1.0,1.0389593378803,88.0,ok
75175,1.0,1.243140105397,80.0,ok
