@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75119,1.0,2,0.028049575003882055,ok
252,1.0,4,0.15350770386880908,ok
246,1.0,5,0.010572490912405419,ok
75178,1.0,8,0.745157493399081,ok
75171,1.0,9,0.16610831730926445,ok
75233,1.0,11,0.059956084676696775,ok
248,1.0,12,0.2266232293790591,ok
2123,1.0,13,0.06713395908217368,ok
75188,1.0,16,0.16284462220994977,ok
75092,1.0,17,0.08367861336099225,ok
75248,1.0,19,0.13089304350014264,ok
75126,1.0,20,0.0369500532085808,ok
75234,1.0,22,0.024161314223939967,ok
258,1.0,26,0.010255257216277291,ok
75168,1.0,28,0.18434292781221573,ok
75235,1.0,29,0.0022202610981304494,ok
244,1.0,30,0.15752617142257241,ok
75221,1.0,32,0.40807529633787076,ok
75219,1.0,34,0.019225825323324286,ok
75202,1.0,37,0.12151452195123824,ok
3043,1.0,39,0.01581426302782829,ok
75205,1.0,41,0.17458174688168304,ok
75174,1.0,43,0.10710705257786957,ok
288,1.0,44,0.1310261789027669,ok
75250,1.0,45,0.342057045935668,ok
275,1.0,50,0.03131893442607803,ok
75142,1.0,51,0.07046912917779324,ok
75213,1.0,54,0.04471213963158005,ok
75243,1.0,56,0.0,ok
75184,1.0,58,0.0970148121334291,ok
75222,1.0,60,0.043816730936406256,ok
75175,1.0,64,0.09871823711691408,ok
233,1.0,67,0.003795066413662229,ok
75161,1.0,68,0.062364152375908644,ok
75176,1.0,74,0.015412132419098112,ok
75090,1.0,75,0.07333261867052443,ok
75114,1.0,77,0.02558260352914643,ok
236,1.0,81,0.03303382340477501,ok
75141,1.0,82,0.05274339880258805,ok
254,1.0,83,0.0,ok
75107,1.0,85,0.05769721000403483,ok
262,1.0,88,0.0022060642471499747,ok
75146,1.0,90,0.1104465986871338,ok
75189,1.0,93,0.03645770857955255,ok
2350,1.0,96,0.41957630647858535,ok
253,1.0,101,0.42779638279067356,ok
2122,1.0,104,0.07900647324616583,ok
75110,1.0,106,0.07975825767257794,ok
75163,1.0,109,0.05832390621957895,ok
75108,1.0,111,0.0,ok
75117,1.0,115,0.05422661410492313,ok
75191,1.0,118,0.1276804625837541,ok
75226,1.0,119,0.002135634114310059,ok
261,1.0,122,0.24367061263285228,ok
75236,1.0,123,0.03223932232216997,ok
75095,1.0,125,0.01134324033817491,ok
75093,1.0,126,0.20276311851638606,ok
75223,1.0,129,0.08833437634546748,ok
75244,1.0,132,0.08454790579104887,ok
75109,1.0,136,0.30386125246183004,ok
75197,1.0,138,0.13627095426931013,ok
75127,1.0,139,0.3342038999192877,ok
75143,1.0,142,0.012721558276480915,ok
75153,1.0,146,0.08916224342123102,ok
75173,1.0,149,0.11814554266105481,ok
75215,1.0,153,0.022496612969353458,ok
75195,1.0,154,0.0020065536078917035,ok
75207,1.0,155,0.15212544997139288,ok
75225,1.0,159,0.060092897060158856,ok
75166,1.0,160,0.09026784572992763,ok
75100,1.0,163,0.004847986831384432,ok
75169,1.0,165,0.05123355072182756,ok
75132,1.0,166,0.06506125850401911,ok
273,1.0,172,0.04083069021047525,ok
75098,1.0,175,0.019664364899365294,ok
75115,1.0,178,0.015896800030160807,ok
75185,1.0,179,0.12359241390359055,ok
2119,1.0,181,?,not_applicable
75157,1.0,182,0.4443266838810014,ok
75113,1.0,184,0.0037600236546422305,ok
75134,1.0,187,0.00541878068085222,ok
75096,1.0,191,0.05396031553640013,ok
75217,1.0,192,0.0,ok
75203,1.0,194,0.08579877697024652,ok
75182,1.0,196,0.10925971539677926,ok
75123,1.0,197,0.31863251415141325,ok
75237,1.0,199,0.0003461742251318345,ok
75125,1.0,203,0.03170047885839278,ok
75103,1.0,208,0.004809357668079772,ok
75192,1.0,210,0.49644280180690137,ok
75230,1.0,213,?,not_applicable
75139,1.0,214,0.010099446985894378,ok
75227,1.0,215,0.10260886670684588,ok
2120,1.0,216,0.08282481703514599,ok
75124,1.0,219,0.085029566710349,ok
75240,1.0,220,0.02190680155196323,ok
75129,1.0,222,0.12263090405993005,ok
75198,1.0,226,0.10052205263493841,ok
75201,1.0,229,0.07630120158006992,ok
75112,1.0,231,0.11163677878489064,ok
75133,1.0,233,0.0076499750497749375,ok
75105,1.0,235,0.027098972971820845,ok
75154,1.0,237,?,not_applicable
75177,1.0,240,0.00981703975682402,ok
2117,1.0,242,0.1453783792225931,ok
75156,1.0,246,0.21702836066798215,ok
75097,1.0,249,0.05873345136666053,ok
75101,1.0,251,0.27211276780980864,ok
75172,1.0,256,0.07557176568180901,ok
75106,1.0,259,0.10588559176672385,ok
75179,1.0,262,0.1802675018911193,ok
75187,1.0,263,0.015562686747805476,ok
75120,1.0,264,0.04107840251982542,ok
75193,1.0,266,0.035865444993947726,ok
