@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75119,1.0,2,0.03143418467583492,ok
246,1.0,4,0.010606060606060619,ok
75178,1.0,5,0.8193705826829661,ok
75171,1.0,6,0.16611172770995186,ok
248,1.0,7,0.2545454545454545,ok
2123,1.0,8,0.05882352941176472,ok
75188,1.0,10,0.14785992217898836,ok
75092,1.0,11,0.08939708939708935,ok
75248,1.0,12,0.0979757085020243,ok
75126,1.0,13,0.03929273084479368,ok
75234,1.0,15,0.026208026208026203,ok
258,1.0,19,0.01024811218985977,ok
75168,1.0,21,0.1733870967741935,ok
244,1.0,22,0.1575757575757576,ok
75221,1.0,23,0.4192269573835481,ok
75219,1.0,25,0.025490592757434705,ok
75202,1.0,27,0.11172161172161177,ok
3043,1.0,29,0.01607717041800638,ok
75205,1.0,31,0.17458593537876732,ok
75174,1.0,32,0.1118648576749135,ok
288,1.0,33,0.13090909090909086,ok
75250,1.0,34,0.34191034720672087,ok
275,1.0,37,0.03136882129277563,ok
75142,1.0,38,0.0715825466438712,ok
75213,1.0,40,0.044619422572178435,ok
75222,1.0,42,0.04751131221719462,ok
75175,1.0,44,0.1076200264278373,ok
233,1.0,48,0.003795066413662229,ok
75161,1.0,51,0.06481825615104442,ok
75176,1.0,53,0.016884451622375618,ok
75090,1.0,55,0.09965034965034969,ok
75114,1.0,56,0.025540275049115935,ok
236,1.0,58,0.03893939393939394,ok
254,1.0,59,0.0,ok
75107,1.0,61,0.05036363636363639,ok
262,1.0,64,0.0041356492969396585,ok
75146,1.0,66,0.11329072074057744,ok
75189,1.0,67,0.021646632677111644,ok
2350,1.0,72,0.3654863042878982,ok
253,1.0,74,0.42798353909465026,ok
2122,1.0,76,0.1798444588464031,ok
75163,1.0,77,0.05824829931972786,ok
75108,1.0,78,0.0,ok
75117,1.0,80,0.0491159135559921,ok
75191,1.0,83,0.1274220335855324,ok
75226,1.0,84,0.0030422878004259246,ok
261,1.0,86,0.22424242424242424,ok
75236,1.0,87,0.03428571428571425,ok
75095,1.0,89,0.01942355889724312,ok
75093,1.0,90,0.17288418708240538,ok
75223,1.0,92,0.10531432274789376,ok
75244,1.0,94,0.06305688827964362,ok
75109,1.0,96,0.30079803560466545,ok
75197,1.0,99,0.13300492610837433,ok
75127,1.0,101,0.3307433874918537,ok
75143,1.0,102,0.012715033657442087,ok
75153,1.0,105,0.08916019237883832,ok
75173,1.0,107,0.11878980891719748,ok
75215,1.0,111,0.02247807017543857,ok
75195,1.0,112,0.002006987289080553,ok
75207,1.0,113,0.1502890173410405,ok
75225,1.0,116,0.05023923444976075,ok
75166,1.0,118,0.09027007029226786,ok
75100,1.0,121,0.00379609544468551,ok
75169,1.0,123,0.05324523902059852,ok
75132,1.0,124,0.04480679776998797,ok
273,1.0,125,0.04281949934123852,ok
75098,1.0,129,0.0196536796536797,ok
75115,1.0,132,0.015717092337917515,ok
75185,1.0,133,0.12494236975564776,ok
2119,1.0,134,?,not_applicable
75157,1.0,136,0.4428969359331476,ok
75113,1.0,137,0.0037894736842105647,ok
75134,1.0,139,0.0055695457971067786,ok
75096,1.0,141,0.054879202488085754,ok
75217,1.0,143,0.0,ok
75203,1.0,145,0.08514664143803219,ok
75182,1.0,147,0.10853950518754985,ok
75237,1.0,149,0.00039570658356824495,ok
75125,1.0,150,0.03143418467583492,ok
75103,1.0,156,0.00484210526315787,ok
75192,1.0,159,0.49251379038613086,ok
75230,1.0,161,?,not_applicable
75139,1.0,162,0.010505050505050462,ok
75227,1.0,163,0.10207515423443636,ok
75124,1.0,165,0.08651911468812878,ok
75240,1.0,167,0.022020725388601003,ok
75129,1.0,171,0.09514563106796114,ok
75198,1.0,173,0.09987317691819908,ok
75201,1.0,176,0.07593688362919138,ok
75112,1.0,177,0.12237093690248568,ok
75133,1.0,178,0.006083893691962827,ok
75105,1.0,179,0.1775757575757576,ok
75154,1.0,180,?,not_applicable
75177,1.0,182,0.01205787781350487,ok
2117,1.0,184,0.14227213501271951,ok
75156,1.0,186,0.22473726758286172,ok
75097,1.0,189,0.050124849717932074,ok
75101,1.0,191,0.28214241562615894,ok
75172,1.0,193,0.0757575757575758,ok
75106,1.0,194,0.07206060606060605,ok
75179,1.0,197,0.17943026267110618,ok
75120,1.0,198,0.035363457760314354,ok
75193,1.0,200,0.03575284379840715,ok
