@RELATION ChaLearn_AutoML_Challenge_2015_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE auc_metric NUMERIC
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
16_acc,1.0,1,0.00459646974798,1.27470707893,ok
16_acc,1.0,2,0.0049535761657,0.828923463821,ok
16_acc,1.0,3,0.0173502703806,1.14150500298,ok
16_acc,1.0,4,0.00169370472401,1.69793701172,ok
16_acc,1.0,5,0.0053004795429,48.9678258896,ok
16_acc,1.0,6,0.00807570656056,2.56354045868,ok
16_acc,1.0,7,0.00443322109989,23.4363224506,ok
16_acc,1.0,8,0.00400979491889,8.56766080856,ok
16_acc,1.0,9,0.0123252729313,0.110753059387,ok
16_acc,1.0,10,0.00597898173656,1.52613735199,ok
16_acc,1.0,11,0.0101775329048,1.69916319847,ok
16_acc,1.0,12,0.116702377308,17.7069013119,ok
16_acc,1.0,13,0.0060121416182,37.8771569729,ok
16_acc,1.0,14,0.0216100397919,0.835356712341,ok
16_acc,1.0,15,0.0124630139782,25.2974920273,ok
16_acc,1.0,16,0.00164779104173,55.3640120029,ok
16_acc,1.0,17,0.0162738496072,0.132619142532,ok
16_acc,1.0,18,0.00870319355168,23.0755970478,ok
16_acc,1.0,19,0.0030303030303,22.6459367275,ok
16_acc,1.0,20,0.0125701459035,0.164131879807,ok
16_acc,1.0,21,0.0207478828691,40.9589560032,ok
16_acc,1.0,22,0.0143097643098,25.602889061,ok
16_acc,1.0,23,0.00390266299357,8.43732619286,ok
16_acc,1.0,24,0.0153555759616,0.048731803894,ok
16_acc,1.0,25,0.00992755841241,1.16433644295,ok
16_acc,1.0,26,0.00992755841241,7221.61358905,ok
16_acc,1.0,27,0.00522395673911,6.52732133865,ok
16_acc,1.0,28,0.0106621773288,1.01049828529,ok
16_acc,1.0,29,0.0308080808081,6.92828321457,ok
16_acc,1.0,30,0.00698908274666,31.4836671352,ok
16_acc,1.0,31,0.0139169472503,3.27981233597,ok
16_acc,1.0,32,0.0612794612795,0.152343034744,ok
16_acc,1.0,33,0.022660952964,0.86173915863,ok
16_acc,1.0,34,0.00578512396694,9.70290398598,ok
16_acc,1.0,35,0.0220997857361,3.6905362606,ok
16_acc,1.0,36,0.00990715233139,9.10077190399,ok
16_acc,1.0,37,0.0422737475768,73.3437204361,ok
16_acc,1.0,38,0.0131619222528,0.080353975296,ok
16_acc,1.0,39,0.956228956229,0.260109186172,ok
16_acc,1.0,40,0.00663197632895,6.68792366982,ok
16_acc,1.0,41,0.00828997041118,5.29730796814,ok
16_acc,1.0,42,0.00828997041118,7209.73603415,ok
16_acc,1.0,43,0.00671360065299,0.415115118027,ok
16_acc,1.0,44,0.00693806754413,5.21820664406,ok
16_acc,1.0,45,0.3455667789,2539.90270805,ok
16_acc,1.0,46,0.0216916641159,3.33521580696,ok
16_acc,1.0,47,0.0121722273237,0.313623666763,ok
16_acc,1.0,48,0.0103152739516,0.16264796257,ok
16_acc,1.0,49,0.0179114376084,0.0220308303833,ok
16_acc,1.0,50,0.00492296704418,1.95918035507,ok
16_acc,1.0,51,0.00263748597082,10.3108921051,ok
16_acc,1.0,52,0.00511427405367,0.621807813644,ok
16_acc,1.0,53,0.00163248648097,1.85953497887,ok
16_acc,1.0,54,0.00440771349862,0.327279090881,ok
16_acc,1.0,55,0.00610141822263,5.15600585938,ok
16_acc,1.0,56,0.0385215794307,93.8116300106,ok
16_acc,1.0,57,0.0153402714009,1.18025517464,ok
16_acc,1.0,58,0.00525711662075,0.351942777634,ok
16_acc,1.0,59,0.0307749209264,0.0931389331818,ok
16_acc,1.0,60,0.017278849097,0.295312166214,ok
16_acc,1.0,61,0.00597898173656,1236.10958695,ok
16_acc,1.0,62,0.0142383430262,0.715062618256,ok
16_acc,1.0,63,0.0162891541679,0.138820171356,ok
16_acc,1.0,64,0.00830527497194,10.0163030624,ok
