@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC

@DATA
2dplanes,1.0,1e-05,0.0,0.00039,1e-05,1e-05,0.01178,0.01066,1e-05,0.00084,1e-05,0.00029,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,1e-05,2e-05,1e-05,0.00012,1e-05,1e-05,3e-05,7e-05,0.00031,0.0,0.0,9e-05,0.00017,4e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.0003,5e-05,5e-05,7e-05,0.00013,0.00694
abalone,1.0,1e-05,0.0,9e-05,1e-05,0.0,0.00134,0.00118,1e-05,0.00013,1e-05,4e-05,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00015,0.0,2e-05,3e-05,6e-05,3e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.0003,5e-05,5e-05,7e-05,0.00014,0.00076
ailerons,1.0,1e-05,1e-05,0.00014,1e-05,1e-05,0.00506,0.00412,1e-05,0.00057,1e-05,0.0004,0.0,2e-05,2e-05,3e-05,5e-05,2e-05,0.0,2e-05,1e-05,0.00011,1e-05,0.0,3e-05,6e-05,0.00031,0.0,0.0,9e-05,0.00017,4e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.00032,5e-05,6e-05,7e-05,0.00014,0.00242
amazon-commerce-reviews,1.0,1e-05,1e-05,8e-05,1e-05,1e-05,0.03373,0.01083,0.00031,0.01301,0.00031,0.01052,0.0,0.00032,0.00031,0.00063,0.00064,0.00062,1e-05,0.00066,1e-05,0.00012,2e-05,1e-05,3e-05,7e-05,0.00035,0.0,0.0,9e-05,0.0002,5e-05,0.00176,0.00038,0.00039,0.00042,0.00056,0.00184,0.00043,0.00041,0.00043,0.00056,0.00037
analcatdata_authorship,1.0,1e-05,1e-05,7e-05,1e-05,1e-05,0.00082,0.00055,2e-05,0.00021,2e-05,0.00011,1e-05,3e-05,3e-05,7e-05,9e-05,3e-05,1e-05,5e-05,1e-05,0.00022,5e-05,1e-05,5e-05,0.00012,0.00059,0.0,1e-05,0.00016,0.00034,8e-05,0.00029,5e-05,5e-05,7e-05,0.00012,0.00036,6e-05,6e-05,8e-05,0.00016,0.00044
analcatdata_dmft,1.0,1e-05,1e-05,5e-05,1e-05,1e-05,0.00041,0.00033,1e-05,8e-05,1e-05,3e-05,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00014,1e-05,1e-05,4e-05,8e-05,0.00022,1e-05,1e-05,5e-05,0.00012,4e-05,0.00038,6e-05,7e-05,9e-05,0.00016,0.0004,6e-05,7e-05,9e-05,0.00018,0.00031
analcatdata_supreme,1.0,1e-05,1e-05,0.00011,2e-05,1e-05,0.00251,0.0022,1e-05,0.00026,2e-05,8e-05,1e-05,3e-05,3e-05,7e-05,9e-05,3e-05,1e-05,4e-05,1e-05,0.00021,2e-05,1e-05,5e-05,0.00012,0.00057,0.0,1e-05,0.00018,0.0003,8e-05,0.0004,7e-05,7e-05,9e-05,0.00017,0.00042,7e-05,7e-05,0.0001,0.00018,0.00147
anneal,1.0,1e-05,1e-05,3e-05,1e-05,0.0,0.00046,0.00032,1e-05,0.00012,1e-05,4e-05,0.0,2e-05,2e-05,4e-05,5e-05,2e-05,1e-05,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00018,1e-05,1e-05,4e-05,8e-05,3e-05,0.00029,5e-05,5e-05,7e-05,0.00012,0.00032,5e-05,6e-05,7e-05,0.00013,0.00024
arsenic-female-bladder,1.0,1e-05,1e-05,3e-05,1e-05,1e-05,0.00022,0.00017,1e-05,5e-05,1e-05,2e-05,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,1e-05,2e-05,1e-05,0.0001,1e-05,0.0,3e-05,6e-05,0.00014,0.0,1e-05,4e-05,7e-05,3e-05,0.00028,5e-05,5e-05,6e-05,0.00012,0.0003,5e-05,6e-05,7e-05,0.00012,0.00019
arsenic-female-lung,1.0,1e-05,1e-05,4e-05,1e-05,1e-05,0.00033,0.00025,1e-05,7e-05,1e-05,3e-05,0.0,2e-05,2e-05,5e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00014,1e-05,1e-05,4e-05,9e-05,0.0002,0.0,1e-05,5e-05,0.0001,4e-05,0.00038,6e-05,7e-05,9e-05,0.00016,0.00039,6e-05,7e-05,9e-05,0.00017,0.00027
