@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC

@DATA
246,1.0,1e-05,1e-05,0.0001,1e-05,1e-05,0.00123,0.00086,1e-05,0.00024,2e-05,0.00015,0.0,2e-05,2e-05,5e-05,7e-05,3e-05,1e-05,4e-05,1e-05,0.00019,2e-05,1e-05,4e-05,0.00012,0.00045,1e-05,0.0,0.00013,0.00024,7e-05,0.00072,0.00013,0.00012,0.00016,0.00031,0.0007,0.00011,0.00012,0.00015,0.00031,0.00056
248,1.0,1e-05,1e-05,9e-05,1e-05,1e-05,0.00105,0.00092,1e-05,0.0001,1e-05,5e-05,0.0,2e-05,2e-05,5e-05,9e-05,2e-05,1e-05,3e-05,1e-05,0.00021,4e-05,1e-05,4e-05,0.00012,0.00054,0.0,1e-05,0.00015,0.0003,8e-05,0.00039,6e-05,6e-05,8e-05,0.00019,0.00045,6e-05,6e-05,8e-05,0.00024,0.0007
251,1.0,1e-05,0.0,5e-05,1e-05,1e-05,0.00067,0.00057,1e-05,9e-05,1e-05,3e-05,0.0,2e-05,1e-05,3e-05,5e-05,2e-05,1e-05,2e-05,1e-05,0.0001,1e-05,1e-05,3e-05,5e-05,0.00016,0.0,0.0,4e-05,8e-05,3e-05,0.00028,4e-05,5e-05,6e-05,0.00013,0.00034,5e-05,6e-05,9e-05,0.00014,0.00037
252,1.0,2e-05,1e-05,0.00018,2e-05,1e-05,0.00231,0.00174,2e-05,0.0004,3e-05,0.00023,1e-05,4e-05,4e-05,9e-05,0.00013,4e-05,1e-05,6e-05,2e-05,0.00029,4e-05,2e-05,6e-05,0.00016,0.00088,1e-05,1e-05,0.00023,0.00053,0.00011,0.00115,0.00017,0.00018,0.00024,0.00055,0.00166,0.0002,0.0002,0.00034,0.00092,0.0012
253,1.0,2e-05,1e-05,0.00015,3e-05,2e-05,0.00177,0.00155,2e-05,0.00021,3e-05,7e-05,1e-05,4e-05,3e-05,9e-05,0.00012,5e-05,3e-05,8e-05,4e-05,0.00025,3e-05,1e-05,6e-05,0.00014,0.0006,1e-05,1e-05,0.00011,0.00034,0.00012,0.00065,7e-05,0.00011,0.00017,0.0003,0.00049,7e-05,9e-05,0.00013,0.0002,0.00094
254,1.0,2e-05,2e-05,0.00022,3e-05,2e-05,0.00625,0.00531,2e-05,0.00067,2e-05,0.00032,1e-05,3e-05,3e-05,9e-05,0.00012,4e-05,1e-05,5e-05,2e-05,0.00026,3e-05,1e-05,7e-05,0.00015,0.0004,2e-05,1e-05,0.0001,0.0002,8e-05,0.00115,0.00027,0.00016,0.0004,0.00032,0.00217,0.00024,0.00016,0.00023,0.00155,0.00346
258,1.0,2e-05,1e-05,0.00043,2e-05,1e-05,0.00614,0.00454,2e-05,0.00093,3e-05,0.00073,1e-05,4e-05,4e-05,9e-05,0.00011,4e-05,1e-05,7e-05,3e-05,0.00025,3e-05,1e-05,6e-05,0.00015,0.00077,0.0,1e-05,0.00021,0.00045,0.0001,0.00042,6e-05,7e-05,0.0001,0.00019,0.00042,6e-05,7e-05,9e-05,0.00019,0.00257
260,1.0,1e-05,1e-05,0.00018,1e-05,1e-05,0.00247,0.00213,1e-05,0.00027,1e-05,0.00011,1e-05,2e-05,2e-05,7e-05,0.00012,3e-05,1e-05,4e-05,1e-05,0.00021,2e-05,1e-05,4e-05,0.00014,0.00052,0.0,0.0,0.00015,0.00029,7e-05,0.00072,0.00011,0.00012,0.00016,0.00032,0.00075,0.00011,0.00012,0.00017,0.00034,0.0015
261,1.0,1e-05,1e-05,4e-05,1e-05,1e-05,0.0005,0.00038,1e-05,0.0001,1e-05,4e-05,0.0,2e-05,2e-05,4e-05,6e-05,2e-05,1e-05,3e-05,1e-05,0.00013,2e-05,1e-05,3e-05,7e-05,0.0002,1e-05,1e-05,5e-05,0.0001,4e-05,0.00038,6e-05,7e-05,8e-05,0.00017,0.00036,6e-05,6e-05,8e-05,0.00016,0.00076
262,1.0,1e-05,1e-05,0.00056,4e-05,3e-05,0.00847,0.00751,2e-05,0.00067,2e-05,0.00036,3e-05,5e-05,3e-05,8e-05,0.0001,3e-05,1e-05,5e-05,2e-05,0.00025,3e-05,1e-05,6e-05,0.00015,0.0007,1e-05,1e-05,0.0002,0.00039,9e-05,0.00059,8e-05,9e-05,0.00012,0.0003,0.00062,9e-05,0.00011,0.00014,0.00028,0.00477
