@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,1,0.015451112877583495,ok
autouniv-au1-1000,1.0,7,0.22557882114196115,ok
hill-valley,1.0,9,0.0,ok
eye_movements,1.0,14,0.16526215976350178,ok
abalone,1.0,17,0.8728546572172109,ok
tamilnadu-electricity,1.0,20,0.9347053109401733,ok
xd6,1.0,22,0.0,ok
colleges_usnews,1.0,25,0.25169535732916015,ok
pc4,1.0,30,0.20181586492513537,ok
fri_c3_500_50,1.0,34,0.09242085065558037,ok
run_or_walk_information,1.0,37,0.008410114221204523,ok
satellite,1.0,40,0.0018007202881151763,ok
2dplanes,1.0,43,0.06773350305176162,ok
wine-quality-red,1.0,47,0.6216049972916926,ok
arsenic-female-bladder,1.0,53,0.14885057471264362,ok
kuzushiji-mnist,1.0,56,0.021393989878842112,ok
anneal,1.0,58,0.0009174311926605228,ok
fri_c3_1000_25,1.0,61,0.06807155852031532,ok
pollen,1.0,64,0.4605210819411296,ok
volcanoes-b5,1.0,69,0.7058425584255843,ok
titanic,1.0,71,0.15123029443656688,ok
strikes,1.0,75,0.0,ok
madeline,1.0,81,0.08198371510379387,ok
cardiotocography,1.0,83,0.0,ok
kick,1.0,86,0.08830101997085804,ok
microaggregation2,1.0,88,0.3214943133015634,ok
monks-problems-2,1.0,91,0.0,ok
autouniv-au6-750,1.0,95,0.6988638997033741,ok
meta_stream_intervals.arff,1.0,100,0.016364395099554674,ok
diabetes130us,1.0,103,0.4145127501129041,ok
steel-plates-fault,1.0,105,0.1628129287161315,ok
bank8fm,1.0,108,0.05737586572131648,ok
semeion,1.0,113,0.031097664558622284,ok
elevators,1.0,116,0.09093480123198128,ok
umist_faces_cropped,1.0,119,0.023333333333333428,ok
isolet,1.0,121,0.03313050280545893,ok
led24,1.0,124,0.25379871247288877,ok
satimage,1.0,129,0.09307676795502973,ok
pbcseq,1.0,131,0.14289126789126794,ok
bachchoralharmony,1.0,134,0.909935345464228,ok
compas-two-years,1.0,138,0.31877140775871426,ok
volcanoes-b6,1.0,143,0.6407543323139653,ok
philippine,1.0,145,0.16928469792446055,ok
irish,1.0,147,0.0,ok
monks-problems-1,1.0,149,0.0,ok
porto-seguro,1.0,152,0.2681348864914952,ok
arsenic-female-lung,1.0,154,0.0028409090909091717,ok
autouniv-au7-1100,1.0,159,0.5258286623238904,ok
steel-plates-fault,1.0,162,0.0,ok
speeddating,1.0,167,0.17697626306620207,ok
devnagari-script,1.0,171,0.03765334668729925,ok
arsenic-male-lung,1.0,172,0.0,ok
fars,1.0,175,0.3567706060004512,ok
wdbc,1.0,176,0.008333333333333304,ok
hiva_agnostic,1.0,183,0.1404565061107117,ok
rmftsa_ladata,1.0,186,0.09913935782853356,ok
banknote-authentication,1.0,188,0.0,ok
visualizing_soil,1.0,191,0.00040290088638195165,ok
wine-quality-white,1.0,193,0.4464167117798403,ok
analcatdata_dmft,1.0,196,0.7312983980293832,ok
ova_colon,1.0,201,0.0385635198135198,ok
volcanoes-e1,1.0,204,0.6140625,ok
cpu_small,1.0,206,0.07627917070076451,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_75_edm-2_001,1.0,210,0.25736904409588635,ok
dresses-sales,1.0,215,0.3129370629370629,ok
tokyo1,1.0,220,0.06723873481739417,ok
parity5_plus_5,1.0,222,0.0,ok
delta_ailerons,1.0,227,0.05728231814717433,ok
gametes_heterogeneity_20atts_1600_het_0.4_0.2_50_edm-2_001,1.0,230,0.2842205186474319,ok
mammography,1.0,235,0.020593869731800774,ok
first-order-theorem-proving,1.0,237,0.4882605006504166,ok
pol,1.0,238,0.01140873015873023,ok
one-hundred-plants-margin,1.0,243,0.14836751351902855,ok
volcanoes-a2,1.0,246,0.5397879390324718,ok
kdd_el_nino-small,1.0,251,0.05347018572825024,ok
kc2,1.0,254,0.1862567811934901,ok
fri_c3_1000_10,1.0,257,0.07348772136519277,ok
house_16h,1.0,262,0.12833243417434237,ok
ozone-level-8hr,1.0,264,0.025872442839951937,ok
analcatdata_supreme,1.0,266,0.007460452657371608,ok
meta,1.0,272,0.04069767441860472,ok
kdd98,1.0,275,0.13465575711901812,ok
nursery,1.0,277,0.0,ok
cmc,1.0,282,0.45830955638324544,ok
delta_elevators,1.0,283,0.11529249964277832,ok
kropt,1.0,288,0.07683777911227352,ok
mnist_784,1.0,291,0.01672948887351422,ok
arsenic-male-bladder,1.0,293,0.011363636363636354,ok
letter,1.0,298,0.030012385902074667,ok
mc1,1.0,302,0.11731387583477615,ok
ova_prostate,1.0,304,0.0,ok
volcanoes-b2,1.0,308,0.6391554801304522,ok
hypothyroid,1.0,313,0.26195932732862126,ok
autouniv-au7-700,1.0,315,0.47764550264550265,ok
ova_lung,1.0,317,0.00736842105263158,ok
pokerhand,1.0,322,0.19595039077845355,ok
quake,1.0,326,0.22067039106145248,ok
stock,1.0,329,0.028316953316953386,ok
fri_c2_1000_25,1.0,332,0.05939849624060156,ok
fried,1.0,338,0.05968475916482796,ok
volcanoes-a4,1.0,340,0.4314031485284052,ok
no2,1.0,345,0.3206168831168832,ok
space_ga,1.0,347,0.12308078139477896,ok
led-display-domain-7digit,1.0,352,0.21307942057942064,ok
pc1,1.0,354,0.03708791208791207,ok
fri_c0_500_5,1.0,358,0.07222057953873451,ok
ova_breast,1.0,363,0.03330843406220296,ok
mozilla4,1.0,367,0.03465566724897906,ok
churn,1.0,369,0.038665980795610455,ok
rl,1.0,374,0.15962675821830752,ok
volcanoes-a3,1.0,376,0.5557415155741515,ok
profb,1.0,382,0.1863636363636363,ok
bank32nh,1.0,383,0.17213013232045915,ok
cylinder-bands,1.0,388,0.13516981132075467,ok
madelon,1.0,393,0.10255156109888319,ok
musk,1.0,395,0.0,ok
monks-problems-3,1.0,399,0.006493506493506551,ok
gtsrb-hog02,1.0,403,0.001604917495281799,ok
boston_corrected,1.0,407,0.08511567001309472,ok
skin-segmentation,1.0,413,0.0005948694603654658,ok
balance-scale,1.0,414,0.0,ok
traffic_violations,1.0,417,0.13550820842210332,ok
wilt,1.0,422,0.03461195063541467,ok
magictelescope,1.0,426,0.11165728568382915,ok
pc3,1.0,431,0.21549479166666674,ok
japanesevowels,1.0,434,0.007456770306330185,ok
volcanoes-b1,1.0,437,0.6861968166513621,ok
fri_c1_1000_50,1.0,440,0.06368663594470048,ok
splice,1.0,444,0.03865031265031271,ok
optdigits,1.0,445,0.006872995346842048,ok
gtsrb-huehist,1.0,448,0.18135328939038586,ok
amazon-commerce-reviews,1.0,452,0.1585985680985681,ok
ringnorm,1.0,454,0.02327415313505221,ok
gametes_epistasis_2-way_20atts_0.1h_edm-1_1,1.0,460,0.2981223954675283,ok
water-treatment,1.0,461,0.0,ok
breast-w,1.0,467,0.0387126865671642,ok
yeast,1.0,470,0.3884023987075662,ok
gametes_epistasis_2-way_20atts_0.4h_edm-1_1,1.0,473,0.17793487000804076,ok
fri_c2_500_50,1.0,476,0.04043557721596103,ok
micro-mass,1.0,480,0.0629761904761903,ok
indian_pines,1.0,485,0.028133936210865684,ok
miceprotein,1.0,486,0.0,ok
diabetes,1.0,492,0.2515579559617781,ok
collins,1.0,494,0.7010546622701903,ok
internet-advertisements,1.0,498,0.024457063159992076,ok
ova_endometrium,1.0,503,0.21686507936507937,ok
phishingwebsites,1.0,506,0.022706287944692205,ok
walking-activity,1.0,509,0.38087695508012875,ok
baseball,1.0,512,0.17838037262497697,ok
page-blocks,1.0,515,0.10134847822921222,ok
houses,1.0,518,0.015200357536114373,ok
waveform-5000,1.0,521,0.12547258383303683,ok
electricity,1.0,524,0.047654368765049915,ok
gtsrb-hog01,1.0,528,0.004043846386399985,ok
puma32h,1.0,532,0.08290275761973875,ok
bioresponse,1.0,536,0.20921456592188303,ok
cjs,1.0,538,0.003958668813741295,ok
spoken-arabic-digit,1.0,543,0.7425156001634581,ok
fri_c4_500_100,1.0,546,0.07875985445724676,ok
ova_kidney,1.0,548,0.01585035190954187,ok
ldpa,1.0,553,0.013721835974281005,ok
synthetic_control,1.0,556,0.015079365079365026,ok
pm10,1.0,560,0.36769480519480524,ok
ailerons,1.0,563,0.11299128364655409,ok
sensory,1.0,567,0.30000000000000004,ok
usps,1.0,571,0.028639565757897834,ok
kdd_internet_usage,1.0,575,0.11490234585994141,ok
kin8nm,1.0,576,0.08512655212409759,ok
dna,1.0,581,0.04528449187806671,ok
gametes_epistasis_3-way_20atts_0.2h_edm-1_1,1.0,585,0.32637348297011615,ok
volcanoes-d4,1.0,586,0.700331883419501,ok
fri_c0_1000_5,1.0,590,0.06375592373535133,ok
gesturephasesegmentationprocessed,1.0,594,0.2681001265311306,ok
ova_ovary,1.0,598,0.0730511420059583,ok
qsar-biodeg,1.0,601,0.12415740915081908,ok
mv,1.0,605,0.0002745241581258995,ok
wall-robot-navigation,1.0,609,0.0007002801120448154,ok
eucalyptus,1.0,611,0.29652589240824534,ok
pendigits,1.0,615,0.002229995319253164,ok
har,1.0,617,0.004500834347410776,ok
soybean,1.0,622,0.017136275031011894,ok
puma8nh,1.0,624,0.161989385126031,ok
kr-vs-k,1.0,628,0.07477989380570227,ok
ilpd,1.0,630,0.3156679494227598,ok
pc2,1.0,634,0.4766447368421053,ok
eating,1.0,640,0.2830933486878683,ok
eeg-eye-state,1.0,643,0.019375616670604057,ok
artificial-characters,1.0,647,0.10197123808914588,ok
climate-model-simulation-crashes,1.0,648,0.014792899408283988,ok
volcanoes-d1,1.0,652,0.7194877734524919,ok
cpu_act,1.0,657,0.06428538219881386,ok
wind,1.0,662,0.12423519323861287,ok
fri_c3_500_10,1.0,663,0.09003548196333533,ok
socmob,1.0,668,0.05117647058823538,ok
oil_spill,1.0,670,0.014754098360655776,ok
mushroom,1.0,674,0.0,ok
jm1,1.0,677,0.25564157706093193,ok
analcatdata_authorship,1.0,680,0.0,ok
vowel,1.0,683,0.0032467532467531646,ok
gametes_epistasis_2-way_1000atts_0.4h_edm-1_edm-1_1,1.0,687,0.18443969766677615,ok
spambase,1.0,693,0.0400455252054186,ok
mofn-3-7-10,1.0,694,0.0,ok
colleges_aaup,1.0,701,0.00952380952380949,ok
tic-tac-toe,1.0,702,0.0,ok
texture,1.0,707,0.0,ok
