@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE balanced_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75192,1.0,1,0.48782257022764985,ok
75119,1.0,4,0.0695867768595042,ok
75139,1.0,321,0.011122642423236018,ok
75212,1.0,6,0.2517281105990783,ok
246,1.0,8,0.009139262762521305,ok
252,1.0,233,0.13711811587859157,ok
75178,1.0,11,0.7429049833119139,ok
75177,1.0,425,0.04339658284706771,ok
75092,1.0,38,0.09149184149184153,ok
75239,1.0,15,0.0,ok
75173,1.0,265,0.11674512987012986,ok
75215,1.0,269,0.026241817481709617,ok
75171,1.0,20,0.16021634957588604,ok
75112,1.0,23,0.1348916549589878,ok
75227,1.0,28,0.11320532570088204,ok
75233,1.0,128,0.07507019072514276,ok
75182,1.0,26,0.12900486463303174,ok
253,1.0,48,0.4565207338633164,ok
75157,1.0,87,0.44441037735849065,ok
75187,1.0,267,0.015222345702873286,ok
75124,1.0,240,0.17848917663338937,ok
75090,1.0,32,0.04430596207095605,ok
75222,1.0,183,0.12196428571428575,ok
75231,1.0,35,0.1381984126984126,ok
75185,1.0,325,0.12269821069900799,ok
2123,1.0,40,0.20456349206349211,ok
75150,1.0,41,0.2839242915550543,ok
75143,1.0,385,0.016685663627152958,ok
75196,1.0,44,0.005357142857142838,ok
75188,1.0,51,0.24713792819659552,ok
75248,1.0,57,0.18575920934411494,ok
75249,1.0,58,0.011076681981693204,ok
75113,1.0,59,0.00303030303030305,ok
75126,1.0,62,0.06516562026412642,ok
288,1.0,110,0.12772987493567334,ok
251,1.0,65,0.0,ok
75184,1.0,66,0.11926220817622779,ok
75234,1.0,68,0.02374500281720371,ok
258,1.0,75,0.006898860431585718,ok
75166,1.0,281,0.08876575068786041,ok
75168,1.0,77,0.08505859971318741,ok
75148,1.0,329,0.12794323702767318,ok
