@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE balanced_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
twonorm,1.0,1,0.01771678907357299,ok
autouniv-au1-1000,1.0,4,0.25950000000000006,ok
hill-valley,1.0,8,0.15462296896222139,ok
eye_movements,1.0,11,0.25740970963451704,ok
abalone,1.0,14,0.8793549373660499,ok
tamilnadu-electricity,1.0,15,0.947756348266465,ok
xd6,1.0,18,0.0,ok
colleges_usnews,1.0,20,0.2565537779323537,ok
pc4,1.0,24,0.21328671328671334,ok
fri_c3_500_50,1.0,26,0.1011018463371054,ok
run_or_walk_information,1.0,29,0.00868773318107352,ok
satellite,1.0,35,0.03107647983237294,ok
2dplanes,1.0,37,0.06926972144547094,ok
wine-quality-red,1.0,39,0.6698231746666716,ok
arsenic-female-bladder,1.0,42,0.21006289308176096,ok
kuzushiji-mnist,1.0,46,0.056294071475397445,ok
anneal,1.0,47,0.0036866359447003116,ok
pollen,1.0,50,0.4887379890100063,ok
volcanoes-b5,1.0,53,0.6159550973310217,ok
titanic,1.0,59,0.29320987654320985,ok
strikes,1.0,62,0.0,ok
madeline,1.0,65,0.0821005669048338,ok
cardiotocography,1.0,67,0.0,ok
kick,1.0,68,0.38212456764376757,ok
microaggregation2,1.0,70,0.5575290191241562,ok
autouniv-au6-750,1.0,71,0.8162242309122788,ok
meta_stream_intervals.arff,1.0,73,0.006967878468411404,ok
diabetes130us,1.0,77,0.568544055664782,ok
steel-plates-fault,1.0,78,0.1936144534657368,ok
bank8fm,1.0,81,0.056611135441965166,ok
semeion,1.0,86,0.03268913639168025,ok
elevators,1.0,87,0.1255791963490306,ok
umist_faces_cropped,1.0,89,0.03864468864468873,ok
isolet,1.0,90,0.034107073656674314,ok
led24,1.0,93,0.2618991981973896,ok
satimage,1.0,97,0.11307141024836254,ok
pbcseq,1.0,98,0.15748943709963203,ok
bachchoralharmony,1.0,102,0.9176676115447174,ok
compas-two-years,1.0,105,0.33147071053795574,ok
volcanoes-b6,1.0,109,0.5809143287967867,ok
philippine,1.0,111,0.16948482215796368,ok
irish,1.0,113,0.0,ok
monks-problems-1,1.0,115,0.0,ok
porto-seguro,1.0,116,0.40495624684075393,ok
arsenic-female-lung,1.0,122,0.06126984126984136,ok
autouniv-au7-1100,1.0,125,0.5064077630375687,ok
steel-plates-fault,1.0,127,0.0,ok
speeddating,1.0,133,0.22671228902772056,ok
devnagari-script,1.0,135,0.0718597714820397,ok
fars,1.0,138,0.39134793637762566,ok
wdbc,1.0,141,0.025976418570375803,ok
hiva_agnostic,1.0,143,0.28794275953202053,ok
rmftsa_ladata,1.0,147,0.10050366300366298,ok
banknote-authentication,1.0,148,0.002016129032258007,ok
visualizing_soil,1.0,149,0.0008064516129031585,ok
wine-quality-white,1.0,151,0.6211247764303067,ok
analcatdata_dmft,1.0,152,0.7865107223993332,ok
ova_colon,1.0,154,0.07396821327864656,ok
volcanoes-e1,1.0,157,0.7187218045112782,ok
cpu_small,1.0,160,0.0961564527059735,ok
