@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE recall_micro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75110,1.0,1,0.13350615683732991,ok
75223,1.0,2,0.36098509397278034,ok
75240,1.0,3,0.022020725388601003,ok
75095,1.0,4,0.02631578947368418,ok
75174,1.0,5,0.12064378824155364,ok
75093,1.0,6,0.31375278396436523,ok
75169,1.0,7,0.04158569762922659,ok
75233,1.0,8,0.06326304106548275,ok
75191,1.0,9,0.12203973672879376,ok
260,1.0,10,0.06976744186046513,ok
75115,1.0,11,0.01964636542239684,ok
75123,1.0,12,0.32438316400580547,ok
75192,1.0,13,0.5145784081954294,ok
75197,1.0,14,0.14655172413793105,ok
266,1.0,15,0.017060367454068248,ok
75150,1.0,16,0.2848664688427299,ok
75100,1.0,17,0.16106290672451196,ok
75178,1.0,18,0.7428459608168152,ok
75236,1.0,19,0.04190476190476189,ok
75213,1.0,20,0.09448818897637801,ok
75134,1.0,21,0.13892616216017495,ok
75198,1.0,22,0.11889663918833226,ok
246,1.0,23,0.024242424242424288,ok
75237,1.0,24,0.0004451699065143311,ok
75195,1.0,25,0.001263658663495093,ok
75171,1.0,26,0.16796152423233446,ok
75250,1.0,27,0.35980843767121895,ok
75116,1.0,28,0.011787819253438081,ok
75187,1.0,29,0.01842751842751844,ok
2350,1.0,30,0.4092674736235371,ok
244,1.0,31,0.13484848484848488,ok
75189,1.0,32,0.018892734422487734,ok
75219,1.0,33,0.026906736799514497,ok
75222,1.0,34,0.1018099547511312,ok
75159,1.0,35,0.07945205479452055,ok
75105,1.0,36,0.24272727272727268,ok
75099,1.0,37,0.22733812949640286,ok
75248,1.0,38,0.33360323886639676,ok
75226,1.0,39,0.00395497414055368,ok
75127,1.0,40,0.3367603766376772,ok
251,1.0,41,0.0,ok
75182,1.0,42,0.12702846501729181,ok
75092,1.0,43,0.20374220374220375,ok
3043,1.0,44,0.02170418006430863,ok
75225,1.0,45,0.16507177033492826,ok
75107,1.0,46,0.06242424242424238,ok
75097,1.0,47,0.1393692777212614,ok
