@RELATION openml_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE acc_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
60_bac,1.0,2,0.221043056398,ok
1130_bac,1.0,32,0.0666666666667,ok
1139_bac,1.0,2,0.0980392156863,ok
715_bac,1.0,56,0.157575757576,ok
722_bac,1.0,53,0.0266666666667,ok
803_bac,1.0,2,0.116447088823,ok
184_bac,1.0,2,0.2019529488,ok
1119_bac,1.0,2,0.286432160804,ok
357_bac,1.0,13,0.259749046623,ok
799_bac,1.0,27,0.163636363636,ok
797_bac,1.0,63,0.230303030303,ok
1049_bac,1.0,18,0.182572614108,ok
846_bac,1.0,1,0.217597663381,ok
866_bac,1.0,54,0.139393939394,ok
837_bac,1.0,37,0.127272727273,ok
399_bac,1.0,8,0.226806611171,ok
1050_bac,1.0,2,0.201550387597,ok
761_bac,1.0,2,0.126479289941,ok
1114_bac,1.0,2,0.143757575758,ok
743_bac,1.0,2,0.151515151515,ok
914_bac,1.0,2,0.390317700454,ok
718_bac,1.0,38,0.127272727273,ok
293_bac,1.0,29,0.0669156226856,ok
182_bac,1.0,2,0.103487276155,ok
843_bac,1.0,2,0.229019816465,ok
1041_bac,1.0,2,0.0901687027341,ok
847_bac,1.0,34,0.271889400922,ok
1036_bac,1.0,61,0.0181014523258,ok
871_bac,1.0,2,1.05511811024,ok
813_bac,1.0,47,0.151515151515,ok
22_bac,1.0,4,0.208754208754,ok
849_bac,1.0,23,0.315151515152,ok
398_bac,1.0,22,0.134638922889,ok
991_bac,1.0,58,0.0140105078809,ok
391_bac,1.0,33,0.165660630449,ok
1120_bac,1.0,2,0.240879400988,ok
995_bac,1.0,2,0.0212121212121,ok
728_bac,1.0,39,0.0119581464873,ok
741_bac,1.0,19,0.532544378698,ok
910_bac,1.0,49,0.145454545455,ok
923_bac,1.0,2,0.0,ok
