@RELATION ChaLearn_AutoML_Challenge_2015_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE r2_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
344_r2_metric,1.0,29,0.000174939632416,ok
344_r2_metric,1.0,1,0.00122278928757,ok
422_r2_metric,1.0,1,0.960557281971,ok
422_r2_metric,1.0,10,0.945026278496,ok
225_r2_metric,1.0,17,0.330708384514,ok
225_r2_metric,1.0,18,0.337872743607,ok
197_a_metric,1.0,1,0.0225197672844,ok
197_a_metric,1.0,1,0.0225197672844,ok
201_a_metric,1.0,32,0.0297561883926,ok
201_a_metric,1.0,33,0.0304522514343,ok
574_a_metric,1.0,1,0.390290558338,ok
574_a_metric,1.0,30,0.375320672989,ok
416_a_metric,1.0,1,0.917826533318,ok
416_a_metric,1.0,1,0.917826533318,ok
189_r2_metric,1.0,46,0.0967750549316,ok
189_r2_metric,1.0,47,0.0880358219147,ok
218_a_metric,1.0,1,0.310629725456,ok
218_a_metric,1.0,9,0.309495270252,ok
1028_r2_metric,1.0,48,0.588872849941,ok
1028_r2_metric,1.0,49,0.589461565018,ok
296_r2_metric,1.0,35,0.161380946636,ok
296_r2_metric,1.0,36,0.150922179222,ok
215_r2_metric,1.0,1,0.0655382275581,ok
215_r2_metric,1.0,1,0.0655382275581,ok
344_a_metric,1.0,24,0.00025749206543,ok
344_a_metric,1.0,1,0.00122278928757,ok
507_a_metric,1.0,1,0.355728745461,ok
507_a_metric,1.0,1,0.355728745461,ok
1414_a_metric,1.0,1,0.177310109138,ok
1414_a_metric,1.0,1,0.177310109138,ok
512_a_metric,1.0,2,0.242917299271,ok
512_a_metric,1.0,3,0.233109474182,ok
296_a_metric,1.0,4,0.14888548851,ok
296_a_metric,1.0,5,0.148914694786,ok
573_a_metric,1.0,1,0.0225197672844,ok
573_a_metric,1.0,1,0.0225197672844,ok
209_r2_metric,1.0,15,0.994413137436,ok
209_r2_metric,1.0,16,0.98642718792,ok
405_r2_metric,1.0,42,0.484567761421,ok
405_r2_metric,1.0,43,0.476034581661,ok
197_r2_metric,1.0,1,0.0225197672844,ok
197_r2_metric,1.0,1,0.0225197672844,ok
225_a_metric,1.0,13,0.34279358387,ok
225_a_metric,1.0,14,0.335347294807,ok
287_r2_metric,1.0,1,0.489314079285,ok
287_r2_metric,1.0,1,0.489314079285,ok
216_r2_metric,1.0,44,0.102353930473,ok
216_r2_metric,1.0,45,0.0976181030273,ok
558_a_metric,1.0,1,0.55268061161,ok
558_a_metric,1.0,10,0.524003922939,ok
1414_r2_metric,1.0,6,0.177092432976,ok
1414_r2_metric,1.0,1,0.177310109138,ok
564_a_metric,1.0,25,0.0437416434288,ok
564_a_metric,1.0,26,0.0731634497643,ok
512_r2_metric,1.0,38,0.230269551277,ok
512_r2_metric,1.0,39,0.234572947025,ok
209_a_metric,1.0,1,1.04990077019,ok
209_a_metric,1.0,1,1.04990077019,ok
562_a_metric,1.0,1,0.0283261537552,ok
562_a_metric,1.0,1,0.0283261537552,ok
218_r2_metric,1.0,1,0.310629725456,ok
218_r2_metric,1.0,23,0.310402274132,ok
215_a_metric,1.0,1,0.0655382275581,ok
215_a_metric,1.0,34,0.0561002492905,ok
1030_a_metric,1.0,1,0.672715425491,ok
1030_a_metric,1.0,37,0.643842160702,ok
216_a_metric,1.0,19,0.104305267334,ok
216_a_metric,1.0,20,0.109950423241,ok
405_a_metric,1.0,21,0.466880619526,ok
405_a_metric,1.0,22,0.458802640438,ok
422_a_metric,1.0,1,0.960557281971,ok
422_a_metric,1.0,10,0.945026278496,ok
308_a_metric,1.0,40,0.0635966062546,ok
308_a_metric,1.0,41,0.063223361969,ok
574_r2_metric,1.0,1,0.390290558338,ok
574_r2_metric,1.0,1,0.390290558338,ok
564_r2_metric,1.0,25,0.0437416434288,ok
564_r2_metric,1.0,31,0.0697287917137,ok
201_r2_metric,1.0,1,0.0331192612648,ok
201_r2_metric,1.0,1,0.0331192612648,ok
189_a_metric,1.0,27,0.100434184074,ok
189_a_metric,1.0,28,0.0846135020256,ok
287_a_metric,1.0,1,0.489314079285,ok
287_a_metric,1.0,1,0.489314079285,ok
227_a_metric,1.0,1,0.0283261537552,ok
227_a_metric,1.0,1,0.0283261537552,ok
198_r2_metric,1.0,1,0.356181740761,ok
198_r2_metric,1.0,1,0.356181740761,ok
573_r2_metric,1.0,1,0.0225197672844,ok
573_r2_metric,1.0,1,0.0225197672844,ok
1028_a_metric,1.0,1,0.601176321507,ok
1028_a_metric,1.0,1,0.601176321507,ok
308_r2_metric,1.0,50,0.063428580761,ok
308_r2_metric,1.0,51,0.0632231831551,ok
507_r2_metric,1.0,1,0.355728745461,ok
507_r2_metric,1.0,1,0.355728745461,ok
416_r2_metric,1.0,1,0.917826533318,ok
416_r2_metric,1.0,1,0.917826533318,ok
1030_r2_metric,1.0,1,0.672715425491,ok
1030_r2_metric,1.0,1,0.672715425491,ok
198_a_metric,1.0,11,0.344804704189,ok
198_a_metric,1.0,12,0.342195510864,ok
562_r2_metric,1.0,1,0.0283261537552,ok
562_r2_metric,1.0,1,0.0283261537552,ok
558_r2_metric,1.0,7,0.431935310364,ok
558_r2_metric,1.0,8,0.470418691635,ok
227_r2_metric,1.0,1,0.0283261537552,ok
227_r2_metric,1.0,1,0.0283261537552,ok
% 
% 
% 
