@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE log_loss NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
ova_colon,1.0,294,0.13056282334218133,ok
satimage,1.0,297,0.25682401207558025,ok
qsar-biodeg,1.0,301,0.33596473658757137,ok
sylva_agnostic,1.0,304,0.02154423466144975,ok
mfeat-factors,1.0,307,1.4700604527285606,ok
one-hundred-plants-shape,1.0,312,1.6068852856952809,ok
kdd_ipums_la_97-small,1.0,321,0.07683780092220441,ok
new3s.wc,1.0,325,0.48113092616343583,ok
la2s.wc,1.0,328,0.29922374327441476,ok
magictelescope,1.0,331,0.2904056956078845,ok
kddcup09_appetency,1.0,335,0.07596462493287981,ok
one-hundred-plants-margin,1.0,338,1.2642740456274513,ok
adult,1.0,343,0.31408801498448036,ok
bioresponse,1.0,348,0.4533531614662549,ok
amazon_employee_access,1.0,350,0.16187200403573881,ok
higgs,1.0,352,0.5433579889016283,ok
oh0.wc,1.0,353,0.4378795991757546,ok
kddcup09_churn,1.0,358,0.2349130359607551,ok
ova_endometrium,1.0,366,0.10896490694859388,ok
covertype,1.0,370,0.11575663525662437,ok
