@RELATION automl_competition_2015_phase2_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE pac_metric NUMERIC
@ATTRIBUTE acc_metric NUMERIC
@ATTRIBUTE auc_metric NUMERIC
@ATTRIBUTE bac_metric NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE f1_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
16_bac,1,718,0.1222099162,0.0218855219,0.0006580961,0.0218855219,9.1539361477,0.0219010574,ok
16_bac,1,719,0.4791359521,0.0235690236,0.0017447199,0.0235690236,8.211332798,0.0235482594,ok
16_bac,1,720,0.4196905723,0.0269360269,0.0014233242,0.0269360269,36.9157471657,0.0269087321,ok
16_bac,1,721,0.1250799971,0.0202020202,0.0007601265,0.0202020202,9.513507843,0.0201555274,ok
16_bac,1,722,0.1216339142,0.0218855219,0.0007193144,0.0218855219,13.8156189919,0.0219010574,ok
16_bac,1,723,0.1226570234,0.0185185185,0.0008111417,0.0185185185,10.2449002266,0.0185479906,ok
16_bac,1,724,0.8583953441,0.0218855219,0.0122946638,0.0218855219,11.2181670666,0.0217570657,ok
16_bac,1,725,0.6727050618,0.0252525253,0.0016120804,0.0252525253,8.5282421112,0.0252216396,ok
16_bac,1,726,0.4743491121,0.0252525253,0.0013570044,0.0252525253,6.5185930729,0.0252618206,ok
16_bac,1,727,0.1350377926,0.0218855219,0.0014284257,0.0218855219,11.0036139488,0.0219395537,ok
962_bac,1,960,1.1435821849,0.0121212121,0.0087235996,0.0067340067,2.8261189461,0.0067567568,ok
962_bac,1,961,1.7324144503,0,0,0,2.8861470223,0,ok
962_bac,1,962,0.9889244781,0.0151515152,0.0084175084,0.0084175084,2.9754140377,0.0084530854,ok
962_bac,1,963,1.7881337939,0.003030303,0,0.0016835017,3.0232019424,0.00168492,ok
962_bac,1,954,0.0816771592,0,0,0,2.9981780052,0,ok
962_bac,1,955,3.5527136788E-015,0,0,0,2.8682069778,0,ok
962_bac,1,956,0.046842584,0,0,0,2.8267781735,0,ok
962_bac,1,957,0.016899494,0,0,0,2.9691770077,0,ok
962_bac,1,958,0.5683751976,0,0,0,2.9441058636,0,ok
962_bac,1,959,3.5527136788E-015,0,0,0,2.9131970406,0,ok
959_bac,1,401,0.0274554843,0,0,0,3.3538019657,0,ok
959_bac,1,402,0.0274554843,0,0,0,3.3338110447,0,ok
959_bac,1,403,0.0274554843,0,0,0,3.2693419457,0,ok
959_bac,1,404,0.0274554843,0,0,0,3.2569730282,0,ok
959_bac,1,405,0.0274554843,0,0,0,3.3330831528,0,ok
959_bac,1,406,0.0274554843,0,0,0,3.2802739143,0,ok
959_bac,1,407,0.0274554843,0,0,0,3.4135210514,0,ok
959_bac,1,408,0.0274554843,0,0,0,3.2344911099,0,ok
959_bac,1,409,0.0274554843,0,0,0,3.2450978756,0,ok
959_bac,1,410,0.0274554843,0,0,0,3.3274729252,0,ok
44_bac,1,838,0.2630197838,0.0882159315,0.0292443928,0.0961257894,4.8420929909,0.1130801688,ok
44_bac,1,839,0.2856686006,0.0987491771,0.0281991725,0.1048214415,4.0179531574,0.1257334451,ok
44_bac,1,840,0.2595034008,0.0895325872,0.0268781302,0.0960477608,4.2325809002,0.1142857143,ok
44_bac,1,841,0.3240912898,0.0987491771,0.0238803803,0.1059864267,3.6853120327,0.126156434,ok
44_bac,1,842,0.2677770674,0.0855826201,0.0256550773,0.0927868912,4.4996960163,0.1095197978,ok
44_bac,1,843,0.4104390976,0.0868992758,0.0364030631,0.096203818,9.6895370483,0.1118644068,ok
44_bac,1,844,0.3205646153,0.0908492429,0.0285403208,0.0977172098,3.8740620613,0.1160639193,ok
44_bac,1,845,0.4124757662,0.0908492429,0.0299375771,0.0994646875,4.3122198582,0.1166525782,ok
44_bac,1,846,0.321315133,0.0934825543,0.0262901938,0.1004736154,4.1988379955,0.1194280908,ok
44_bac,1,847,0.2673090728,0.0842659645,0.0245372723,0.0893699644,4.2113981247,0.1072026801,ok
38_bac,1,934,0.3823164853,0.0449799197,0.0078789789,0.0362545586,3.1832261086,0.3146067416,ok
38_bac,1,935,0.9673693513,0.0819277108,0.0263383008,0.0805344199,2.8121809959,0.5177664975,ok
38_bac,1,936,0.2893450404,0.0353413655,0.0058304444,0.0188195038,3.2765059471,0.2528735632,ok
38_bac,1,937,0.9673693513,0.0819277108,0.0263383008,0.0805344199,2.8320579529,0.5177664975,ok
38_bac,1,938,0.3505753818,0.0465863454,0.0077439107,0.0248075278,3.713351965,0.320441989,ok
38_bac,1,939,1.0779790499,0.075502008,0.0539710054,0.0771126919,2.9483430386,0.4870466321,ok
38_bac,1,940,0.2891157241,0.0417670683,0.0058979785,0.0345436946,3.6830990315,0.2954545455,ok
