@RELATION ChaLearn_AutoML_Challenge_2015_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC

@DATA
405_a_metric,1.0,0.00097,0.0,4e-05,0.0,0.00022,0.00073,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.0013,0.0,0.0,1e-05,9e-05,1e-05,0.00048,0.00309,4e-05,0.0,0.00065,4e-05,0.0,0.00015,0.0,1e-05,0.0,0.0,0.00144,0.0,0.0,0.0,0.0,0.00035,2e-05,0.0,6e-05,1e-05,5e-05,2e-05,0.0001,6e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
405_r2_metric,1.0,0.00098,0.0,4e-05,0.0,0.00022,0.00088,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00137,0.0,0.0,1e-05,9e-05,1e-05,0.00044,0.00334,4e-05,0.0,0.00062,4e-05,0.0,0.00014,0.0,1e-05,0.0,0.0,0.00152,0.0,0.0,0.0,0.0,0.00034,2e-05,0.0,6e-05,0.0,6e-05,2e-05,0.0001,6e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
416_a_metric,1.0,0.00245,0.0,5e-05,0.0,0.00044,0.00167,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00257,0.0,0.0,1e-05,9e-05,1e-05,0.00046,0.0075,4e-05,0.0,0.00064,6e-05,0.0,0.00018,0.0,1e-05,0.0,0.0,0.00344,0.0,0.0,0.0,0.0,0.00045,2e-05,0.0,7e-05,1e-05,6e-05,2e-05,0.00013,6e-05,3e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
416_r2_metric,1.0,0.00246,0.0,5e-05,0.0,0.00043,0.00137,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00243,0.0,0.0,1e-05,9e-05,1e-05,0.00047,0.00712,4e-05,0.0,0.00065,6e-05,0.0,0.00019,0.0,1e-05,0.0,0.0,0.00335,0.0,0.0,0.0,0.0,0.00047,2e-05,0.0,8e-05,1e-05,6e-05,2e-05,0.00014,6e-05,3e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
422_a_metric,1.0,0.00237,0.0,5e-05,0.0,0.00043,0.00144,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00243,0.0,0.0,1e-05,9e-05,1e-05,0.00047,0.00701,4e-05,0.0,0.00064,6e-05,0.0,0.00018,0.0,1e-05,0.0,0.0,0.00326,0.0,0.0,0.0,0.0,0.00046,2e-05,0.0,8e-05,1e-05,6e-05,3e-05,0.00014,6e-05,3e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
422_r2_metric,1.0,0.00241,0.0,5e-05,0.0,0.00044,0.00145,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00248,0.0,0.0,1e-05,9e-05,1e-05,0.00046,0.00728,4e-05,0.0,0.00064,6e-05,0.0,0.00019,0.0,1e-05,0.0,0.0,0.00348,0.0,0.0,0.0,0.0,0.00046,2e-05,0.0,8e-05,1e-05,7e-05,3e-05,0.00014,6e-05,3e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
507_a_metric,1.0,0.00015,0.0,2e-05,0.0,0.00016,6e-05,0.0,0.0,0.00021,0.0,0.0,0.0,1e-05,0.00159,0.0,0.0,1e-05,8e-05,1e-05,0.00065,0.00075,4e-05,0.0,0.00091,0.00011,0.0,0.00055,0.0,1e-05,0.0,0.0,0.00056,0.0,0.0,0.0,0.0,0.00101,2e-05,0.0,0.00013,0.0,4e-05,1e-05,0.00022,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
507_r2_metric,1.0,0.00015,0.0,2e-05,0.0,0.00016,6e-05,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00153,0.0,0.0,1e-05,7e-05,1e-05,0.00046,0.00075,4e-05,0.0,0.00064,0.00011,0.0,0.00026,0.0,1e-05,0.0,0.0,0.00056,0.0,0.0,0.0,0.0,0.00072,2e-05,0.0,0.00014,0.0,3e-05,1e-05,0.00021,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
512_a_metric,1.0,5e-05,0.0,2e-05,0.0,0.00011,4e-05,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.0007,0.0,0.0,1e-05,6e-05,1e-05,0.00044,0.00042,4e-05,0.0,0.00061,2e-05,0.0,0.00012,0.0,1e-05,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.00025,2e-05,0.0,4e-05,0.0,3e-05,1e-05,7e-05,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
512_r2_metric,1.0,6e-05,0.0,2e-05,0.0,0.00011,8e-05,0.0,0.0,0.00021,0.0,0.0,0.0,1e-05,0.00067,0.0,0.0,1e-05,7e-05,1e-05,0.00058,0.00052,4e-05,0.0,0.00084,2e-05,0.0,0.00012,0.0,1e-05,0.0,0.0,0.00041,0.0,0.0,0.0,0.0,0.00025,2e-05,0.0,4e-05,0.0,3e-05,1e-05,7e-05,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
558_a_metric,1.0,0.00049,0.0,3e-05,0.0,0.00037,0.00019,0.0,0.0,0.00021,0.0,0.0,0.0,1e-05,0.00382,0.0,0.0,1e-05,9e-05,1e-05,0.00073,0.00229,4e-05,0.0,0.00099,0.00021,0.0,0.00049,0.0,2e-05,0.0,0.0,0.00164,0.0,0.0,0.0,0.0,0.00132,2e-05,0.0,0.00026,1e-05,5e-05,1e-05,0.00037,5e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
558_r2_metric,1.0,0.00049,0.0,3e-05,0.0,0.00036,0.00019,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.00371,0.0,0.0,1e-05,8e-05,1e-05,0.00056,0.00227,4e-05,0.0,0.00074,0.00021,0.0,0.00046,0.0,1e-05,0.0,0.0,0.00163,0.0,0.0,0.0,0.0,0.00127,2e-05,0.0,0.00023,1e-05,4e-05,1e-05,0.00037,5e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
562_a_metric,1.0,0.00032,0.00014,2e-05,1.08946,0.00028,0.00012,3e-05,8e-05,0.00013,0.00035,0.00019,4e-05,1e-05,0.00157,0.00124,0.15881,1e-05,7e-05,1e-05,0.00048,0.00196,4e-05,0.00051,0.00065,1e-05,0.08654,0.00011,0.0,1e-05,1.08761,8e-05,0.00154,4e-05,0.0007,3e-05,0.11888,0.0002,2e-05,0.00029,3e-05,1e-05,4e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.39691,0.0
562_r2_metric,1.0,0.00031,0.00015,2e-05,1.08546,0.00027,0.00012,3e-05,9e-05,0.00013,0.00043,0.00027,4e-05,1e-05,0.00159,0.00124,0.15862,1e-05,7e-05,1e-05,0.00052,0.0019,4e-05,0.00049,0.0007,2e-05,0.08744,0.00011,0.0,1e-05,1.08323,8e-05,0.0015,3e-05,0.00073,3e-05,0.11795,0.00021,2e-05,0.00029,3e-05,0.0,4e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.39723,0.0
564_a_metric,1.0,0.00105,0.0,2e-05,0.0,0.00229,0.00028,0.0,0.0,0.00013,0.0,0.0,0.0,2e-05,0.0161,0.0,0.0,1e-05,8e-05,1e-05,0.00051,0.00845,4e-05,0.0,0.00069,0.00081,0.0,0.00141,0.0,2e-05,0.0,0.0,0.00716,0.0,0.0,0.0,0.0,0.00429,2e-05,0.0,0.00081,1e-05,5e-05,1e-05,0.00127,5e-05,2e-05,1e-05,1e-05,0.0,2e-05,0.0,0.0
564_r2_metric,1.0,0.00107,0.0,2e-05,0.0,0.0023,0.00028,0.0,0.0,0.00013,0.0,0.0,0.0,1e-05,0.01607,0.0,0.0,1e-05,8e-05,1e-05,0.00054,0.00853,4e-05,0.0,0.00072,0.00082,0.0,0.00155,0.0,1e-05,0.0,0.0,0.00721,0.0,0.0,0.0,0.0,0.0045,2e-05,0.0,0.00082,1e-05,4e-05,1e-05,0.00131,5e-05,1e-05,1e-05,1e-05,0.0,2e-05,0.0,1e-05
573_a_metric,1.0,0.00035,0.00016,2e-05,1.51126,0.00026,0.00013,4e-05,9e-05,0.0002,0.00041,0.00025,4e-05,1e-05,0.00162,0.00153,0.17899,1e-05,7e-05,1e-05,0.00053,0.00196,4e-05,0.00058,0.00078,1e-05,0.05692,9e-05,0.0,1e-05,1.69676,8e-05,0.0015,4e-05,0.00092,3e-05,0.14625,0.00018,2e-05,0.00031,3e-05,1e-05,4e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,0.94202,1e-05
573_r2_metric,1.0,0.00036,0.00013,3e-05,1.55181,0.00027,0.00013,3e-05,0.0001,0.00017,0.00053,0.00034,5e-05,1e-05,0.00194,0.00153,0.17819,1e-05,7e-05,1e-05,0.0006,0.00196,4e-05,0.00057,0.00083,1e-05,0.0667,0.00011,0.0,1e-05,1.78851,8e-05,0.00151,4e-05,0.00092,3e-05,0.14663,0.0002,2e-05,0.00028,3e-05,1e-05,4e-05,1e-05,5e-05,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,1.09208,0.0
574_a_metric,1.0,0.00061,0.00013,2e-05,152.67116,0.00095,0.00025,3e-05,8e-05,0.00013,0.00033,0.00018,4e-05,1e-05,0.00551,0.00211,7.419,1e-05,7e-05,1e-05,0.00046,0.00478,4e-05,0.00088,0.00064,9e-05,8.86999,0.00023,0.0,1e-05,84.10332,7e-05,0.00395,3e-05,0.0012,3e-05,3.37802,0.00063,2e-05,0.00027,0.00012,1e-05,3e-05,1e-05,0.00018,5e-05,1e-05,1e-05,1e-05,3e-05,2e-05,5.47426,0.0
574_r2_metric,1.0,0.00062,0.00013,2e-05,152.47855,0.00099,0.00025,3e-05,9e-05,0.00013,0.00039,0.00023,4e-05,1e-05,0.00471,0.0022,7.42585,1e-05,8e-05,1e-05,0.00049,0.00482,5e-05,0.00089,0.00067,0.0001,8.90127,0.00026,0.0,1e-05,85.99908,7e-05,0.00398,3e-05,0.00128,3e-05,3.38485,0.00066,2e-05,0.00027,0.00011,1e-05,4e-05,1e-05,0.00019,5e-05,2e-05,1e-05,1e-05,3e-05,2e-05,5.49499,0.0
% 
% 
% 
