@RELATION openml_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE auc_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
761_bac,1.0,94,0.0369418725547,ok
1114_bac,1.0,103,0.299469476382,ok
743_bac,1.0,105,0.0236782714862,ok
914_bac,1.0,2,0.243428800521,ok
718_bac,1.0,65,0.0383064516129,ok
293_bac,1.0,49,0.00884598139137,ok
182_bac,1.0,88,0.0147890887331,ok
843_bac,1.0,28,0.107465080004,ok
1041_bac,1.0,38,0.00755065133398,ok
847_bac,1.0,58,0.117896166472,ok
1036_bac,1.0,107,0.00287705026313,ok
871_bac,1.0,55,0.99597991196,ok
813_bac,1.0,81,0.0330794504182,ok
22_bac,1.0,4,0.0316447301296,ok
849_bac,1.0,59,0.090214516603,ok
398_bac,1.0,37,0.0419970627076,ok
991_bac,1.0,101,0.0,ok
391_bac,1.0,57,0.0263506840111,ok
1120_bac,1.0,2,0.132170367014,ok
995_bac,1.0,110,0.000102030405061,ok
728_bac,1.0,69,0.000971031406893,ok
741_bac,1.0,34,0.390826330532,ok
910_bac,1.0,84,0.0275537634409,ok
923_bac,1.0,2,0.0,ok
979_bac,1.0,41,0.0658323158323,ok
934_bac,1.0,25,0.0377896613191,ok
904_bac,1.0,39,0.0745884773663,ok
953_bac,1.0,8,0.00520912355232,ok
977_bac,1.0,15,0.000327641640188,ok
1018_bac,1.0,59,0.191405485394,ok
395_bac,1.0,40,0.0194919568647,ok
737_bac,1.0,44,0.176247278199,ok
735_bac,1.0,95,0.0468203491432,ok
36_bac,1.0,10,0.00323044797416,ok
1116_bac,1.0,1,0.0,ok
819_bac,1.0,74,0.094924663416,ok
1146_bac,1.0,71,0.0,ok
354_bac,1.0,72,0.334325945566,ok
273_bac,1.0,46,0.992255240861,ok
24_bac,1.0,2,0.0,ok
1166_bac,1.0,53,0.0870527225583,ok
57_bac,1.0,31,0.00738660376502,ok
833_bac,1.0,3,0.222064439026,ok
901_bac,1.0,5,0.0234429460245,ok
1138_bac,1.0,19,0.111290238702,ok
1000_bac,1.0,52,0.000226646359153,ok
554_bac,1.0,7,0.000703004335005,ok
401_bac,1.0,70,0.0435207356361,ok
1053_bac,1.0,47,0.519460704728,ok
181_bac,1.0,109,0.230561445751,ok
727_bac,1.0,113,0.0294455198328,ok
1142_bac,1.0,45,0.0757142857143,ok
912_bac,1.0,51,0.0366098105215,ok
% 
% 
% 
