idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,bernoulli_nb:alpha,bernoulli_nb:fit_prior,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
11,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.3991664515518563,4483,,,1.6961613849240715,auto,False,True,1,l2,ovr,l2,1.2226733781308284e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
12,,,,,weighting,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,0.5576149265114078,auto,False,True,1,l2,ovr,l2,0.04226068258804884,,,,,,,,,,0.12562768350263476,False,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
13,SAMME.R,0.02058130256423535,5,267,weighting,,,adaboost,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
14,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.5110064323422645,9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,5.641638307200248e-06,,0.07060847896251375,True,0.7164629744765447,constant,squared_hinge,721,elasticnet,,
15,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,7.374849206806193,auto,False,True,1,l2,ovr,l2,0.018548025965981617,9.12289388045085,auto,False,True,1,l2,ovr,l2,0.0006941751064354955,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
16,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,0.8631968044910818,None,2,12,100,min/max,,,,,,,,,,,,,,,,,,,
17,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,12.880734989909625,None,False,True,1,l2,ovr,l2,0.00036892280651620407,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,normalize,,,,,,,,,1.901877090783668e-05,0.0004780401588028154,0.03314485680173161,True,,constant,modified_huber,621,l1,,
18,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cosine,5856,,,,,nystroem_sampler,,,,,,,,,,,standard,2.5945921934399707e-07,True,0.03272843578522803,,,,,,,,,,,,,,,,
19,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,median,,,,,,1.0641219140928486,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,3.475962095416318e-05,,0.018311208559933848,True,,invscaling,squared_hinge,626,l2,0.04294392578750151,
20,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,gini,None,3.4774379786044163,None,3,19,100,min/max,,,,,,,,,,,,,,,,,,,
21,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,7.72499463090513,auto,False,True,1,l2,ovr,l2,0.00025637399457327157,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,4.054621250171947e-07,0.003326873006614357,0.07163686011908248,True,,invscaling,modified_huber,697,l1,0.619873437367904,
22,,,,,weighting,,,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.39451948193431585,4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3016951272924656,True,squared_hinge,923,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
23,,,,,weighting,,,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5928080561220557,2,2.148649606112349,poly,2104,0.0001407514168777676,True,hinge,676,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
24,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,0.8631968044910818,None,2,12,100,min/max,,,,,,,,,,,,,,,,,,,
25,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,68.10766944658688,None,False,True,1,l2,ovr,l2,1.0417568171709354e-05,,,,,,,,,,,,,,,,,,,,,,,5.551443155242266e-05,rbf,157,,,,,nystroem_sampler,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
26,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.9730067752050879,5447,,,53.25449631250072,auto,False,True,1,l2,ovr,l2,0.00011871302874436985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
27,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,9.175504903672477,None,False,True,1,l2,ovr,l2,0.013834129577528618,678.9753858430612,auto,False,True,1,l2,ovr,l2,0.00015222324610646566,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
28,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.6203452280981492,9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,5.641638307200248e-06,,0.07060847896251375,True,0.7164629744765447,constant,hinge,721,elasticnet,,
