@RELATION automl_competition_2015_phase2_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE bac_metric NUMERIC
@ATTRIBUTE acc_metric NUMERIC
@ATTRIBUTE auc_metric NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE f1_metric NUMERIC
@ATTRIBUTE pac_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
16_bac,1,718,0.0218855219,0.0006580961,0.0218855219,9.1539361477,0.0219010574,0.1222099162,ok
16_bac,1,719,0.0235690236,0.0017447199,0.0235690236,8.211332798,0.0235482594,0.4791359521,ok
16_bac,1,720,0.0269360269,0.0014233242,0.0269360269,36.9157471657,0.0269087321,0.4196905723,ok
16_bac,1,721,0.0202020202,0.0007601265,0.0202020202,9.513507843,0.0201555274,0.1250799971,ok
16_bac,1,722,0.0218855219,0.0007193144,0.0218855219,13.8156189919,0.0219010574,0.1216339142,ok
16_bac,1,723,0.0185185185,0.0008111417,0.0185185185,10.2449002266,0.0185479906,0.1226570234,ok
16_bac,1,724,0.0218855219,0.0122946638,0.0218855219,11.2181670666,0.0217570657,0.8583953441,ok
16_bac,1,725,0.0252525253,0.0016120804,0.0252525253,8.5282421112,0.0252216396,0.6727050618,ok
16_bac,1,726,0.0252525253,0.0013570044,0.0252525253,6.5185930729,0.0252618206,0.4743491121,ok
16_bac,1,727,0.0218855219,0.0014284257,0.0218855219,11.0036139488,0.0219395537,0.1350377926,ok
962_bac,1,960,0.0067340067,0.0087235996,0.0121212121,2.8261189461,0.0067567568,1.1435821849,ok
962_bac,1,961,0,0,0,2.8861470223,0,1.7324144503,ok
962_bac,1,962,0.0084175084,0.0084175084,0.0151515152,2.9754140377,0.0084530854,0.9889244781,ok
962_bac,1,963,0.0016835017,0,0.003030303,3.0232019424,0.00168492,1.7881337939,ok
962_bac,1,954,0,0,0,2.9981780052,0,0.0816771592,ok
962_bac,1,955,0,0,0,2.8682069778,0,3.5527136788E-015,ok
962_bac,1,956,0,0,0,2.8267781735,0,0.046842584,ok
962_bac,1,957,0,0,0,2.9691770077,0,0.016899494,ok
962_bac,1,958,0,0,0,2.9441058636,0,0.5683751976,ok
962_bac,1,959,0,0,0,2.9131970406,0,3.5527136788E-015,ok
959_bac,1,401,0,0,0,3.3538019657,0,0.0274554843,ok
959_bac,1,402,0,0,0,3.3338110447,0,0.0274554843,ok
959_bac,1,403,0,0,0,3.2693419457,0,0.0274554843,ok
959_bac,1,404,0,0,0,3.2569730282,0,0.0274554843,ok
959_bac,1,405,0,0,0,3.3330831528,0,0.0274554843,ok
959_bac,1,406,0,0,0,3.2802739143,0,0.0274554843,ok
959_bac,1,407,0,0,0,3.4135210514,0,0.0274554843,ok
959_bac,1,408,0,0,0,3.2344911099,0,0.0274554843,ok
959_bac,1,409,0,0,0,3.2450978756,0,0.0274554843,ok
959_bac,1,410,0,0,0,3.3274729252,0,0.0274554843,ok
44_bac,1,838,0.0961257894,0.0292443928,0.0882159315,4.8420929909,0.1130801688,0.2630197838,ok
44_bac,1,839,0.1048214415,0.0281991725,0.0987491771,4.0179531574,0.1257334451,0.2856686006,ok
44_bac,1,840,0.0960477608,0.0268781302,0.0895325872,4.2325809002,0.1142857143,0.2595034008,ok
44_bac,1,841,0.1059864267,0.0238803803,0.0987491771,3.6853120327,0.126156434,0.3240912898,ok
44_bac,1,842,0.0927868912,0.0256550773,0.0855826201,4.4996960163,0.1095197978,0.2677770674,ok
44_bac,1,843,0.096203818,0.0364030631,0.0868992758,9.6895370483,0.1118644068,0.4104390976,ok
44_bac,1,844,0.0977172098,0.0285403208,0.0908492429,3.8740620613,0.1160639193,0.3205646153,ok
44_bac,1,845,0.0994646875,0.0299375771,0.0908492429,4.3122198582,0.1166525782,0.4124757662,ok
44_bac,1,846,0.1004736154,0.0262901938,0.0934825543,4.1988379955,0.1194280908,0.321315133,ok
44_bac,1,847,0.0893699644,0.0245372723,0.0842659645,4.2113981247,0.1072026801,0.2673090728,ok
38_bac,1,934,0.0362545586,0.0078789789,0.0449799197,3.1832261086,0.3146067416,0.3823164853,ok
38_bac,1,935,0.0805344199,0.0263383008,0.0819277108,2.8121809959,0.5177664975,0.9673693513,ok
38_bac,1,936,0.0188195038,0.0058304444,0.0353413655,3.2765059471,0.2528735632,0.2893450404,ok
38_bac,1,937,0.0805344199,0.0263383008,0.0819277108,2.8320579529,0.5177664975,0.9673693513,ok
38_bac,1,938,0.0248075278,0.0077439107,0.0465863454,3.713351965,0.320441989,0.3505753818,ok
38_bac,1,939,0.0771126919,0.0539710054,0.075502008,2.9483430386,0.4870466321,1.0779790499,ok
38_bac,1,940,0.0345436946,0.0058979785,0.0417670683,3.6830990315,0.2954545455,0.2891157241,ok
38_bac,1,941,0.0427715997,0.0127639458,0.0803212851,3.0180621147,0.495049505,0.645999269,ok
38_bac,1,942,0.0494124533,0.0054252397,0.0465863454,3.6229510307,0.3276836158,0.2664172068,ok
38_bac,1,943,0.0328328306,0.0061230922,0.0385542169,3.439260006,0.275862069,0.3003934971,ok
1067_bac,1,96,0.496031746,0.3347663139,0.5316091954,3.1583800316,1.0481586402,1.1051459034,ok
1067_bac,1,97,0.496031746,0.3347663139,0.5316091954,3.1330032349,1.0481586402,1.1051459034,ok
1067_bac,1,98,0.5353363568,0.3966521794,0.6235632184,9.8742439747,1.1156812339,1.2345985264,ok
1067_bac,1,99,0.5120937264,0.3808736458,0.4310344828,2.933743,1.0067114094,1.2339750861,ok
1067_bac,1,90,0.496031746,0.3347663139,0.5316091954,3.1572549343,1.0481586402,1.1051459034,ok
1067_bac,1,91,0.5007558579,0.3444035021,0.4885057471,3.0223579407,1.0303030303,1.0824710014,ok
1067_bac,1,92,0.496031746,0.3347663139,0.5316091954,3.1323461533,1.0481586402,1.1051459034,ok
1067_bac,1,93,0.5430839002,0.3798658352,0.5344827586,3.056456089,1.0877192983,1.0910687099,ok
1067_bac,1,94,0.5137944067,0.3597411187,0.5488505747,3.1349010468,1.0700280112,1.257239368,ok
1067_bac,1,95,0.4722222222,0.3430177627,0.4913793103,3.0355238915,1.0088495575,1.1207657113,ok
26_bac,1,416,0.25,8.61532995828E-005,0.0002921926,11.3326048851,0.2511520737,0.0045517706,ok
26_bac,1,417,0.2523148148,4.79616306954E-005,0.0005843852,7.8880808353,0.2524035617,0.0054907053,ok
26_bac,1,418,0.0005423796,1.14227819914E-005,0.0008765778,10.3988471031,0.0005472236,0.0318608777,ok
26_bac,1,419,0.25,0.000015099,0.0002921926,33.9564628601,0.2511520737,0.0036590073,ok
26_bac,1,420,0.2644215593,0.0004421552,0.0029219261,6.6640329361,0.2604192434,0.0563527255,ok
26_bac,1,411,0.25,2.04281019629E-005,0.0002921926,44.8679778576,0.2511520737,0.0032078202,ok
26_bac,1,412,0.25,9.05941913136E-005,0.0002921926,85.9962980747,0.2511520737,0.0048065792,ok
26_bac,1,413,0.25,1.59872102317E-005,0.0002921926,60.8590521812,0.2511520737,0.0034067254,ok
26_bac,1,414,0.25,2.66453503883E-006,0.0002921926,21.2142729759,0.2511520737,0.0041013054,ok
26_bac,1,415,0.25,0.000089706,0.0002921926,13.7719709873,0.2511520737,0.0047473296,ok
389_bac,1,150,0.1899859946,0.0542153302,0.1661791872,12.0393431187,0.2071182784,0.7437559112,ok
389_bac,1,151,0.186097635,0.0316670027,0.1504772167,18.3343548775,0.1893828827,0.8848095176,ok
389_bac,1,152,0.1913823563,0.0345516065,0.1805726601,16.1873288155,0.2188216565,0.9205526174,ok
389_bac,1,153,0.2192095925,0.043474048,0.1936576355,4.1461079121,0.2489918402,0.9076472827,ok
389_bac,1,154,0.1770015549,0.0505248674,0.1557112069,17.1279740334,0.1867001707,0.6735166595,ok
389_bac,1,155,0.209380672,0.0418272672,0.177955665,17.3529059887,0.2315972444,0.8965316776,ok
389_bac,1,156,0.1927307142,0.0323339208,0.1557112069,16.6037259102,0.1975175605,0.8846646857,ok
454_bac,1,246,0.4068770978,0.089882379,0.230248307,2.8507039547,0.6251344182,1.6909622643,ok
454_bac,1,247,0.3066426242,0.0632637195,0.1523702032,2.8600862026,0.4557358457,0.994143861,ok
454_bac,1,248,0.3751041444,0.1225925635,0.2607223476,3.047232151,0.5850806794,1.644961653,ok
454_bac,1,249,0.4082637054,0.1424956001,0.2437923251,2.8841369152,0.6205558839,1.6535829848,ok
454_bac,1,250,0.474440001,0.2253429941,0.1997742664,2.8383350372,0.6182170108,1.2479224683,ok
454_bac,1,251,0.3223297389,0.1285562619,0.2437923251,3.0622150898,0.5758303436,1.6330036751,ok
454_bac,1,252,0.3593634697,0.1431706754,0.2471783296,2.9070849419,0.6055671819,1.3787477833,ok
454_bac,1,253,0.4070199243,0.1390427385,0.2404063205,3.0308339596,0.6235000825,1.6241314189,ok
454_bac,1,254,0.3783593992,0.0927711879,0.2404063205,3.0208969116,0.6182101388,1.1253021765,ok
454_bac,1,255,0.3223297389,0.1285562619,0.2437923251,3.0045528412,0.5758303436,1.6330036751,ok
807_bac,1,236,0.2335913421,0.0777216789,0.2359467456,62.9967339039,0.2245688138,1.0164391503,ok
807_bac,1,237,0.2030855982,0.0634992733,0.2034023669,23.3065781593,0.2048417132,0.5168895233,ok
807_bac,1,238,0.1960458112,0.0720516514,0.1967455621,228.870375872,0.1960206338,0.9141167558,ok
807_bac,1,239,0.2582043289,0.1011520647,0.2581360947,101.496488094,0.2627022958,0.7081878475,ok
807_bac,1,240,0.2357453068,0.0843176485,0.2359467456,170.566534042,0.2383264849,0.5965428914,ok
807_bac,1,241,0.1968513589,0.0583573392,0.1952662722,148.614053011,0.2078740157,0.4910106448,ok
807_bac,1,242,0.2083041468,0.0722267705,0.2085798817,424.275596857,0.2102908277,0.5681661464,ok
807_bac,1,243,0.2227076912,0.0835197622,0.2233727811,8.6099939346,0.2227138643,0.5949535588,ok
807_bac,1,244,0.2009579014,0.0613004343,0.201183432,13.6209189892,0.2031366692,0.5854821624,ok
807_bac,1,245,0.1917641496,0.064461881,0.1923076923,427.787495852,0.192450037,0.4207183827,ok
1112_bac,1,1302,0.7612862738,0.6604358042,0.7054545455,63.7857761383,1.6072908037,1.9964691694,ok
1112_bac,1,1303,0.7571874142,0.6551842684,0.7246060606,158.736188173,1.6074213498,2.0216977852,ok
1112_bac,1,1304,0.7582857972,0.6374052731,0.4633939394,48.9496459961,1.557547362,1.9623630243,ok
1112_bac,1,1305,0.7468389107,0.6400957502,0.7265454545,54.7366821766,1.6018172101,2.0211061212,ok
1112_bac,1,1306,0.7706995974,0.6673165649,0.7116363636,65.8149020672,1.6135770235,1.9950170187,ok
1112_bac,1,1307,0.7483880452,0.6473791217,0.720969697,65.9475431442,1.6019391328,2.0606236619,ok
1112_bac,1,1308,0.7733341623,0.6812072887,0.6883636364,31.9184598923,1.6122072392,2.0418105144,ok
1112_bac,1,1309,0.7550036008,0.6523118069,0.7191515152,88.034717083,1.6054661074,2.0605174341,ok
1112_bac,1,1310,0.7575863552,0.6414410427,0.6746666667,41.6268260479,1.6008052919,1.9963563793,ok
