@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC

@DATA
233,1.0,0.0,0.0,6e-05,1e-05,0.0,0.00081,0.00061,1e-05,0.00013,1e-05,9e-05,0.0,1e-05,1e-05,3e-05,5e-05,2e-05,0.0,3e-05,1e-05,0.00018,3e-05,1e-05,3e-05,0.00011,0.02825,0.0,1e-05,0.01473,0.01347,4e-05,0.00025,3e-05,4e-05,5e-05,0.00012,0.00028,4e-05,4e-05,6e-05,0.00015,0.00057,0.09369,0.01843,0.04234,0.01474,0.01495,0.48165,0.00128,3e-05,0.00047,0.00078
236,1.0,0.0,0.0,0.00033,0.0,0.0,0.00372,0.00317,1e-05,0.00032,1e-05,0.00024,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00018,2e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,4e-05,0.00011,0.00234,0.10384,0.10603,0.48002,0.0668,0.04076,1.21997,0.00163,2e-05,0.00059,0.00102
242,1.0,0.0,0.0,4e-05,1e-05,0.0,0.00116,0.00063,1e-05,0.00028,1e-05,0.00027,0.0,1e-05,1e-05,3e-05,4e-05,2e-05,0.0,3e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00021,3e-05,4e-05,5e-05,0.0001,0.00024,3e-05,4e-05,5e-05,0.00012,0.00036,0.11706,0.03995,0.91453,0.29276,0.01943,0.50029,0.00216,3e-05,0.00053,0.00159
244,1.0,1e-05,0.0,6e-05,1e-05,0.0,0.00091,0.0006,1e-05,0.00018,1e-05,0.00015,0.0,1e-05,1e-05,3e-05,5e-05,2e-05,0.0,4e-05,1e-05,0.00014,3e-05,1e-05,3e-05,7e-05,0.00036,0.0,0.0,9e-05,0.00021,5e-05,0.00019,3e-05,4e-05,4e-05,9e-05,0.00022,3e-05,4e-05,5e-05,0.00011,0.00056,0.04681,0.02547,0.62989,0.50899,0.02187,0.21005,0.00139,4e-05,0.00037,0.00097
246,1.0,0.0,0.0,5e-05,1e-05,0.0,0.00068,0.00046,1e-05,0.00014,1e-05,0.0001,0.0,1e-05,1e-05,2e-05,4e-05,2e-05,0.0,3e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00024,0.0,0.0,5e-05,0.00014,4e-05,0.00019,3e-05,4e-05,4e-05,9e-05,0.00023,3e-05,4e-05,5e-05,0.00011,0.00038,0.05705,0.02387,0.51183,0.42842,0.02209,0.18038,0.00109,4e-05,0.00034,0.00072
248,1.0,0.0,0.0,4e-05,0.0,0.0,0.00042,0.00036,0.0,6e-05,1e-05,2e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,1e-05,2e-05,5e-05,0.00022,0.0,0.0,5e-05,0.00013,3e-05,0.00018,2e-05,3e-05,4e-05,8e-05,0.00021,3e-05,4e-05,4e-05,0.00011,0.00037,0.02503,0.01831,0.04078,0.02486,0.0214,0.02067,0.00091,2e-05,0.00026,0.00063
251,1.0,0.0,0.0,3e-05,1e-05,0.0,0.00035,0.0003,0.0,5e-05,1e-05,2e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00024,0.0,0.0,5e-05,0.00014,3e-05,0.00022,3e-05,4e-05,5e-05,0.0001,0.00027,3e-05,5e-05,5e-05,0.00014,0.00033,0.03688,0.0133,0.01249,0.00695,0.01316,0.04503,0.001,2e-05,0.0003,0.00069
252,1.0,0.0,0.0,4e-05,1e-05,0.0,0.00058,0.00042,1e-05,0.00011,1e-05,7e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00025,0.0,0.0,6e-05,0.00014,4e-05,0.00018,3e-05,3e-05,4e-05,9e-05,0.00022,3e-05,4e-05,5e-05,0.00011,0.00036,0.03802,0.02319,0.46378,0.31944,0.0275,0.11199,0.00105,2e-05,0.00033,0.0007
253,1.0,0.0,0.0,3e-05,0.0,0.0,0.00032,0.00026,1e-05,6e-05,1e-05,2e-05,0.0,1e-05,1e-05,2e-05,3e-05,1e-05,0.0,2e-05,1e-05,0.0001,2e-05,0.0,2e-05,5e-05,0.00023,0.0,0.0,5e-05,0.00014,4e-05,0.00025,3e-05,8e-05,5e-05,0.0001,0.00024,3e-05,4e-05,5e-05,0.00012,0.0003,0.05051,0.0118,0.02704,0.00692,0.01355,0.04076,0.00103,1e-05,0.00031,0.00071
254,1.0,0.0,0.0,8e-05,0.0,0.0,0.0018,0.00148,1e-05,0.00021,1e-05,0.00013,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,0.0,2e-05,1e-05,0.00011,2e-05,0.0,2e-05,6e-05,0.00023,0.0,0.0,5e-05,0.00014,3e-05,0.00022,3e-05,3e-05,5e-05,0.00011,0.00024,3e-05,4e-05,5e-05,0.00012,0.00108,0.26667,0.07906,0.13586,0.05442,0.03361,4.0096,0.00405,4e-05,0.00176,0.00226
