@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE acc_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75113,1.0,17,0.0101052631579,ok
75119,1.0,131,0.0864440078585,ok
75142,1.0,107,0.138407790084,ok
2120,1.0,124,0.103536067893,ok
288,1.0,109,0.191818181818,ok
261,1.0,106,0.460606060606,ok
75101,1.0,37,0.557300037087,ok
75126,1.0,122,0.11394891945,ok
75176,1.0,108,0.032887975334,ok
75098,1.0,44,0.0167388167388,ok
258,1.0,66,0.0107874865156,ok
75231,1.0,112,0.174419719012,ok
75157,1.0,88,0.852367688022,ok
75226,1.0,105,0.00669303316094,ok
236,1.0,10,0.0368727272727,ok
260,1.0,132,0.0332225913621,ok
75215,1.0,1,0.871710526316,ok
75207,1.0,97,0.221579961464,ok
75244,1.0,79,0.128855380398,ok
75225,1.0,99,0.102870813397,ok
75210,1.0,34,0.0,ok
75249,1.0,60,0.0064308681672,ok
75132,1.0,82,0.103153243461,ok
254,1.0,51,0.508208955224,ok
2350,1.0,72,0.740646066712,ok
75174,1.0,39,0.222133546156,ok
75187,1.0,32,0.031122031122,ok
75250,1.0,70,0.357809131486,ok
75179,1.0,126,0.373658897521,ok
75139,1.0,57,0.0210101010101,ok
266,1.0,9,0.0229658792651,ok
75150,1.0,111,0.563798219585,ok
75107,1.0,40,0.150424242424,ok
75146,1.0,25,0.22129160238,ok
75159,1.0,129,0.153424657534,ok
75106,1.0,54,0.144242424242,ok
75227,1.0,43,0.208637128435,ok
75192,1.0,33,0.978723404255,ok
75092,1.0,30,0.199584199584,ok
2117,1.0,125,0.334677669541,ok
275,1.0,24,0.765684410646,ok
75153,1.0,48,0.193118756937,ok
75161,1.0,63,0.122203226046,ok
75127,1.0,102,0.659913705926,ok
75090,1.0,15,0.0505050505051,ok
2123,1.0,116,0.0882352941176,ok
75230,1.0,18,0.298438934803,ok
75095,1.0,5,0.0325814536341,ok
75105,1.0,4,0.0362424242424,ok
75103,1.0,41,0.0147368421053,ok
75134,1.0,127,0.0596676653861,ok
75156,1.0,86,0.418755052546,ok
75175,1.0,81,0.196446924093,ok
75221,1.0,26,0.481665014866,ok
75213,1.0,83,0.0892388451444,ok
75219,1.0,77,0.0453166093466,ok
75125,1.0,45,0.0628683693517,ok
75177,1.0,93,0.0418006430868,ok
75120,1.0,110,0.0785854616896,ok
75205,1.0,47,0.294445952877,ok
75166,1.0,50,0.180540140585,ok
75240,1.0,2,0.0440414507772,ok
75196,1.0,12,0.0156657963446,ok
75115,1.0,113,0.0392927308448,ok
75141,1.0,104,0.111727709952,ok
75197,1.0,121,0.252540024631,ok
75116,1.0,87,0.0157170923379,ok
75178,1.0,68,0.883322717704,ok
75222,1.0,92,0.0859728506787,ok
75163,1.0,130,0.122448979592,ok
253,1.0,23,0.66049382716,ok
248,1.0,16,0.245791245791,ok
75181,1.0,56,0.0,ok
75117,1.0,115,0.141453831041,ok
75202,1.0,6,0.280448717949,ok
75188,1.0,35,0.331763260291,ok
75154,1.0,22,0.177915518825,ok
75236,1.0,13,0.0338624338624,ok
75173,1.0,53,0.233121019108,ok
75223,1.0,52,0.207235713469,ok
75232,1.0,3,0.258620689655,ok
75148,1.0,100,0.259512195122,ok
75110,1.0,78,0.906942167664,ok
75129,1.0,91,0.205825242718,ok
75112,1.0,80,0.225621414914,ok
75233,1.0,73,0.122826489086,ok
75109,1.0,64,0.402854511971,ok
75184,1.0,20,0.201935366076,ok
75212,1.0,69,0.498834498834,ok
75133,1.0,96,0.0108869676593,ok
75100,1.0,58,0.00759219088937,ok
75099,1.0,42,0.256115107914,ok
75195,1.0,59,0.000445997175351,ok
75097,1.0,94,0.114861740498,ok
75121,1.0,128,0.00392927308448,ok
246,1.0,67,0.010101010101,ok
75182,1.0,11,0.220271348763,ok
75172,1.0,21,0.195286195286,ok
75108,1.0,7,0.0,ok
75093,1.0,90,0.359131403118,ok
75169,1.0,89,0.0388029537505,ok
75217,1.0,123,0.0,ok
75171,1.0,46,0.32482426933,ok
75193,1.0,98,0.0688622546284,ok
75128,1.0,27,0.0369685767098,ok
75124,1.0,71,0.181086519115,ok
2119,1.0,117,0.443081117928,ok
75189,1.0,101,0.0388646992421,ok
75185,1.0,49,0.25357307515,ok
262,1.0,38,0.00275709953129,ok
75198,1.0,120,0.269602276917,ok
2122,1.0,8,0.906942167664,ok
242,1.0,75,0.013468013468,ok
233,1.0,36,0.929791271347,ok
252,1.0,28,0.16835016835,ok
75237,1.0,118,0.000865608151556,ok
75114,1.0,103,0.0550098231827,ok
244,1.0,29,0.148148148148,ok
75234,1.0,55,0.048321048321,ok
75123,1.0,65,0.489840348331,ok
273,1.0,31,0.0816864295125,ok
75201,1.0,84,0.204733727811,ok
75168,1.0,114,0.242439516129,ok
75243,1.0,14,1.11537262239,ok
3043,1.0,76,0.0418006430868,ok
75235,1.0,119,0.00222222222222,ok
251,1.0,85,0.449122807018,ok
75143,1.0,61,0.0254300673149,ok
75191,1.0,19,0.267761579627,ok
75248,1.0,95,0.2,ok
75239,1.0,74,0.0,ok
75203,1.0,62,0.216840113529,ok
% 
% 
% 
