@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE pac_metric NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75240,1.0,1.180439343003,1.0,ok
75174,1.0,1.539523279235,38.0,ok
75187,1.0,1.370478967331,31.0,ok
75105,1.0,2.1329770102300003,3.0,ok
75231,1.0,1.787741052588,111.0,ok
75215,1.0,2.000285474,0.0,ok
75090,1.0,1.5436614191090001,14.0,ok
75134,1.0,1.360485374367,126.0,ok
75168,1.0,1.541820812713,113.0,ok
75189,1.0,1.137086980194,100.0,ok
75121,1.0,1.213317669131,127.0,ok
75226,1.0,1.139233090988,104.0,ok
75212,1.0,1.812825719766,68.0,ok
75150,1.0,2.3843696569999997,110.0,ok
2122,1.0,2.09569758171,7.0,ok
75248,1.0,1.771425107463,94.0,ok
75120,1.0,1.7677914475679999,109.0,ok
75205,1.0,1.474673865801,46.0,ok
260,1.0,1.33689414676,131.0,ok
266,1.0,1.134813963689,8.0,ok
75210,1.0,1.00222320459953,33.0,ok
75128,1.0,1.2045629541360001,26.0,ok
2119,1.0,1.884454737914,116.0,ok
261,1.0,1.8426720655139999,105.0,ok
75239,1.0,1.312381925336,73.0,ok
75126,1.0,1.625054689973,121.0,ok
75141,1.0,1.2695529202659999,103.0,ok
75243,1.0,2.19983956569,13.0,ok
75244,1.0,1.750258660699,78.0,ok
75156,1.0,1.785704509046,85.0,ok
75178,1.0,1.99590756991,67.0,ok
75095,1.0,1.428355637123,4.0,ok
75114,1.0,1.477203811974,102.0,ok
75129,1.0,1.90829180219,90.0,ok
2120,1.0,1.281612547243,123.0,ok
246,1.0,1.474440755396,66.0,ok
75225,1.0,1.730904938939,98.0,ok
75213,1.0,1.3580337466099999,82.0,ok
75123,1.0,1.8335064642010002,64.0,ok
75142,1.0,1.393194608621,106.0,ok
288,1.0,1.5172568797950001,108.0,ok
75198,1.0,1.2912900492600001,119.0,ok
75219,1.0,1.48897767575,76.0,ok
75166,1.0,1.629787208538,49.0,ok
75099,1.0,1.859435931084,41.0,ok
75207,1.0,1.490248139844,96.0,ok
2117,1.0,1.819396774231,124.0,ok
75159,1.0,1.8664212414649999,128.0,ok
75112,1.0,1.540033237502,79.0,ok
273,1.0,1.316991649913,30.0,ok
75222,1.0,1.427063014056,91.0,ok
3043,1.0,1.2938214808169999,75.0,ok
75153,1.0,1.741278099793,47.0,ok
75203,1.0,1.591231637075,61.0,ok
2123,1.0,1.498571338117,115.0,ok
75109,1.0,1.7959045741200002,63.0,ok
75117,1.0,1.69013934802,114.0,ok
233,1.0,2.00065072547,35.0,ok
75236,1.0,1.525700284958,12.0,ok
242,1.0,1.266302254914,74.0,ok
75192,1.0,2.0434996542899997,32.0,ok
75237,1.0,1.00604366146843,117.0,ok
75235,1.0,1.0672269823997,118.0,ok
75176,1.0,1.0903372946527,107.0,ok
75098,1.0,1.327218978585,43.0,ok
75146,1.0,1.5526364410659999,24.0,ok
75115,1.0,1.555993918341,112.0,ok
254,1.0,2.2831709809,50.0,ok
75184,1.0,1.636497293209,19.0,ok
75173,1.0,1.523190597598,52.0,ok
75101,1.0,1.857110199301,36.0,ok
75179,1.0,1.769880047924,125.0,ok
75196,1.0,1.208812218115,11.0,ok
75093,1.0,1.9541809235310001,89.0,ok
75161,1.0,1.392866605841,62.0,ok
75234,1.0,1.3542633567790001,54.0,ok
75110,1.0,2.09569758171,77.0,ok
248,1.0,1.61781745428,15.0,ok
75119,1.0,1.7610971301510001,130.0,ok
252,1.0,1.572925275498,27.0,ok
75177,1.0,1.2938214808169999,92.0,ok
75193,1.0,1.272677034026,97.0,ok
75223,1.0,1.654362549197,51.0,ok
75171,1.0,1.644299626785,45.0,ok
75154,1.0,1.7629893415270002,21.0,ok
75127,1.0,2.17150374915,101.0,ok
75169,1.0,1.490228819296,88.0,ok
75175,1.0,1.480393908734,80.0,ok
75221,1.0,1.918483837415,25.0,ok
75157,1.0,2.0763646488300003,87.0,ok
258,1.0,1.262908387703,65.0,ok
2350,1.0,1.9981148743319999,71.0,ok
75125,1.0,1.439493142583,44.0,ok
